Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/07/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1251457,"33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/07/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1251457,"33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/07/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1251457,"6,635.32"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/07/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1251457,"-6,635.32"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/07/2012,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1251457,"-33,176.62"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/07/2012,RENT,RESERVES AND PROVISIONS TECHNICAL,BRADFORD AND AIREDALE TEACHING PCT,19808013,"27,405.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,13/07/2012,RENT,RESERVES AND PROVISIONS TECHNICAL,BRADFORD AND AIREDALE TEACHING PCT,19808016,"55,198.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,CONSULTANT,SURGICAL SERVICES,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,271462,"31,333.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,CONSULTANT,ACCESS,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,271465,"134,457.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,CONSULTANT,ACCESS,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,271466,"79,223.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,CONSULTANT,ACCESS,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,271467,"76,159.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,06/07/2012,COMPUTER MAINTENANCE,INFORMATION MANAGEMENT & TECHNOLOGY,COMPUTACENTER (UK) LTD,3700727685,"42,666.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7218060,"56,639.50"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7218060,"2,831.98"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7290003,"45,647.16"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7290003,"2,282.36"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7321333,"11,894.30"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7321333,"-2,831.98"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7321333,"-11,894.30"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7321333,"-56,639.50"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7322956,"56,639.50"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7322956,"12,078.66"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7322956,"3,753.79"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7324326,"45,647.16"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7324326,"9,724.37"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7324326,"2,974.72"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7324326,0.01
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7326976,"9,585.90"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7326976,"-2,282.36"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7326976,"-9,585.90"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,GAS,UTILITIES,CORONA ENERGY LTD,7326976,"-45,647.16"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,31/07/2012,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,14802/07,"22,570.83"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,27/07/2012,NATIONAL QC AND ACCREDITATION FEES,ESTATES,DEPARTMENT OF ENERGY AND CLIMATE CHANGE,CRCFP0841867,"97,248.00"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/07/2012,ELECTRICITY,UTILITIES,EDF ENERGY,3,"48,129.98"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/07/2012,ELECTRICITY,UTILITIES,EDF ENERGY,3,"9,625.99"
DEPARTMENT OF HEALTH,AIREDALE NHS FOUNDATION TRUST,20/07/2012,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/3049750,"27,170.00"
