CPS outcomes by principal offence category leicestershire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,181,75.7%,58,24.3%
C Sexual Offences,23,92.0%,2,8.0%
D Burglary,30,100.0%,0,0.0%
E Robbery,20,83.3%,4,16.7%
F Theft And Handling,163,93.1%,12,6.9%
G Fraud And Forgery,12,92.3%,1,7.7%
H Criminal Damage,46,86.8%,7,13.2%
I Drugs Offences,40,93.0%,3,7.0%
J Public Order Offences,58,70.7%,24,29.3%
K All Other Offences (excluding Motoring),49,96.1%,2,3.9%
L Motoring Offences,379,96.2%,15,3.8%
Admin Finalisations,0,0.0%,7,100.0%
TOTAL,"1,001",88.1%,135,11.9%
