Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Portsmouth City Teaching PCT,11/10/2011,Capital Expenditure,Estates Capital Project,BAM CONSTRUCTION LTD,13747375,"615,114.23"
Department of Health,Portsmouth City Teaching PCT,14/10/2011,Purchase of Healthcare from Non-NHS Bodies,Strategy and System Management,CARE UK HEALTHCARE SOUTH EAST LTD,13784858,"376,723.33"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Healthcare from Other NHS Bodies Exc FT's,Public Health and Primary Care,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,13799773,"26,159.71"
Department of Health,Portsmouth City Teaching PCT,14/10/2011,Non Healthcare from Other PCTs,Strategy and System Management,HAMPSHIRE PRIMARY CARE TRUST,13784840,"71,969.00"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Healthcare from Other PCTs,Strategy and System Management,HAMPSHIRE PRIMARY CARE TRUST,13808570,"1,599,977.00"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Other Employee Benefits,Trust Headquarters,ISLE OF WIGHT PCT,13808611,"26,739.31"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Purchase of Healthcare from Non-NHS Bodies,Public Health and Primary Care,LEARNING LINKS (SOUTHERN) LTD,13760231,"25,281.50"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Non Healthcare from Other PCTs,Strategy and System Management,OXFORDSHIRE PCT,13824081,"92,000.00"
Department of Health,Portsmouth City Teaching PCT,14/10/2011,Purchase of Healthcare from Non-NHS Bodies,Public Health and Primary Care,PORTSMOUTH CITY COUNCIL,13776498,"35,000.00"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Purchase of Healthcare from Non-NHS Bodies,Public Health and Primary Care,PORTSMOUTH CITY COUNCIL,13808586,"8,000.00"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Purchase of Healthcare from Non-NHS Bodies,Public Health and Primary Care,PORTSMOUTH CITY COUNCIL,13808586,"53,850.00"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Purchase of Healthcare from Non-NHS Bodies,Public Health and Primary Care,PORTSMOUTH CITY COUNCIL,13808586,"414,101.00"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Purchase of Healthcare from Non-NHS Bodies,Strategy and System Management,PORTSMOUTH CITY COUNCIL,13808592,"1,207,000.00"
Department of Health,Portsmouth City Teaching PCT,25/10/2011,Purchase of Healthcare from Non-NHS Bodies,Strategy and System Management,PORTSMOUTH CITY COUNCIL,13830930,351.12
Department of Health,Portsmouth City Teaching PCT,25/10/2011,Purchase of Healthcare from Non-NHS Bodies,Strategy and System Management,PORTSMOUTH CITY COUNCIL,13830930,"1,042.26"
Department of Health,Portsmouth City Teaching PCT,25/10/2011,Purchase of Healthcare from Non-NHS Bodies,Strategy and System Management,PORTSMOUTH CITY COUNCIL,13830930,"4,229.24"
Department of Health,Portsmouth City Teaching PCT,25/10/2011,Purchase of Healthcare from Non-NHS Bodies,Strategy and System Management,PORTSMOUTH CITY COUNCIL,13830930,"4,857.60"
Department of Health,Portsmouth City Teaching PCT,25/10/2011,Purchase of Healthcare from Non-NHS Bodies,Strategy and System Management,PORTSMOUTH CITY COUNCIL,13830930,"5,316.68"
Department of Health,Portsmouth City Teaching PCT,25/10/2011,Purchase of Healthcare from Non-NHS Bodies,Strategy and System Management,PORTSMOUTH CITY COUNCIL,13830930,"7,100.56"
Department of Health,Portsmouth City Teaching PCT,25/10/2011,Purchase of Healthcare from Non-NHS Bodies,Strategy and System Management,PORTSMOUTH CITY COUNCIL,13830930,"8,001.90"
Department of Health,Portsmouth City Teaching PCT,18/10/2011,Purchase of Primary Healthcare,Public Health and Primary Care,PORTSMOUTH HEALTH LTD,13791606,"4,740.00"
Department of Health,Portsmouth City Teaching PCT,18/10/2011,Purchase of Primary Healthcare,Public Health and Primary Care,PORTSMOUTH HEALTH LTD,13791606,"5,488.24"
Department of Health,Portsmouth City Teaching PCT,18/10/2011,Purchase of Primary Healthcare,Public Health and Primary Care,PORTSMOUTH HEALTH LTD,13791606,"80,399.76"
Department of Health,Portsmouth City Teaching PCT,03/10/2011,Hcare Srv Rec NHS Trust,Strategy and System Management,PORTSMOUTH HOSPITALS NHS TRUST,13594016,"9,495,749.00"
Department of Health,Portsmouth City Teaching PCT,03/10/2011,Non Healthcare from Other NHS Bodies Exc FT's,Strategy and System Management,PORTSMOUTH HOSPITALS NHS TRUST,13679851,"1,500,000.00"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Premises,Estates and Facilities Management,PORTSMOUTH HOSPITALS NHS TRUST,13816051,593.00
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Premises,Estates and Facilities Management,PORTSMOUTH HOSPITALS NHS TRUST,13816051,"1,858.39"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Premises,Estates and Facilities Management,PORTSMOUTH HOSPITALS NHS TRUST,13816051,"3,807.81"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Premises,Estates and Facilities Management,PORTSMOUTH HOSPITALS NHS TRUST,13816051,"66,504.77"
Department of Health,Portsmouth City Teaching PCT,28/10/2011,Non Healthcare from Other NHS Bodies Exc FT's,Estates and Facilities Management,PORTSMOUTH HOSPITALS NHS TRUST,13849371,89.00
Department of Health,Portsmouth City Teaching PCT,28/10/2011,Non Healthcare from Other NHS Bodies Exc FT's,Estates and Facilities Management,PORTSMOUTH HOSPITALS NHS TRUST,13849371,"3,820.00"
Department of Health,Portsmouth City Teaching PCT,28/10/2011,Non Healthcare from Other NHS Bodies Exc FT's,Estates and Facilities Management,PORTSMOUTH HOSPITALS NHS TRUST,13849371,"58,210.00"
Department of Health,Portsmouth City Teaching PCT,14/10/2011,Capital Expenditure,Estates Capital Project,RELAY ENGINEERING LTD,13770145,"89,546.83"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Capital Expenditure,Estates Capital Project,RELAY ENGINEERING LTD,13791785,"39,066.76"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Goods and Services from Foundation Trusts,Strategy and System Management,SALISBURY NHS FOUNDATION TRUST,13791532,"26,138.00"
Department of Health,Portsmouth City Teaching PCT,03/10/2011,Hcare Srv Rec NHS Trust,Strategy and System Management,SOLENT NHS TRUST,13640400,"698,769.71"
Department of Health,Portsmouth City Teaching PCT,07/10/2011,Hcare Srv Rec NHS Trust,Strategy and System Management,SOLENT NHS TRUST,13717620,"29,826.00"
Department of Health,Portsmouth City Teaching PCT,07/10/2011,Hcare Srv Rec NHS Trust,Strategy and System Management,SOLENT NHS TRUST,13717620,"4,955,226.00"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Hcare Srv Rec NHS Trust,Strategy and System Management,SOLENT NHS TRUST,13816173,"27,762.64"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Hcare Srv Rec NHS Trust,Strategy and System Management,SOUTH CENTRAL AMBULANCE SERVICES NHS TRUST,13791558,"539,521.63"
Department of Health,Portsmouth City Teaching PCT,14/10/2011,Hcare Srv Rec NHS Trust,Strategy and System Management,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13623982,"-28,941.00"
Department of Health,Portsmouth City Teaching PCT,14/10/2011,Hcare Srv Rec NHS Trust,Strategy and System Management,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13784839,"632,466.00"
Department of Health,Portsmouth City Teaching PCT,21/10/2011,Goods and Services from Foundation Trusts,Strategy and System Management,SOUTHERN HEALTH (COMMUNITY) NHSFT,13808563,"46,421.00"
Department of Health,Portsmouth City Teaching PCT,07/10/2011,Goods and Services from Foundation Trusts,Strategy and System Management,SOUTHERN HEALTH (MH LD & SC) NHSFT,13739746,"29,794.20"
Department of Health,Portsmouth City Teaching PCT,07/10/2011,Goods and Services from Foundation Trusts,Strategy and System Management,SOUTHERN HEALTH (MH LD & SC) NHSFT,13739747,"66,010.92"
,,,,,,,

,,,,,,,

,,,,,,,

,,,,,,,
