Vendor Payments & Commitments over £500 for July to September 2010,,,,,


Service Area,Expenditure Type,Vendor Name,Entry Date,Ref.Doc.,Expenditure over £500 (exc VAT)
"Planning, Housing & Regeneration",Bldg Reps & Maint,London Borough Of Enfield          ,09/07/2010,5000263962,"68,000.00"
"Planning, Housing & Regeneration",Bldg Reps & Maint,London Borough of Islington        ,20/07/2010,5000265248,"65,000.00"
"Planning, Housing & Regeneration",Bldg Reps & Maint,London Borough of Islington        ,20/07/2010,5000265249,"65,000.00"
"Planning, Housing & Regeneration",Bldg Reps & Maint,London Borough of Islington        ,20/07/2010,5000265252,"44,000.00"
Children's Services,Staff Training,Local Partnerships LLP             ,08/07/2010,5000263758,"3,300.00"
Environment & Operations,Other Services,RM Countryside Services Ltd        ,14/07/2010,5000264485,"6,400.00"
Commercial,Agency Staff,Cobalt Consulting Ltd              ,01/07/2010,5000262772,"2,222.20"
Commercial,Agency Staff,Networking People Limited          ,01/07/2010,5000262778,"1,542.19"
Commercial,Agency Staff,Networking People Limited          ,01/07/2010,5000262778,918.75
Commercial,Agency Staff,Networking People Limited          ,01/07/2010,5000262778,"1,393.67"
Commercial,Agency Staff,Networking People Limited          ,01/07/2010,5000262778,"1,309.43"
Commercial,Agency Staff,Cobalt Consulting Ltd              ,07/07/2010,5000263646,"2,666.64"
Commercial,Agency Staff,Cobalt Consulting Ltd              ,14/07/2010,5000264384,"2,222.20"
Commercial,Agency Staff,Michael Page International         ,14/07/2010,5000264395,"1,476.00"
Commercial,Agency Staff,Cobalt Consulting Ltd              ,15/07/2010,5000264580,"2,222.20"
Commercial,Agency Staff,Michael Page International         ,15/07/2010,5000264587,"1,476.00"
Commercial,Agency Staff,Michael Page International         ,15/07/2010,5000264587,738
Commercial,Agency Staff,Michael Page International         ,15/07/2010,5000264587,"1,845.00"
Commercial,Agency Staff,Michael Page International         ,15/07/2010,5000264587,"1,845.00"
Commercial,Agency Staff,Networking People Limited          ,15/07/2010,5000264588,1750
Commercial,Agency Staff,Networking People Limited          ,15/07/2010,5000264588,1301.78
Commercial,Agency Staff,Cobalt Consulting Ltd              ,20/07/2010,5000265321,"2,666.64"
Commercial,Agency Staff,Networking People Limited          ,20/07/2010,5000265335,"1,782.81"
Commercial,Agency Staff,Networking People Limited          ,20/07/2010,5000265335,"1,706.25"
Commercial,Agency Staff,Networking People Limited          ,20/07/2010,5000265335,"1,542.19"
Commercial,Agency Staff,Networking People Limited          ,20/07/2010,5000265335,"1,401.32"
Commercial,Agency Staff,Networking People Limited          ,20/07/2010,5000265335,"1,286.46"
Commercial,Bldg Reps & Maint,24 Seven Interiors Ltd             ,02/07/2010,5000263178,"5,680.00"
Commercial,Bldg Reps & Maint,T & B Contractors Ltd              ,05/07/2010,5000263216,79986.2
Commercial,Bldg Reps & Maint,D & S Electrical Contractors       ,07/07/2010,5000263601,1050
Commercial,Bldg Reps & Maint,British Gas Business               ,12/07/2010,5000264085,655.62
Commercial,Bldg Reps & Maint,T & B Contractors Ltd              ,12/07/2010,5000264119,"93,271.95"
Commercial,Bldg Reps & Maint,T & B Contractors Ltd              ,15/07/2010,5000264597,895
Commercial,Bldg Reps & Maint,Impact Fire Ltd                    ,22/07/2010,5000265627,795
Commercial,Bldg Reps & Maint,Impact Fire Ltd                    ,22/07/2010,5000265627,895
Commercial,Bldg Reps & Maint,Creative Signs & Graphics          ,28/07/2010,5000266290,899
"Planning, Housing & Regeneration",Acquisn Land & Build,HM Revenue & Customs Only          ,20/07/2010,1900113142,1865
"Planning, Housing & Regeneration",Acquisn Land & Build,HM Revenue & Customs Only          ,20/07/2010,1900113143,10664
Children's Services,Equip-Mats-Purc-Rep,Electrolux Foodservice             ,12/07/2010,5000264176,669.9
Children's Services,Equip-Mats-Purc-Rep,Kier London Ltd                    ,15/07/2010,5000264736,283725
Children's Services,Equip-Mats-Purc-Rep,Kier London Ltd                    ,23/07/2010,5000265857,31500
Children's Services,Equip-Mats-Purc-Rep,Kier London Ltd                    ,23/07/2010,5000265857,15750
Children's Services,Equip-Mats-Purc-Rep,Kier London Ltd                    ,23/07/2010,5000265857,15750
Children's Services,Equip-Mats-Purc-Rep,Kier London Ltd                    ,23/07/2010,5000265857,46500
Children's Services,Equip-Mats-Purc-Rep,Kier London Ltd                    ,23/07/2010,5000265857,23250
Children's Services,Equip-Mats-Purc-Rep,Kier London Ltd                    ,23/07/2010,5000265857,23250
