Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Number,Invoice Number
Department of Health,BRIDGEWATER COMMUNITY HEALTHCARE,22/11/2011,"Books, Journals & Subscr",Chief Executive,SALFORD ROYAL HOSPITALS NHS FOUNDATION TRUST,13983810,"40,000.00",654939786,1000124767
Department of Health,BRIDGEWATER COMMUNITY HEALTHCARE,29/11/2011,Drugs,Sexual Health,WARRINGTON & HALTON HOSPITALS NHS FOUNDATION TRUST,13641546,"-45,987.88",NULL,15336267CR
Department of Health,BRIDGEWATER COMMUNITY HEALTHCARE,29/11/2011,Drugs,Sexual Health,WARRINGTON & HALTON HOSPITALS NHS FOUNDATION TRUST,13647360,"25,244.16",NULL,15335748
Department of Health,BRIDGEWATER COMMUNITY HEALTHCARE,29/11/2011,Drugs,Sexual Health,WARRINGTON & HALTON HOSPITALS NHS FOUNDATION TRUST,13647362,"-25,244.16",NULL,15336268
Department of Health,BRIDGEWATER COMMUNITY HEALTHCARE,08/11/2011,Legal / Prof Fees,Governance,ALLOCATE SOFTWARE PLC,13884888,"41,004.00",769013715,INAL06492
Department of Health,BRIDGEWATER COMMUNITY HEALTHCARE,22/11/2011,Other Clinical Costs,Out of Hours Medical Services,CO-OPERATIVE GROUP LTD,13988586,"28,325.00",NULL,MI00000748
Department of Health,BRIDGEWATER COMMUNITY HEALTHCARE,29/11/2011,Patients Clothing,Continence - Adults,WARRINGTON PCT,14020578,"38,597.90",654419036,15183537
Department of Health,BRIDGEWATER COMMUNITY HEALTHCARE,22/11/2011,Services Received - NHSTs,Informatics,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,13968867,"728,160.50",654943996,16736120
Department of Health,BRIDGEWATER COMMUNITY HEALTHCARE,22/11/2011,Services Received - PCTs,IMT Management,ASHTON LEIGH AND WIGAN PCT,13983808,"35,222.00",654414737,0000015013SO
Department of Health,BRIDGEWATER COMMUNITY HEALTHCARE,29/11/2011,Services Received - PCTs,IMT Management,ASHTON LEIGH AND WIGAN PCT,14020537,"35,222.00",654414737,0000014970SO
