Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,04-May-2016,200029760,DLP Services (Northern) Ltd,"14,061.69"
Barrow Borough Council,Major works maintenance - HRA,Repointing Walney,18-May-2016,200030022,Richard Coates Quantity Surveyors Ltd,749.60
Barrow Borough Council,Capitalised Planned Maintenance,Heating,25-May-2016,200030175,Plumbing Trade Supplies,964.05
Barrow Borough Council,Major works maintenance - HRA,Fencing Exmouth,18-May-2016,200030056,Cumbria Roofing Ulverston,"22,600.00"
Barrow Borough Council,Referendum,Printing and stationery,25-May-2016,200030181,Shaw & Sons Ltd,718.20
Barrow Borough Council,Pollution,Professional fees,04-May-2016,200029763,Land Quality Management Ltd,"1,875.00"
Barrow Borough Council,Public conveniences,Buildings repairs and maintenance,11-May-2016,200029899,Bill Caulfield Electrical,657.39
Barrow Borough Council,HRA Estates,Professional fees,04-May-2016,200029825,South Lakeland District Council,"1,613.54"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,25-May-2016,200030216,AB Mitchell Developments,761.94
Barrow Borough Council,Current assets - stocks,Postage stock,04-May-2016,200029776,Pitney Bowes Ltd,"2,020.00"
Barrow Borough Council,Information technology,Software maintenance,25-May-2016,200030141,Bob's Business Ltd,"1,609.74"
Barrow Borough Council,HRA administration,Subscriptions,04-May-2016,200029746,Northern Housing Consortium,"2,000.00"
Barrow Borough Council,The Ginnell,Buildings repairs and maintenance,18-May-2016,200030126,Ward Contracting Ltd,746.47
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,18-May-2016,200030009,Hughes Brothers,"15,620.61"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,04-May-2016,200029790,Optech Fibres,506.75
Barrow Borough Council,Forum 28,Building cleaning,25-May-2016,200030170,Elior UK Ltd,"3,020.30"
Barrow Borough Council,Dr Feelgood - 6.5.16,Professional fees,11-May-2016,200029852,Entertainment Trade Mgt (Agencies) Ltd,"3,750.00"
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,18-May-2016,200029921,AB Mitchell Developments,"2,840.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,11-May-2016,200029895,Paul Cutcliffe,963.00
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,04-May-2016,200029760,DLP Services (Northern) Ltd,"1,444.04"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,18-May-2016,200030127,Keith Wilson Elec Con Ltd,"7,416.65"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,11-May-2016,200029834,Hughes Brothers,"28,107.42"
Barrow Borough Council,The markets,Planned Building repairs and maintenance,04-May-2016,200029799,Bill Caulfield Electrical,"1,861.60"
Barrow Borough Council,The markets,Gas,04-May-2016,200029802,Scottish Power,"2,324.83"
Barrow Borough Council,Recycling,Greenwaste recycling,25-May-2016,200030178,Sinkfall Recycling,"5,759.76"
Barrow Borough Council,IT Equipment & Development,Professional fees,11-May-2016,200029836,Ideagen Content Ltd,"1,500.00"
Barrow Borough Council,Finance Department,Software maintenance,04-May-2016,200029806,Capita Business Services Limited,"3,780.00"
Barrow Borough Council,Disabled Facilities Grant,Grants,18-May-2016,200029997,Dolphin Stairlifts Cumbria,"1,595.00"
Barrow Borough Council,Furness youth theatre,Professional fees,25-May-2016,200030191,Linney PA Systems,655.38
Barrow Borough Council,Planning Policy,Professional fees,04-May-2016,200029764,BDP,"2,030.13"
Barrow Borough Council,Community involvement - HRA,Newsletters,04-May-2016,200029786,HSP Milners,"2,554.00"
Barrow Borough Council,Occupational health,Professional fees,18-May-2016,200030086,Your Best Option,"2,118.70"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,04-May-2016,200029784,Rexel UK Ltd,"1,601.10"
Barrow Borough Council,Major works maintenance - HRA,Void repairs,11-May-2016,200029918,Plumbing Trade Supplies,828.70
Barrow Borough Council,Homelessness,Accommodation - homeless bed & breakfast,11-May-2016,200029863,Redacted Information,"1,240.00"
Barrow Borough Council,Information technology,Data Line Rental,04-May-2016,200029791,Liberata Uk Ltd,784.46
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,04-May-2016,200029750,Baker Mallett,672.60
Barrow Borough Council,Barrow park,Metered water,25-May-2016,200030195,United Utilities Water Plc,876.62
Barrow Borough Council,Barrow park,Maintenance contracts - TSU,25-May-2016,200030130,GEZE UK Ltd,792.00
Barrow Borough Council,Development control,Professional fees,04-May-2016,200029755,R Stockley,"1,200.00"
Barrow Borough Council,Sports development and community recreation,Grass pitches,11-May-2016,200029898,Barrow Playing Fields Users,"8,000.00"
Barrow Borough Council,Cylical maintenance - HRA,Electrical testing,04-May-2016,200029798,Keith Wilson Elec Con Ltd,"2,425.68"
Barrow Borough Council,Major works maintenance - HRA,Decoration vouchers,04-May-2016,200029805,Wilko Retail Ltd,"1,447.69"
Barrow Borough Council,Pollution,Professional fees,04-May-2016,200029763,Land Quality Management Ltd,550.00
Barrow Borough Council,Technical services,Professional training,25-May-2016,200030194,Accounting 4 Safety Ltd,550.00
Barrow Borough Council,Major works maintenance - HRA,Windows,18-May-2016,200030000,Wrekin Windows,"20,643.52"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,25-May-2016,200030147,SIG Trading Ltd,"1,257.18"
Barrow Borough Council,Current assets - stocks,Museum stock,11-May-2016,200029875,House of Marbles,"1,816.44"
Barrow Borough Council,Homelessness,Homeless support funding,25-May-2016,200030193,Phoenix Cleaning Agency,957.00
Barrow Borough Council,Crematorium,Gas,04-May-2016,200029819,British Gas Business,"3,120.05"
Barrow Borough Council,Telephones Holding A/C,Telephone charges paid,18-May-2016,200030071,EE Ltd,"1,069.46"
Barrow Borough Council,Information technology,Software maintenance,04-May-2016,200029749,Siteimprove Ltd,"3,395.03"
Barrow Borough Council,Housing Benefits Admin,Professional fees,04-May-2016,200029791,Liberata Uk Ltd,"2,974.69"
Barrow Borough Council,Customer services,Customer services contract,11-May-2016,200029913,Liberata Uk Ltd,"8,918.77"
Barrow Borough Council,Barrow Island Environmental Improvements,Specialised work,25-May-2016,200030152,ESH Border Construction,"4,533.25"
Barrow Borough Council,Coastal Communities Fund,Professional fees,18-May-2016,200030007,Goldscript Administration Support,"2,612.29"
Barrow Borough Council,Disabled Facilities Grant,Grants,18-May-2016,200030025,ThyssenKrupp Encasa Ltd,"1,500.00"
Barrow Borough Council,HRA Estates,Professional fees,18-May-2016,200030032,Whiteheads Solicitors,666.50
Barrow Borough Council,Public conveniences,Buildings repairs and maintenance,25-May-2016,200030176,Bill Caulfield Electrical,569.61
Barrow Borough Council,RTB administration - HRA,Professional fees,04-May-2016,200029817,NPS North West Ltd,"1,590.00"
Barrow Borough Council,Major works maintenance - HRA,Decant Costs,04-May-2016,200029762,Compass Construction Services Ltd,"2,801.51"
Barrow Borough Council,Democratic representation and management,Other expenses,18-May-2016,200029992,A&A Parker,"1,070.00"
Barrow Borough Council,Homelessness,Homeless support funding,04-May-2016,200029751,Redacted Information,"1,975.00"
Barrow Borough Council,Coastal Communities Fund,Professional fees,11-May-2016,200029830,S&T Klosinski Economic Dev Conulstants Ltd,"5,038.16"
Barrow Borough Council,Major works maintenance - HRA,Doors,25-May-2016,200030142,SBP Ltd - Permadoor,638.16
Barrow Borough Council,Public conveniences,Metered water,04-May-2016,200029821,United Utilities Water Plc,546.02
Barrow Borough Council,Barrow town hall,Maintenance contracts - TSU,04-May-2016,200029823,Integral UK Ltd,565.17
Barrow Borough Council,Crematorium,Equipment purchase,04-May-2016,200029748,Yorkshire Purchasing Organisation,935.85
Barrow Borough Council,Capitalised Planned Maintenance,Heating,25-May-2016,200030175,Plumbing Trade Supplies,"1,003.41"
Barrow Borough Council,Major works maintenance - HRA,Void repairs,11-May-2016,200029865,Impey UK Ltd,696.14
Barrow Borough Council,Cost of collection,Council tax collection,11-May-2016,200029913,Liberata Uk Ltd,"67,855.93"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,11-May-2016,200029915,Urswick Engineering,"1,100.00"
Barrow Borough Council,Public Conveniences,Landscaping,04-May-2016,200029771,Simon J Mawson Ltd,"19,000.00"
Barrow Borough Council,Forum 28,Equipment purchase,18-May-2016,200029925,CPC,"1,385.97"
Barrow Borough Council,Licensing,Professional fees,18-May-2016,200030082,DWF LLP,832.90
Barrow Borough Council,Street cleansing,Street cleansing,11-May-2016,200029856,Biffa Waste Services Ltd,"78,762.55"
Barrow Borough Council,Cemeteries,Grounds maintenance,04-May-2016,200029789,Continental Landscapes Ltd,"13,071.61"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,25-May-2016,200030225,Howdens Joinery Ltd,701.00
Barrow Borough Council,Mobile caretakers - HRa,Planned Building repairs and maintenance,18-May-2016,200030128,Bill Caulfield Electrical,603.00
Barrow Borough Council,Finance Department,Software maintenance,04-May-2016,200029806,Capita Business Services Limited,"4,050.00"
Barrow Borough Council,Allotments,Metered water,25-May-2016,200030195,United Utilities Water Plc,"1,482.61"
Barrow Borough Council,The park leisure centre,Gas,04-May-2016,200029819,British Gas Business,"5,223.99"
Barrow Borough Council,The park leisure centre,Maintenance contracts - TSU,04-May-2016,200029823,Integral UK Ltd,980.00
Barrow Borough Council,Recycling,Recycling credits from contractor,11-May-2016,200029856,Biffa Waste Services Ltd,"-16,242.92"
Barrow Borough Council,Public conveniences,Building cleaning,04-May-2016,200029816,Growing Concerns,"2,400.00"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,04-May-2016,200029760,DLP Services (Northern) Ltd,"9,280.24"
Barrow Borough Council,Sports development and community recreation,Maintenance contracts - TSU,04-May-2016,200029767,Interserve FS (UK) Ltd,"1,077.03"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,25-May-2016,200030175,Plumbing Trade Supplies,"5,039.92"
Barrow Borough Council,IR personal account,Tax deducted - tax on election allowances,25-May-2016,200030204,Inland Revenue,"6,537.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,04-May-2016,200029824,AB Mitchell Developments,550.00
Barrow Borough Council,Major works maintenance - HRA,Windows,25-May-2016,200030145,Top Notch Contractors Ltd,"28,734.17"
Barrow Borough Council,Disabled Facilities Grant,Grants,04-May-2016,200029757,AJK Construction,"2,880.00"
Barrow Borough Council,Major works maintenance - HRA,Digital TV,04-May-2016,200029800,Aerialek (Dalton) Ltd,"3,080.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,18-May-2016,200030093,EnviroVent Ltd,"1,010.11"
Barrow Borough Council,Tenant demand maintenance - HRA,Gas works,04-May-2016,200029780,Sure Maintenance,"3,003.35"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,04-May-2016,200029777,Hughes Brothers,"41,253.51"
Barrow Borough Council,Rawlinson Street Corridor,Professional fees,18-May-2016,200030027,Arcus Consulting LLP,"3,747.27"
Barrow Borough Council,Forum catering,Catering contract - Forum,18-May-2016,200030083,Elior UK Ltd,"1,256.12"
Barrow Borough Council,Current assets - stocks,Postage stock,25-May-2016,200030159,Royal Mail,"2,178.68"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,04-May-2016,200029770,SBP Ltd - Permadoor,"2,908.58"
