CPS outcomes by principal offence category reas,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,61,85.1%,16,14.9%
B Offences Against The Person,"9,083",75.2%,"2,966",24.8%
C Sexual Offences,670,66.4%,254,33.6%
D Burglary,"1,937",84.4%,312,15.6%
E Robbery,909,78.9%,259,21.1%
F Theft And Handling,"11,243",92.0%,898,8.0%
G Fraud And Forgery,969,87.2%,136,12.8%
H Criminal Damage,"2,911",85.7%,466,14.3%
I Drugs Offences,"5,227",94.2%,337,5.8%
J Public Order Offences,"5,706",84.5%,916,15.5%
K All Other Offences (excluding Motoring),"3,545",83.2%,695,16.8%
L Motoring Offences,"21,385",90.3%,"2,256",9.7%
Admin Finalisations,0,0.0%,629,100.0%
TOTAL,"63,646",86.3%,"10,140",13.7%
