CPS outcomes by principal offence category cheshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,128,84.8%,23,15.2%
C Sexual Offences,5,71.4%,2,28.6%
D Burglary,24,92.3%,2,7.7%
E Robbery,11,84.6%,2,15.4%
F Theft And Handling,210,95.5%,10,4.5%
G Fraud And Forgery,9,100.0%,0,0.0%
H Criminal Damage,50,96.2%,2,3.8%
I Drugs Offences,57,95.0%,3,5.0%
J Public Order Offences,77,87.5%,11,12.5%
K All Other Offences (excluding Motoring),86,90.5%,9,9.5%
L Motoring Offences,478,90.0%,53,10.0%
Admin Finalisations,0,0.0%,10,100.0%
TOTAL,"1,135",89.9%,127,10.1%
