Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,Audit Commission,01/01/2011 - 31/01/2011,Car Mileage,Various,Travel & Subsistence,,1686.41
Communities & Local Government,Audit Commission,01/01/2011 - 31/01/2011,Bicycle Mileage,Various,Travel & Subsistence,,45.6
Communities & Local Government,Audit Commission,01/01/2011 - 31/01/2011,Bridge/Road Tolls,Various,Travel & Subsistence,,15
Communities & Local Government,Audit Commission,01/01/2011 - 31/01/2011,Car Parking,Various,Travel & Subsistence,,2297.64
Communities & Local Government,Audit Commission,01/01/2011 - 31/01/2011,Rail,Various,Travel & Subsistence,,1845.2
Communities & Local Government,Audit Commission,01/01/2011 - 31/01/2011,Public Transport - Bus,Various,Travel & Subsistence,,3.4
Communities & Local Government,Audit Commission,01/01/2011 - 31/01/2011,Taxis,Various,Travel & Subsistence,,26.4
Communities & Local Government,Audit Commission,01/01/2011 - 31/01/2011,Evening Meals,Various,Travel & Subsistence,,248.85
Communities & Local Government,Audit Commission,01/01/2011 - 31/01/2011,Beverages,Various,Beverage Charges,,4.26
,,,,,,,"6,172.76"
Total Value of Claims over £500,,,"6,172.76",,,,
Total Number of Claims over £500,,,9,,,,
