CPS outcomes by principal offence category bedfordshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,2,100.0%,0,0.0%
B Offences Against The Person,91,79.1%,24,20.9%
C Sexual Offences,4,100.0%,0,0.0%
D Burglary,17,89.5%,2,10.5%
E Robbery,17,85.0%,3,15.0%
F Theft And Handling,114,95.0%,6,5.0%
G Fraud And Forgery,10,62.5%,6,37.5%
H Criminal Damage,29,87.9%,4,12.1%
I Drugs Offences,42,85.7%,7,14.3%
J Public Order Offences,40,78.4%,11,21.6%
K All Other Offences (excluding Motoring),44,84.6%,8,15.4%
L Motoring Offences,223,94.5%,13,5.5%
Admin Finalisations,0,0.0%,18,100.0%
TOTAL,633,86.1%,102,13.9%
