"Reference Number","Decision","Decision Date","Officer Making Decision","Reason for Decision","Alternative Options Considered","Other Background Documents"
"B21/2015/0440","Appcond","14/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0481","Appcond","17/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B27/2015/0503","APPLETT","17/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B31/2015/0546","Appcond","18/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B28/2014/0214","Approved","18/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B28/2015/0412","Appcond","19/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B31/2015/0523","Appcond","20/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B18/2015/0470","Appcond","21/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B12/2015/0381","Appcond","25/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B31/2015/0520","Appcond","25/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B18/2015/0321","Appcond","25/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0453","Appcond","25/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0475","Appcond","26/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B18/2015/0459","Appcond","26/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0501","Appcond","26/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B18/2015/0488","Appcond","26/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B26/2015/0463","Appcond","26/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0452","Appcond","28/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0415","Appcond","28/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B18/2015/0446","Appcond","28/08/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
