CPS outcomes by principal offence category west_mercia,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,50.0%,0,50.0%
B Offences Against The Person,163,81.5%,36,18.5%
C Sexual Offences,16,62.1%,1,37.9%
D Burglary,41,94.1%,3,5.9%
E Robbery,14,100.0%,5,0.0%
F Theft And Handling,179,93.2%,11,6.8%
G Fraud And Forgery,15,81.8%,2,18.2%
H Criminal Damage,61,83.7%,5,16.3%
I Drugs Offences,69,91.7%,7,8.3%
J Public Order Offences,90,82.1%,14,17.9%
K All Other Offences (excluding Motoring),74,82.4%,12,17.6%
L Motoring Offences,521,90.4%,54,9.6%
Admin Finalisations,0,0.0%,9,100.0%
TOTAL,"1,244",88.7%,159,11.3%
