No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Transfer HENRY,Stage 2 - Total,Stage 3 - Exclusion QUIGLEY,Stage 3 - Total,Stage 4 - Exclusion MARSHALL,Stage 4 - Total,Stage 5 - Exclusion REID,Stage 5 - Total,Stage 6 - Transfer O'LOAN,Stage 6 - Total,Stage 7 - Exclusion MCCARTNEY,Stage 7 - Total,Stage 8 - Transfer WALES,Stage 8 - Total,Stage 9 - Exclusion ARMSTRONG,Stage 9 - Total,Stage 10 - Transfer ANDERSON,Stage 10 - Total,Stage 11 - Exclusion DUNLOP,Stage 11 - Total,
1,ANDERSON,Donna,Traditional Unionist Voice - TUV,Elected  - Stage 9,738.00,16.72,754.72,43.42,798.14,6.00,804.14,0.00,804.14,0.00,804.14,9.10,813.24,0.62,813.86,304.00,1117.86,-295.86,822.00,0.00,822.00,
2,ARMSTRONG,Matthew,Traditional Unionist Voice - TUV,Excluded - Stage 8,377.00,11.88,388.88,11.32,400.20,4.66,404.86,0.00,404.86,0.00,404.86,7.88,412.74,0.31,413.05,-413.05,0.00,0.00,0.00,0.00,0.00,
3,CARSON,John,DEMOCRATIC UNINIONIST PARTY - D.U.P.,Elected  - Stage 10,582.00,16.50,598.50,26.98,625.48,7.66,633.14,0.00,633.14,0.45,633.59,50.30,683.89,46.50,730.39,30.96,761.35,98.00,859.35,0.00,859.35,
4,DUNLOP,Jayne,ALLIANCE PARTY,Excluded - Stage 10,310.00,18.48,328.48,5.42,333.90,76.28,410.18,12.54,422.72,49.05,471.77,1.44,473.21,0.00,473.21,5.22,478.43,4.00,482.43,-482.43,0.00,
5,GLOVER,Reuben,DEMOCRATIC UNINIONIST PARTY - D.U.P.,Elected  - Stage 11,427.00,12.76,439.76,21.76,461.52,8.88,470.40,0.00,470.40,0.45,470.85,60.96,531.81,11.78,543.59,21.20,564.79,63.00,627.79,19.66,647.45,
6,HENRY,James,INDEPENDENT,Elected  - Stage 1,1042.00,-220.00,822.00,0.00,822.00,0.00,822.00,0.00,822.00,0.00,822.00,0.00,822.00,0.00,822.00,0.00,822.00,0.00,822.00,0.00,822.00,
7,MAGUIRE,Marian,SINN FEIN,Excluded - Stage 11,477.00,2.42,479.42,0.00,479.42,5.00,484.42,31.88,516.30,31.95,548.25,0.00,548.25,0.00,548.25,0.00,548.25,0.00,548.25,57.20,605.45,
8,MARSHALL,Richard,NI21,Excluded - Stage 3,211.00,14.74,225.74,10.54,236.28,-236.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
9,MCCARTNEY,David A,DEMOCRATIC UNINIONIST PARTY - D.U.P.,Excluded - Stage 6,332.00,14.08,346.08,9.66,355.74,6.44,362.18,0.00,362.18,0.00,362.18,-362.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
10,NICHOLL,Stephen,ULSTER UNIONIST PARTY,Elected  - Stage 11,381.00,37.18,418.18,16.76,434.94,42.08,477.02,3.44,480.46,0.45,480.91,16.42,497.33,0.62,497.95,36.72,534.67,82.00,616.67,112.25,728.92,
11,O'LOAN,Declan,SDLP (SOCIAL DEMOCRATIC & LABOUR PARTY),Elected  - Stage 5,635.00,14.08,649.08,6.44,655.52,16.54,672.06,234.00,906.06,-84.06,822.00,0.00,822.00,0.00,822.00,0.00,822.00,0.00,822.00,0.00,822.00,
12,QUIGLEY,Rodney,INDEPENDENT,Excluded - Stage 2,176.00,21.34,197.34,-197.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
13,REID,Eugene,SDLP (SOCIAL DEMOCRATIC & LABOUR PARTY),Excluded - Stage 4,289.00,3.52,292.52,1.00,293.52,3.00,296.52,-296.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
14,WALES,Audrey,DEMOCRATIC UNINIONIST PARTY - D.U.P.,Elected  - Stage 7,598.00,34.76,632.76,25.08,657.84,24.76,682.60,2.00,684.60,0.45,685.05,198.00,883.05,-61.05,822.00,0.00,822.00,0.00,822.00,0.00,822.00,
Non transferable,,,,,,1.54,1.54,18.96,20.50,34.98,55.48,12.66,68.14,1.26,69.40,18.08,87.48,1.22,88.70,14.95,103.65,48.86,152.51,293.32,445.83,
Totals,,,,,6575.00,,6575.00,,6575.00,,6575.00,,6575.00,,6575.00,,6575.00,,6575.00,,6575.00,,6575.00,,6575.00,
