DEPARTMENT FAMILY,ENTITY,DATE,EXPENSE,EXPENSE AREA,SUPPLIER,TRANSACTION NUMBER,AMOUNT,,,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,17-Jun-11,SEN LECTURER,GENERAL SURGERY,UNIVERSITY OF LIVERPOOL,356707,63232.38,,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,15-Jun-11,LEASE RENTS,HUMAN RESOURCES,LAMBERT SMITH HAMPTON,356556,25500,,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,24-Jun-11,WATER & SEWERAGE,FACILITIES,UNITED UTILITIES,357298,26583.64,,,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,03-Jun-11,BUILDING AND ENGINEERING EQUIPMENT MAINTENANCE,BREAST SERVICES,NHS SUPPLY CHAIN,344584,26216.1,,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,29-Jun-11,RENT,OTHER FACILITIES SERVICES,VINCI PARK SERVICES UK LTD,358374,30205.12,,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,22-Jun-11,RENT,OTHER FACILITIES SERVICES,VINCI PARK SERVICES UK LTD,357533,30680.32,,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,29-Jun-11,RENT,OTHER FACILITIES SERVICES,VINCI PARK SERVICES UK LTD,358373,30680.32,,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,29-Jun-11,POSTAGE AND CARRIAGE,OPERATIONAL MANAGEMENT,NEOPOST LTD,359491,32400,,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,17-Jun-11,CRECHE EXPENSES,HUMAN RESOURCES,EDENRED CHILDCARE VOUCHERS LTD,356349,35048.53,,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,17-Jun-11,BLOOD PRODUCTS,CLINICAL HAEMATOLOGY,ALLIANCE HEALTHCARE DISTRIBUTION LTD,349965,35520,,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,17-Jun-11,BLOOD PRODUCTS,CLINICAL HAEMATOLOGY,ALLIANCE HEALTHCARE DISTRIBUTION LTD,353408,35520,,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,24-Jun-11,RENTS,OPERATIONAL MANAGEMENT,BALL B,356418,38024.4,,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,24-Jun-11,LABORATORY EQUIPMENT,BLOOD SCIENCES,BECKMAN COULTER UK,357077,38293.57,,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,10-Jun-11,PHOTOGRAPHIC MATERIALS,IMAGING,NHS SUPPLY CHAIN,355128,31943.03,,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,24-Jun-11,WATER & SEWERAGE,FACILITIES,UNITED UTILITIES,357295,38931.62,,,,,,,
DEPARTMENT OF HEALTH,CAPITAL SCHEMES,10-Jun-11,CAPITAL WORKS,CAPITAL SCHEMES,JOHN TURNER AND SONS,355161,38398.14,,,,,,,
DEPARTMENT OF HEALTH,CAPITAL SCHEMES,24-Jun-11,CAPITAL WORKS,CAPITAL SCHEMES,WHITFIELD AND BROWN DEV LTD,358319,34779.53,,,,,,,
DEPARTMENT OF HEALTH,TRUST,17-Jun-11,CONSUMABLES,VARIOUS DIRECTORATES,CDP LTD,355975,47024.88,,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,29-Jun-11,EXTERNAL CONSULTANCY FEES,TRUST BOARD,MEDWORXX INC,359319,47520,,,,,,,
