,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department,Organisation Name,Basis for expenditure approval,Project name,Value (œM),Total Value Requested (œM),Total Value Approved (œM),Basis for Exception,Approval month,Civil Service Grade (FTE),,,,,,Civil Service Grade (Headcount),,,,,,Total approvals (Headcount),Total Approvals (FTE),Date of update,,,,,,
,,,,,,,,,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,,,,,,,,,
Home Office,Home Office,External Recruitment,,,,,,,8,26,13,21,37,8,8,26,13,21,37,8,113,113,Dec-12,,,,,,
Home Office,UKBA,External Recruitment,,,,,,,89,71,1,,1,2,89,71,1,,1,2,164,164,Dec-12,,,,,,
Home Office,Border Force,External Recruitment,,,,,,,28,32,1,1,,,28,32,1,1,,,62,62,Dec-12,,,,,,
Home Office,IPS,External Recruitment,,,,,,,,,,,,,27,,,,1,,28,,Dec-12,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is the first time FTE as well as headcount is reported. IPS are not able to provide FTE numbers due to inconsistent application of the definition for counting purposes. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
