A3131. Expenditure Over Threshold Report (AP),,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Blood Products,HAEM + BLOOD TRANSFUSION,NHS BLOOD & TRANSPLANT,20740031,"103,917.00",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,CNST contributions,CLINICAL NEGLIGENCE,,SSC NHSLA CNST,"518,946.00 ",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Computer Maintenance,Trust internal recharges,CIVICA UK LTD,20493631,"120,000.00",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Computer Maintenance,TRUST IT SYSTEMS,INSIGHT DIRECT (UK) LTD,20657702,"52,323.60",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Computer Software/License,TRUST IT SYSTEMS,CSC COMPUTER SCIENCES LTD,20579027,"36,000.00",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Data Lines,HIS programme costs - shared services,VIRGIN MEDIA BUSINESS LTD,20446043,"26,424.66",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Data Lines,HIS programme costs - shared services,VIRGIN MEDIA BUSINESS LTD,20699388,"25,037.55",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Membership Fees,CHIEF EXECUTIVE'S OFFICE,SALFORD ROYAL HOSPITALS NHS FOUNDATION TRUST,20750957,"40,000.00",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,A + E MEDICAL STAFF WH,LIAISON FINANCIAL SERVICES LTD,20424220,"2,268.52",
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,B + P MEDICAL STAFF,LIAISON FINANCIAL SERVICES LTD,20424220,330.82,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,CARE OF ELDERLY MED STAFF,LIAISON FINANCIAL SERVICES LTD,20424220,98.42,
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/10/2016,Administration Fee,DERMATOLOGY,LIAISON FINANCIAL SERVICES LTD,20424220,337.50,
