CPS outcomes by principal offence category ashire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,3,100.0%,0,0.0%
B Offences Against The Person,407,70.5%,170,29.5%
C Sexual Offences,36,87.8%,5,12.2%
D Burglary,94,90.4%,10,9.6%
E Robbery,24,82.8%,5,17.2%
F Theft And Handling,420,91.3%,40,8.7%
G Fraud And Forgery,22,84.6%,4,15.4%
H Criminal Damage,141,87.0%,21,13.0%
I Drugs Offences,143,96.0%,6,4.0%
J Public Order Offences,264,86.0%,43,14.0%
K All Other Offences (excluding Motoring),110,89.4%,13,10.6%
L Motoring Offences,718,89.9%,81,10.1%
Admin Finalisations,0,0.0%,18,100.0%
TOTAL,"2,382",85.1%,416,14.9%
