VALUATION TRIBUNAL SERVICE,,,,,,,,,
Transparency Report ,,,,,,,,,
,,,,,,,,,
Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling,,
Communities & Local Government,VTS,08/03/2013,Hospitality,Operational,AVANTA HARROW LTD,2100095199,28.80,,
Communities & Local Government,VTS,08/03/2013,Temporary Accommodation,Operational,AVANTA HARROW LTD,2100095199,252.00,,
Communities & Local Government,VTS,08/03/2013,Temporary Accommodation,Operational,AVANTA HARROW LTD,2100095199,360.00,,
Communities & Local Government,VTS,18/03/2013,Office Supplies,Operational,BANNER BUSINESS SUPPLIES LTD,2100095471,40.99,,
Communities & Local Government,VTS,18/03/2013,Office Supplies,Operational,BANNER BUSINESS SUPPLIES LTD,2100095471,319.06,,
Communities & Local Government,VTS,18/03/2013,Office Supplies,Operational,BANNER BUSINESS SUPPLIES LTD,2100095471,352.51,,
Communities & Local Government,VTS,18/03/2013,Office Supplies,Operational,BANNER BUSINESS SUPPLIES LTD,2100095471,"2,808.00",,
Communities & Local Government,VTS,18/03/2013,Office Supplies,Operational,BANNER BUSINESS SUPPLIES LTD,2100095471,102.82,,
Communities & Local Government,VTS,19/03/2013,Temporary Accommodation,Operational,BRUNTWOOD ESTATES BETA PORTFOLIO LT,2100095520,"1,021.68",,
Communities & Local Government,VTS,13/03/2013,Domestic Services,Estates,CLEANERS U LIKE,2100095297,424.00,,
Communities & Local Government,VTS,12/03/2013,Variable Maintenance < £15k,Estates,COFELY LTD,2100095281,683.68,,
Communities & Local Government,VTS,19/03/2013,Heating and lighting,Estates,CORONA ENERGY LTD,2100095491,322.70,,
Communities & Local Government,VTS,08/03/2013,Hospitality,Operational,DERBYSHIRE & NOTTS CHAMBER,2100095165,17.28,,
Communities & Local Government,VTS,08/03/2013,Temporary Accommodation,Operational,DERBYSHIRE & NOTTS CHAMBER,2100095165,78.00,,
Communities & Local Government,VTS,08/03/2013,Temporary Accommodation,Operational,DERBYSHIRE & NOTTS CHAMBER,2100095165,252.00,,
Communities & Local Government,VTS,19/03/2013,Hospitality,Operational,DERBYSHIRE & NOTTS CHAMBER,2100095512,16.80,,
Communities & Local Government,VTS,19/03/2013,Temporary Accommodation,Operational,DERBYSHIRE & NOTTS CHAMBER,2100095511,78.00,,
Communities & Local Government,VTS,19/03/2013,Temporary Accommodation,Operational,DERBYSHIRE & NOTTS CHAMBER,2100095511,252.00,,
Communities & Local Government,VTS,19/03/2013,Temporary Accommodation,Operational,DERBYSHIRE & NOTTS CHAMBER,2100095512,78.00,,
Communities & Local Government,VTS,19/03/2013,Temporary Accommodation,Operational,DERBYSHIRE & NOTTS CHAMBER,2100095512,126.00,,
Communities & Local Government,VTS,19/03/2013,Temporary Accommodation,Operational,DERBYSHIRE & NOTTS CHAMBER,2100095512,126.00,,
Communities & Local Government,VTS,19/03/2013,Temporary Accommodation,Operational,DURHAM CENTRE,2100095521,330.00,,
Communities & Local Government,VTS,22/03/2013,Temporary Accommodation,Operational,DURHAM CENTRE,2100095716,330.00,,
Communities & Local Government,VTS,22/03/2013,Variable Maintenance < £15k,Estates,ENERGY ASSETS LTD,2100095739,"1,048.61",,
Communities & Local Government,VTS,13/03/2013,Temporary Accommodation,Operational,HARROGATE BC,2100095283,344.80,,
Communities & Local Government,VTS,19/03/2013,Hospitality,Operational,KINGSTON UPON HULL CITY COUNCIL,2100095510,7.25,,
Communities & Local Government,VTS,19/03/2013,Temporary Accommodation,Operational,KINGSTON UPON HULL CITY COUNCIL,2100095510,300.00,,
