CPS outcomes by principal offence category humberside,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,222,82.6%,37,17.4%
C Sexual Offences,18,79.3%,4,20.7%
D Burglary,53,89.1%,6,10.9%
E Robbery,9,88.9%,2,11.1%
F Theft And Handling,264,94.8%,15,5.2%
G Fraud And Forgery,19,91.7%,1,8.3%
H Criminal Damage,58,84.2%,4,15.8%
I Drugs Offences,75,95.5%,4,4.5%
J Public Order Offences,190,88.2%,11,11.8%
K All Other Offences (excluding Motoring),27,95.0%,2,5.0%
L Motoring Offences,378,92.6%,36,7.4%
Admin Finalisations,0,0.0%,26,100.0%
TOTAL,"1,313",89.9%,148,10.1%
