Newcastle City Council Invoices over £500 paid in June 2012,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Expenditure Category,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Cost Centre,Cost Centre Description,Grand Total,
Adult and Culture,Westgate AE   td            ,"Sales, Fees & Charges",21 June 2012,WESTGATE COMMUNITY COMPLEX,5555163,Revenue,1EA06,Curriculum West FE           M,571.50,
Adult and Culture,Westgate AE   td            ,Supplies & Services,20 June 2012,IYABO MEG OSAGE,5553487,Revenue,1EA06,Curriculum West FE           M,558.00,
Adult and Culture,Adult - Learning & Development   ,Employees,15 June 2012,NORTH TYNESIDE COUNCIL,5547601,Revenue,1MR54,Adults & Childrens Training  M,600.00,
Adult and Culture,Adult - Learning & Development   ,Employees,25 June 2012,NORTH TYNESIDE COUNCIL,5558903,Revenue,1MR54,Adults & Childrens Training  M,2910.00,
Adult and Culture,Adult - Learning & Development   ,Employees,15 June 2012,Redacted Personal Data,5547612,Revenue,1MR34,Development - Adult services M,900.00,
Adult and Culture,Adult - Learning & Development   ,Supplies & Services,15 June 2012,Redacted Personal Data,5547613,Revenue,1MR64,Students Training & DevelopmeM,1500.00,
Adult and Culture,Adult Serv - MIST          ,Supplies & Services,21 June 2012,FIRSTLINK I.T. SOLUTIONS LTD,5555179,Revenue,1MR53,Care First                   M,1425.00,
Adult and Culture,Adult Serv - MIST          ,Supplies & Services,12 June 2012,FIRSTLINK I.T. SOLUTIONS LTD,5542720,Revenue,1MR53,Care First                   M,1425.00,
Adult and Culture,Adult Serv - MIST          ,Supplies & Services,19 June 2012,FIRSTLINK I.T. SOLUTIONS LTD,5547614,Revenue,1MR53,Care First                   M,1425.00,
Adult and Culture,Adult Serv - MIST          ,Supplies & Services,14 June 2012,OLM SYSTEMS LTD,5545669,Revenue,1MR53,Care First                   M,3400.00,
Adult and Culture,Adult Serv - MIST          ,Supplies & Services,29 June 2012,OLM SYSTEMS LTD,5563921,Revenue,1MR53,Care First                   M,500.00,
Adult and Culture,Adult Serv Admin Support   ,Premises,27 June 2012,N POWER NORTHERN LTD,5561754,Revenue,1MR22,Brian Roycroft Centre        M,419.30,
Adult and Culture,Adult Serv Admin Support   ,Premises,13 June 2012,N POWER NORTHERN LTD,5544541,Revenue,1MG23,Harehills                    M,742.07,
Adult and Culture,Adult Serv Admin Support   ,Supplies & Services,29 June 2012,LTC HEALTHCARE,5541578,Revenue,1MP18,Shine Project (Womens HIV)   M,698.92,
Adult and Culture,Adult Serv Admin Support   ,Supplies & Services,14 June 2012,NATIONAL AIDS TRUST,5543684,Revenue,1MP11,Healthy Alliances            M,583.00,
Adult and Culture,Adult Serv Admin Support   ,Supplies & Services,22 June 2012,NEOPOST FINANCE LTD,5555484,Revenue,1MR10,Performance                  M,536.05,
Adult and Culture,Adult Serv Byker Lodge     ,Premises,25 June 2012,N POWER NORTHERN LTD,5558939,Revenue,1MG26,Byker Lodge                  M,1327.82,
Adult and Culture,Adult Serv Drug Action Team  ,Supplies & Services,01 June 2012,CASMACO LTD,5535482,Revenue,1MF29,DIP Drug Intervention ProgramM,6427.20,
Adult and Culture,Adult Serv Drug Action Team  ,Supplies & Services,07 June 2012,Redacted Personal Data,5538756,Revenue,1MP05,DSU Service User Involvement M,720.00,
Adult and Culture,Adult Serv Finance         ,Employees,28 June 2012,OPEN UNIVERSITY,5563358,Revenue,1MR34,Development - Adult services M,1935.00,
Adult and Culture,Adult Serv Finance         ,Premises,13 June 2012,N POWER NORTHERN LTD,5544199,Revenue,1MR07,Shieldfield Centre           M,1974.73,
Adult and Culture,Adult Serv Finance         ,Supplies & Services,29 June 2012,LEARNING FIRST LTD,5559292,Revenue,1EA37,Franchised Learners FE       M,7804.76,
Adult and Culture,Adult Serv Finance         ,Supplies & Services,19 June 2012,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5551117,Revenue,1MG98,Social Care Reform Grant     M,2830.05,
