Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,HAFS-23948,50000,,WA7 2DA,PUBLIC,,,
,,26/02/2018,Additions-PDC permanent,DG: Holding CT Core,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,HAFS-23947,94000,,ST4 7LN,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,HAFS-23946,27000,,ST4 7LN,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,HAFS-23945,1406000,,TA1 5DA,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,HAFS-23944,350000,,WF3 1WE,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,SOUTH TYNESIDE NHS FOUNDATION TRUST,HAFS-23943,130000,,NE34 0PL,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,HAFS-23942,950000,,TS4 3BW,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS T Permanent,DG: Holding CT Core,SANDWELL & WEST BIRMINGHAM HOSPTIALS NHS TRUST,HAFS-23941,210000,,B18 7QH,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,ROYAL FREE LONDON NHS FOUNDATION TRUST,HAFS-23940,1702000,,NW3 2QG,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,HAFS-23939,90000,,DN4 8QN,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-23938,570000,,OX3 7HE,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,HAFS-23937,900000,,DN15 7BH,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,HAFS-23936,722000,,NR8 6AN,PUBLIC,,,
,,26/02/2018,Additions PDC Capital Support NHS FT Permanent,DG: Holding CT Core,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-23935,295000,,MK6 5LD,PUBLIC,,,
