"Main 
department",Organisation,Delegated grades only,,,,,,,,,,,,,,SCS on standard contracts (end of year NCPRP),,,,,,,,Information for SCS on non-standard contracts,,Comments
,,"Annual Paybill 
(delegated grades
for financial year 2014/15)","Headcount 
(delegated grades as at 31 March 2015)",In-year,,,,,End of Year,,,,,Total,,,,,,,,,,,,
,,,,"Cost of in-year NCPRP for delegated grades
(£s)",Number of staff in delegated grades receiving an in-year NCPRP,Number of staff in delegated grades receiving an in-year NCPRP as a % of headcount,Value of maximum in-year NCPRP paid to a member of staff in the delegated grades,Median NCPRP for those receiving an in-year NCPRP fopr delegated grades,"Cost of end of year NCPRP for delegated grades
(£s)",Number of staff in delegated grades receiving an end of year NCPRP,Delegated grade staff receiving an end of year NCPRP as a % of headcount,Value of maximum end of year NCPRP paid to a member of staff in the delegated grades,Median NCPRP for those receiving an end of year NCPRP fopr delegated grades,"Overall cost of NCPRP (in-year and end of year) for delegated grades
","Cost of NCPRP as a % of paybill for delegated grades
(%)","Annual SCS Paybill for those SCS on standard contracts
(for financial year 2014/15)","Number of SCS on standard contracts - Headcount 
(as at 31 March 2015)","Cost of NCPRP for SCS standard contract staff
(£s)","Cost of NCPRP for SCS standard contract staff as a % of SCS standard contract staff paybill for 2014/15
(%)",Number of SCS standard contract staff receiving a NCPRP,SCS standard contract staff receiving a NCPRP as a % of SCS standard contract staff headcount,Value of maximum NCPRP paid to a member of SCS standard contract staff for 2014/15,Median NCPRP for those SCS standard contract staff receiving a NCPRP,"Number of SCS on non-standard contracts - Headcount 
(as at 31 March 2015)",Value of maximum NCPRP paid to a member of SCS non-standard contract staff for 2014/15,
"Department for Business, Innovation and Skills","Business, Innovation and Skills","£146,114,076",2918,"£622,483",1953,66.90%,"£1,500",£100,"£1,150,200",683,23.40%,"£1,800","£1,620","£1,772,683",1.20%,"£24,529,690",214,"£594,000",2.40%,55,25.70%,"£16,000","£10,000",8,"£17,500","Figures include core BIS, UKSA and UKTI"
"Department for Business, Innovation and Skills",National Measurement Office,"£3,859,378",78,"£17,275",51,65.40%,"£1,000",£250,"£25,970",20,25.60%,"£1,800","£1,620","£43,245",1.10%,£0,0,£0,0.00%,0,0.00%,£0,£0,0,£0,
"Department for Business, Innovation and Skills",Advisory Conciliation and Arbitration Service,"£24,768,044",856,£0,0,0.00%,£0,£0,£0,0,0.00%,£0,£0,£0,0.00%,"£331,486",4,"£10,878",3.30%,2,50.00%,"£6,000","£5,439",0,£0,Acas does not operate a NCPRP scheme for delegated grades
"Department for Business, Innovation and Skills",Skills Funding Agency,"£56,893,000",914,"£11,457",175,19.10%,£100,£50,"£256,550",206,22.50%,"£1,375","£1,250","£268,007",0.50%,£0,0,£0,0.00%,0,0.00%,£0,£0,26,"£12,000",
"Department for Business, Innovation and Skills",Companies House,"£29,399,426",870,"£6,275",42,4.80%,£400,£150,"£1,249,614",1044,120.00%,"£3,228","£1,197","£1,255,889",4.30%,"£44,302",4,£0,0.00%,1,25.00%,"£12,000","£12,000",0,£0,
"Department for Business, Innovation and Skills",Insolvency Service,"£62,284,253",0,£0,0,0.00%,£0,£0,£0,0,0.00%,£0,£0,£0,0.00%,"£826,335",7,"£10,000",1.20%,1,14.30%,"£10,000","£10,000",0,£0,Please note that the 14/15 award (due on 1 August 2014) has not been completed yet and the approval process continues with Treasury. At present there is no expectation that performance related payments will be made with this award.
"Department for Business, Innovation and Skills",Met Office,"£90,792,117",2040,"£448,883",1816,89.00%,£150,£75,"£1,065,320",1916,93.90%,"£2,500",£175,"£1,514,203",1.70%,£0,0,£0,0.00%,0,0.00%,£0,£0,0,£0,There are no SCS working in the Met Office
"Department for Business, Innovation and Skills",UK Intellectual Property Office,"£45,521,200",1128,"£84,505",775,68.70%,£850,£30,"£387,746",265,23.50%,"£12,000","£1,074","£472,251",1.00%,"£558,520",7,"£10,000",1.80%,1,14.30%,"£10,000","£10,000",0,£0,
"Department for Business, Innovation and Skills",Land Registry,"£150,919,336",4351,£0,0,0.00%,£0,£0,"£670,199",651,15.00%,"£1,100","£1,100","£670,199",0.40%,"£1,663,581",11,"£22,000",1.30%,2,18.20%,"£12,000","£11,000",0,£0,End of year NCPRP for 2014-15 for Land Registry's delegated grades has not yet been paid.  Land Registry does not award in-year payments.
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
