Minister,Date,Name of organisation or individual,Purpose of meeting
Alan Duncan,02/10/2017,Matt Abbott,"CCGA ""Deep Dish"" Podcast "
Alan Duncan,02/10/2017,"Kevin Start, Midwest Energy News",Q&A
Alan Duncan,02/10/2017,Chicago Council,Speech then Q&A on Global Affairs
Alan Duncan,03/10/2017,Grant Street Consultants,On the state of the Republican party in Ohio 
Alan Duncan,03/10/2017,Colombus Dispatch,Press engagement
Alan Duncan,19/10/2017,"Peter Mather, Group Regional Vice President and Vice President, Russia (BP)",At BP's request to deliver message on Russia
Alan Duncan,24/10/2017,"Victoria Nuland, former US Assistant Secretary of State",Bilateral meeting
Alan Duncan,07/11/2017,Ora News (Ilva Tare),Interview as part of official visit to Albania
Alan Duncan,13/11/2017,The Abu Dhabi Investment Authority,On Brexit and future of EU
Alan Duncan,14/11/2017,Thalidomide Trust’s National Advisory Council ,On compensation from the German Government 
Tariq Ahmad,09/10/2017,Roundtable on Gender and Countering Violent Extremism ,To understand how womens groups can play a role in countering violent extremism  
Tariq Ahmad,10/10/2018,"Chagos Islanders Movement
Chagos Refugees Group (UK)
Chagos Women’s Welfare Group
Diego Garcia and Chagos Islands Council
Crawley British Chagossian Community
Chagos Islanders Movement
Chagos Refugees Group (UK)
Chagos Women’s Welfare Group
Diego Garcia and Chagos Islands Council
Crawley British Chagossian Community
",Roundtable with members of the Chagossian community
Tariq Ahmad,11/10/2018,Families for Freedom,To discuss human rights in Syria
Tariq Ahmad,18/10/2017,The Why Foundation,To discuss tackling international modern slavery
Tariq Ahmad,23/10/2017,"Bishop Declan Lang, (9th Bishop of Clifton)",To discuss support for freedom of religion or belief initiatives
Tariq Ahmad,23/10/2017,"Lambeth Palace 
Catholic Bishops’ Conference 
His Grace Bishop Angaelos,  Coptic Orthodox Church
Board of Deputies of British Jews
Humanists UK 
Al-Khoei FoundationAhmadiyya Muslim Community UK
Elder Alan Phillips, Church of the Latter Day Saints
Church of England Christian Solidarity Worldwide 
Bahá'í Community of the UK
Sikh Council UK
Hindu Council UK       
Rubab Mehdi H Rizvi              ",Roundtable with faith leaders on the situation in Burma 
Tariq Ahmad,30/10/2018,"Alison Smale, UN Under Secretary General for Global Communications ",To discuss human rights communications campaigns 
Tariq Ahmad,30/10/2018,"Achim Steiner, United Nations Development Programme Administrator and various UN Permanent Representatives",To discuss development issues
Tariq Ahmad,26/10/2018,"Meeting with  St. Ethelburga's Centre for Reconciliation and Peace 
",To discuss the promotion of freedom of religion world wide
Tariq Ahmad,31/10/2017,"Jeff Feltman, UN Under Secretary General for Department for Political Affairs",To discuss the situation of the Rohingya in Burma
Tariq Ahmad,30/10/2018,"Louise Fréchette, United Nations Deputy Secretary General",To discuss UN Reform
Tariq Ahmad,02/11/2018,"Dr Mariam Shakeela  
Visaka Dharmadasa
Bushra Qadeem Hyder
International Civil Society Action
International Alert
Saferworld
London School of Economics
Concilliation Resources
Women's International League for Peace and Freedom
Mercy Corps
The Royal United Services Institute
Mossarat Qadeem ",To discuss the role of women in tackling religiously motivated violent extremism
Tariq Ahmad,07/11/2018,"Norman Christie, Regional President of BP Trinidad and Tobago 
Vincent Pereira, President of BHP 
Derek Hudson, Country Chair Shell Trinidad and Tobago
Dr Thackwray (Dax) Driver, President & CEO, Energy Chamber
Nigel Darlow, CEO, Atlantic LNG",To discuss buisness climate in Trinidad and Tobago
Tariq Ahmad,10/11/2018,Meeting with Kingston High students and the Citizen Security and Justice Programme,To see a UK funded project
Tariq Ahmad,15/11/2018,"George Hassall, Director of Royal and Diplomatic Affairs, Jaguar Land Rover",To discuss funding for Commonwealth Summit
Tariq Ahmad,16/11/2018,Canada UK Council,To promote Commonwealth engagement and the bilateral relationship between the UK and Canada
Tariq Ahmad,16/11/2018,"António Guterres, Secretary-General of the United Nations",To discuss collaborative working at the UN
