Entity,GL Date,Merchant name,Amount,Description
JNCC ,22/03/2016,Air Bnb ,610,4 staff members x 3 nights accommodation to attend Marine Geologist & Biological Habitat Mapping (GeoHab) conference (3-5 May) Winchester
JNCC ,30/03/2016,Haymarket Subscriptions ,631,Subscription to Environmental Data Services report from June 2016 - May 2017
JNCC ,04/03/2016,Netflights,837.23,"1 x external delegate return flight to a 5 day Towed Passive Acoustic Monitoring workshop at the Scripps Institute of Oceanography in  San Diego, California"
JNCC ,31/03/2016,1 Spatial ,"1,032.00",Purchase of Feature Manipulation Engine (FME) Software YXNT-DKM5-116X (12 months annual maintenance; 31/03/2016-31/03/2017)
JNCC ,16/03/2016,Air Bnb ,"1,235.00","3 x staff members accommodation for 6 nights to attend 4th International conference on the effects of Noise on Aquatic Life, Dublin"
NE,02/03/2016,ENVIROMENT AGENCY,"2,479.21",Water quality monitoring project at Malham Tarn to investigate condition and status of the site - 1 October-15 November 2015
NE,07/03/2016,ASPECT SIGNS,501.6,Plastic England Coast Path waymarker signs
NE,07/03/2016,BROOK STREET (BUREAU),"86,044.57",Agency staff costs
NE,07/03/2016,BROOK STREET (BUREAU),"84,532.42",Agency staff costs
NE,07/03/2016,BROOK STREET (BUREAU),"85,596.59",Agency staff costs
NE,07/03/2016,BROOK STREET (BUREAU),"84,929.66",Agency staff costs
NE,07/03/2016,FRANCOTYP,"2,096.00",Franking machine Top-up - Crewe office (11 February 2016)
NE,07/03/2016,FRANCOTYP,"2,096.00",Franking machine Top-up - Crewe office (16 February 2016)
NE,07/03/2016,FRANCOTYP,"2,096.00",Franking machine Top-up for Countryside Stewardship claim mail shot - Crewe office (10 February 2016)
NE,07/03/2016,FRANCOTYP,"2,096.00",Franking machine Top-up for Countryside Stewardship claim mail shot - Crewe office (10 February 2016)
NE,07/03/2016,FRANCOTYP,"2,096.00",Franking machine Top-up - Crewe office (10 February 2016)
NE,07/03/2016,FRANCOTYP,"1,048.00",Franking machine Top-up - Crewe office (2 February 2016)
NE,07/03/2016,H M LAND REGISTRY,"1,663.20",Land Registry search to contact all owner/occupiers within proposed Outer Thames marine SPA (Special Protection Area) boundary.  Existing records also used or updated to reduce cost as much as possible
NE,07/03/2016,INVESTEC ASSET FINANCE,"1,377.46",Lease of franking machine at Worcester office -1 February-30 April 2016
NE,07/03/2016,INVESTEC ASSET FINANCE,"1,427.44",Lease of franking machine at Crewe office -1 February-30 April 2016
NE,07/03/2016,PROVINCE OPERA,843.51,"Full delegate rate (accommodation and all meals) for 19 people and two daytime delegates attending INTERREG workshop, Paris - 11-13 January 2016"
NE,07/03/2016,ROYAL MAIL,"1,660.00",Postage for initial and second letters sent to land owners who may be affected by the alignment of the England Coast Path on the south coast for the Coastal Access South Hub
NE,07/03/2016,ROYAL MAIL,830,Postage for initial and second letters sent to land owners who may be affected by the alignment of the England Coast Path on the south coast for the Coastal Access South Hub
NE,07/03/2016,SMARTLINE,785.96,Annual subscription for Online Web Survey Application Tool - 22 February 2016-21 February 2017
NE,07/03/2016,VERDANT SOLUTIONS LIMITED,874.52,16 coir rolls for trial use for flooding and soil run off reduction within the Rivers Tone and Parrett catchments in Somerset and linked to the Somerset Flood Action Plan and Catchment Sensitive Farming
NE,07/03/2016,WORLD OF TRAVEL,885.98,Staff training and subsistence for 35 people for half a day for Farming Advice Framework inception meeting - 16 April 2015
NE,07/03/2016,WWW.NEOPOST.CO.UK,"2,492.60",Franking machine Top-up for sending out Countryside Stewardship applications and Annual Claims forms - Reading office (10 February 2016)
NE,07/03/2016,WWW.NEOPOST.CO.UK,"2,287.69",Franking machine Top-up - Reading office (1 February 2016)
NE,09/03/2016,FORFARMERS UK LTD,"1,854.00",Six tonnes of cattle concentrates and two tonnes of sheep concentrates for Parsonage Down National Nature Reserve
NE,09/03/2016,ROOTS AND SHOOTS,584,Staff training and subsistence for 33 people for one day for Conservation Strategy workshop - 31 January 2016
NE,09/03/2016,ROYAL MAIL GROUP,"1,560.00",Postal redirections from old Leeds office (Queen Street) to new Leeds office (Lateral) following relocation
NE,09/03/2016,WWW.AVANTIGAS.COM,696.09,Liquid petroleum gas (LPG) for Ainsdale Sand Dunes National Nature Reserve
NE,15/03/2016,DEVON & CORNWALL NEWSPAPERS LTD,504,"Notice inserted into local newspaper notifying the public of an opportunity to comment on applications and expressions of interest received by Natural England in relation to licences to control badger populations in specified counties in the South West, in line with Defra's guidance to Natural England - 18 February-16 March 2016"
NE,15/03/2016,ENVIROMENT AGENCY,"1,283.60",Water Framework Directive project to analyse the water quality of the inflows of the Midlands Meres - 19 May 2015-22 March 2016
NE,15/03/2016,ENVIROMENT AGENCY,"2,479.21",Water quality monitoring project at Malham Tarn to investigate condition and status of the site - 16 November-31 December 2015
NE,15/03/2016,HAYMARKET PUBLISHING SERVICES,588,On-line job advertisement for 13 Field Unit Officer posts - 9-23 June 2015
NE,15/03/2016,LW ADV SALE(SENTINEL1),638.4,"Notice inserted into local newspaper notifying the public of an opportunity to comment on applications and expressions of interest received by Natural England in relation to licences to control badger populations in specified counties in the South West, in line with Defra's guidance to Natural England - 18 February-16 March 2016"
NE,15/03/2016,LW ADV SALE(SENTINEL2),693.6,"Notice inserted into local newspaper notifying the public of an opportunity to comment on applications and expressions of interest received by Natural England in relation to licences to control badger populations in specified counties in the South West, in line with Defra's guidance to Natural England - 18 February-16 March 2016"
NE,15/03/2016,NEWSQUEST MEDIA,607.2,"Notice inserted into local newspaper notifying the public of an opportunity to comment on applications and expressions of interest received by Natural England in relation to licences to control badger populations in specified counties in the South West, in line with Defra's guidance to Natural England - 18 February-16 March 2016"
NE,15/03/2016,NOVOTEL LONDON WATERLOO,"1,184.75","Natural England February Board meeting for 18 people for one day with day delegate rate, plus 5 lunch guests from Defra and Secretary of State - 24 February 2016"
NE,15/03/2016,T KIRK FORESTRY TRAINING,798.95,Staff training for one person for five days plus one day assessment for chainsaw proficiency course - 14-18 December + 21 December 2015
NE,15/03/2016,WWW.NEOPOST.CO.UK,"2,492.60",Franking machine Top-up for sending out Countryside Stewardship applications and Annual Claims forms - Reading office (10 February 2016)
NE,15/03/2016,WWW.NEOPOST.CO.UK,"2,492.60",Franking machine Top-up for sending out Countryside Stewardship applications and Annual Claims forms - Reading office (11 February 2016)
NE,17/03/2016,LW ADV SALE(SENTINEL2),840.96,"Notice inserted into local newspaper notifying the public of an opportunity to comment on applications and expressions of interest received by Natural England in relation to licences to control badger populations in specified counties in the South West, in line with Defra's guidance to Natural England - 18 February-16 March 2016"
