P/L Individual Transactions Over £25K,Inv Cert Date between 01/05/2011 and 31/05/2011,,,,,,
Department Family,Entity,Invoice Date,Expense Type,Expense Area,Supplier Name,Invoice Number,Value
Department of Health,Colchester Hospital University NHS Foundation Trust,03/05/2011,CAPITAL BUILDINGS,CAPITAL SCHEMES,KIER EASTERN,10100028,"116,722.50"
Department of Health,Colchester Hospital University NHS Foundation Trust,04/05/2011,OTHER PAYABLES,CURRENT LIABILITIES,CHILDCARE VOUCHERS LTD,INA040069920,"28,228.92"
Department of Health,Colchester Hospital University NHS Foundation Trust,04/05/2011,OTHER PAYABLES,CURRENT LIABILITIES,CHILDCARE VOUCHERS LTD,INA040069920,"1,129.20"
Department of Health,Colchester Hospital University NHS Foundation Trust,04/05/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1012013940,"62,880.01"
Department of Health,Colchester Hospital University NHS Foundation Trust,04/05/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_154211_2,"38,750.35"
Department of Health,Colchester Hospital University NHS Foundation Trust,04/05/2011,CAPITAL EQUIPMENT,CAPITAL IM&T,TRUST MARQUE SOLUTIONS LTD,2147836,"34,200.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,04/05/2011,CAPITAL EQUIPMENT,CAPITAL IM&T,TRUST MARQUE SOLUTIONS LTD,2147836,"6,840.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,04/05/2011,CAPITAL EQUIPMENT,CAPITAL IM&T,TRUST MARQUE SOLUTIONS LTD,2147836,"3,528.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,04/05/2011,CAPITAL EQUIPMENT,CAPITAL IM&T,TRUST MARQUE SOLUTIONS LTD,2147836,705.60
Department of Health,Colchester Hospital University NHS Foundation Trust,04/05/2011,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1160001799,"75,165.77"
Department of Health,Colchester Hospital University NHS Foundation Trust,04/05/2011,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1060016963,"28,925.12"
Department of Health,Colchester Hospital University NHS Foundation Trust,05/05/2011,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,90842331,"6,334.85"
Department of Health,Colchester Hospital University NHS Foundation Trust,05/05/2011,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,90842331,"15,369.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,05/05/2011,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,90842331,"53,436.24"
Department of Health,Colchester Hospital University NHS Foundation Trust,05/05/2011,CLINICAL SUPPLIES,ANAESTHETICS,GE CAPITAL EQUIPMENT FINANCE LTD,288106,"35,143.62"
Department of Health,Colchester Hospital University NHS Foundation Trust,06/05/2011,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1060016962,"73,218.08"
Department of Health,Colchester Hospital University NHS Foundation Trust,06/05/2011,OTHER OPERATING EXPENSES,PHARMACY,WEST SUFFOLK HOSPITAL NHS TRUST,215534,"1,310.50"
Department of Health,Colchester Hospital University NHS Foundation Trust,06/05/2011,OTHER OPERATING EXPENSES,FINANCE,WEST SUFFOLK HOSPITAL NHS TRUST,215534,"35,000.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,09/05/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_154575_2,"39,101.94"
Department of Health,Colchester Hospital University NHS Foundation Trust,09/05/2011,CAPITAL EQUIPMENT,CAPITAL EQUIPMENT,INHEALTH LIMITED,IHL00016695,"420,000.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,11/05/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1012016210,"74,195.91"
Department of Health,Colchester Hospital University NHS Foundation Trust,11/05/2011,CLINICAL SUPPLIES,CARDIOLOGY,GE MEDICAL SYSTEMS LTD,5001677,"63,100.55"
Department of Health,Colchester Hospital University NHS Foundation Trust,11/05/2011,CLINICAL SUPPLIES,PATHOLOGY,NHS BLOOD & TRANSPLANT,803432,"123,439.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,12/05/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321366131,"31,433.40"
Department of Health,Colchester Hospital University NHS Foundation Trust,16/05/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_155970_2,"42,807.82"
Department of Health,Colchester Hospital University NHS Foundation Trust,16/05/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,SOUTHERN ELECTRIC PLC,231307501/0036,"25,415.62"
Department of Health,Colchester Hospital University NHS Foundation Trust,16/05/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,SOUTHERN ELECTRIC PLC,261342989/0029,"45,103.77"
Department of Health,Colchester Hospital University NHS Foundation Trust,17/05/2011,PREMISES & FIXED PLANT,ICT,MCKESSON INFORMATION SOLUTIONS UK LTD,INV006920,"56,204.49"
Department of Health,Colchester Hospital University NHS Foundation Trust,17/05/2011,OTHER OPERATING EXPENSES,CORPORATE SERVICES,CARE QUALITY COMMISSION,20031,"85,000.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,17/05/2011,PREMISES & FIXED PLANT,MEDICAL DIRECTOR,DR FOSTER LTD,0001007535,"82,200.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/05/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1012020567,"91,938.44"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/05/2011,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050616085,"12,600.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/05/2011,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050616085,"34,200.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/05/2011,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050616085,"59,400.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/05/2011,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050616085,"9,900.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/05/2011,CLINICAL SUPPLIES,CARDIOLOGY,MEDTRONIC LTD,1050616085,"12,000.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,20/05/2011,DRUGS,PATHOLOGY,BAXTER HEALTHCARE LTD,001387639,"20,720.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,20/05/2011,DRUGS,PATHOLOGY,BAXTER HEALTHCARE LTD,001387639,"5,180.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,20/05/2011,DRUGS,PATHOLOGY,BAXTER HEALTHCARE LTD,001387639,114.00
Department of Health,Colchester Hospital University NHS Foundation Trust,23/05/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,13948779,"49,958.54"
Department of Health,Colchester Hospital University NHS Foundation Trust,23/05/2011,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1060017223,"21,126.50"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,CLINICAL SUPPLIES,RADIOLOGY,ACCENTURE (UK) LTD,3003152925,"31,267.86"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,NON CLINICAL SUPPLIES,CORPORATE SERVICES,CARILLION HEALTH,119801,981.17
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,PREMISES & FIXED PLANT,CORPORATE SERVICES,CARILLION HEALTH,119801,"1,925.75"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,PREMISES & FIXED PLANT,DEVELOPMENTS,COLCHESTER BOROUGH COUNCIL,65712911JUNE11,"82,270.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,NON CLINICAL SUPPLIES,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"47,804.18"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"15,778.76"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,NON CLINICAL SUPPLIES,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"102,909.95"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,NON CLINICAL SUPPLIES,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"298,624.54"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,NON CLINICAL SUPPLIES,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"7,773.79"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,ESTABLISHMENT EXPENSES,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"161,417.68"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,-82.70
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"19,148.36"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,OTHER OPERATING EXPENSES,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"5,800.87"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"24,515.51"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"162,166.95"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"5,207.91"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,NON CLINICAL SUPPLIES,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,739.74
Department of Health,Colchester Hospital University NHS Foundation Trust,24/05/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,CARILLION HEALTH,119801,"28,785.38"
