Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,3248894,"162,592.50",,107181
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,AMBULANCE SERVICES,ARRIVA TRANSPORT SOLUTIONS,3259751,"92,880.61",,1001712
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,MEDISCAN DIAGNOSTIC SERVICES LTD,3259903,"26,448.00",,INV001162
Department of Health,NHS Oldham CCG,30/04/2014,Carers Allowance,CARERS,OLDHAM MBC,3275730,"30,000.00",,10325545K
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,CHC ADULT FULLY FUNDED,HIGHBANK PRIORY,3275832,"22,351.00",,1100004451
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,CHC ADULT FULLY FUNDED,CHADDERTON TOTAL-CARE UNIT LTD,3276076,"40,209.14",,I0056423
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,CHC ADULT JOINT FUNDED,CHADDERTON TOTAL-CARE UNIT LTD,3276076,470.52,,I0056423
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Othe Public Sector,COMMISSIONING SCHEMES,PENNINE MSK PARTNERSHIP,3305375,"396,447.25",,641
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Independent Sector,OUT OF HOURS,GO TO DOC LTD,3305443,"143,760.00",,6503
Department of Health,NHS Oldham CCG,30/04/2014,Programme Support Costs,NON RECURRENT PROGRAMMES,OLDHAM MBC,3305483,"60,000.00",,10354967A
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,OLDHAM MBC,3305496,"162,845.00",,10354968H
Department of Health,NHS Oldham CCG,30/04/2014,Clinical&Medical-Drugs,COMMISSIONING SCHEMES,ROCHE PRODUCTS LTD,3305529,"25,445.86",,1321671559
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,3305548,"(268,992.00)",,1000009367
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,3305741,"46,899.00",,2110010412
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,3305748,"64,916.00",,40047564
Department of Health,NHS Oldham CCG,30/04/2014,Services From Local Authorities,COMMISSIONING,OLDHAM COUNCIL,3337769,"98,160.00",,10354950C
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,3338038,"39,008.00",,107312
Department of Health,NHS Oldham CCG,30/04/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,3338050,"139,679.00",,107314
Department of Health,NHS Oldham CCG,30/04/2014,Carers Allowance,CARERS,OLDHAM MBC,3353710,"55,000.00",,10325543G
