5.T&N,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK telecoms industry key statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Total operator-reported revenue (£bn),40.7,42,42.5,41.2,40.5,39.7,,,,,,,,,,,,,,,,,,,,,
Operator-reported retail revenue (£bn),30.6,31.7,32,31.1,30.9,31,,,,,,,,,,,,,,,,,,,,,
Operator-reported wholesale revenue (£bn),10.1,10.3,10.4,10.1,9.6,8.8,,,,,,,,,,,,,,,,,,,,,
Average monthly household telecoms spend (£),78.46,76,73.04,70.81,68.06,65.04,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed access and call revenues (£bn),10.5,10.4,10.2,9.7,9.4,8.9,,,,,,,,,,,,,,,,,,,,,
Fixed voice call minutes (billions),154,149,141,132,129,116,,,,,,,,,,,,,,,,,,,,,
BT share of fixed call minutes (%),47.1,46.6,43.8,40.1,36.5,35.9,,,,,,,,,,,,,,,,,,,,,
Fixed lines (millions),34.5,34.5,34.2,33.5,33.4,33.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed internet revenues (£bn),3.2,3.2,3.2,3.3,3.2,3.4,,,,,,,,,,,,,,,,,,,,,
Fixed internet connections per 100 population,28,29.3,29.5,30.3,32.1,33.2,,,,,,,,,,,,,,,,,,,,,
Fixed broadband connections per 100 population,21.3,24.9,27.4,28.7,30.6,32.5,,,,,,,,,,,,,,,,,,,,,
Proportion of premises connected to an unbundled exchange (%),66.6,80.2,84.2,84.5,89,91.9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile retail revenues (£bn),13.9,15,15.5,14.9,14.9,15.1,,,,,,,,,,,,,,,,,,,,,
Mobile voice call minutes (billions),88,105,115,121,125,124,,,,,,,,,,,,,,,,,,,,,
Active mobile connections per 100 population,114.7,120.1,123.8,129.1,129.8,129.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated household availability of BT’s fibre-to-the-cabinet network,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of homes (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,,,,,,,,,,,
FTTC availabilty,13,13,15,16,17,18,19,20,23,24,24,27,28,29,30,31,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / BT ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated household availability of superfast broadband services,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of homes (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,,,,,,,,,,,
Total superfast,51,51,52,53,53,53,54,54,55,55,56,57,57,58,59,60,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
