NHSRLO18CD,NHSRL18CDH,NHSRLO18NM,FID
E39000018,Q71,NHS England London,1
E39000026,Q75,NHS England North (Cheshire and Merseyside),2
E39000029,Q72,NHS England North (Yorkshire and Humber),3
E39000030,Q78,NHS England Midlands and East (Central Midlands),4
E39000031,Q79,NHS England Midlands and East (East),5
E39000032,Q76,NHS England Midlands and East (North Midlands),6
E39000033,Q77,NHS England Midlands and East (West Midlands),7
E39000037,Q83,NHS England North (Greater Manchester),8
E39000039,Q74,NHS England North (Cumbria and North East),9
E39000040,Q84,NHS England North (Lancashire and South Cumbria),10
E39000041,Q87,"NHS England South East (Hampshire, Isle of Wight and Thames Valley)",11
E39000042,Q88,"NHS England South East (Kent, Surrey and Sussex)",12
E39000043,Q86,NHS England South West (South West North),13
E39000044,Q85,NHS England South West (South West South),14
