SCOTLAND cmr-1 all,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Scotland cmr- 1.02,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 1.2,,,,,,,,,,,,,,,,,,
"Proportion ‘ever’ using online government services, by nation",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,Ever use,,,,,,,,,,,,,,,,,
UK,61%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
England,62%,,,,,,,,,,,,,,,,,
Scotland,57%,,,,,,,,,,,,,,,,,
Wales,66%,,,,,,,,,,,,,,,,,
Northern Ireland,48%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source: Ofcom research through Kantar Media Omnibus,,,,,,,,,,,,,,,,,,
"Base: All with internet access in the UK (N=2271) England (N=1325) Scotland (N=399) Wales (N=297) Northern Ireland (N=250). Question: Q.8 Nowadays, many government services are available online. Some examples of these services include <Examples> Do you ever use government online services? (Examples included paying car tax, completing tax return, applying for benefits, completing the census, registering to vote, applying for a school place etc.)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Scotland cmr- 1.03,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 1.3,,,,,,,,,,,,,,,,,,
"Preferred method of contact with local council, and for government processes, by nation",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Completing government processesses ,,,,,,Contacting the local council to find out about refuse collection ,,,,,,,,,
,,,N Ireland,Wales,Scotland ,England,UK,,N Ireland,Wales,Scotland ,England,UK,,,,,
,Text message,,,,,,,,,1,,,,,,,,
,Mobile phone call,,5,3,4,3,3,,32,22,27,21,22,,,,,
,Home/ landline phone call,,10,5,8,11,10,,53,53,52,50,50,,,,,
,Letter,,17,14,17,17,17,,,5,2,2,2,,,,,
,email/ website,,23,32,40,45,43,,3,9,10,16,15,,,,,
,Meet in person,,34,34,24,18,19,,,4,3,4,4,,,,,
,Don't know,,10,11,6,7,7,,12,6,6,6,6,,,,,
,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, fieldwork carried out by Saville Rossiter-Base",,,,,,,,,,,,,,,,,,
"Base: All adults aged 16+, September to November 2012 (1805 UK, 1125 England, 236 Scotland, 231 Wales, 213 Northern Ireland). Significance testing shows any difference between any nation and the UK. NZ2A-E. Please use this list to say which one way you would prefer to make contact for a few different reasons that I’ll read out. (Prompted responses, single coded)  ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Scotland cmr- 1.04,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 1.4  ,,,,,,,,,,,,,,,,,,
"Attitude towards online government services, by nation",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,UK,England ,Scotland,Wales,Northern Ireland,,,,,,,,,,,,,
Among all,,,,,,,,,,,,,,,,,,
I would feel confident using these services,69%,70%,67%,69%,64%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
