Transparency data above £500 for period ending April 2010,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dept Family,Entity,Posting Date,Expense Type,Expense Area,Vendor Name,Document ref,Amount,,,,,,,,,
CLG,VTS,01/04/2010,T&S claim,Board,Board Chairman,2100070923,"1,087.48",,,,,,,,,
CLG,VTS,12/04/2010,Rail and Hotel booking services,Board,COMPANY BARCLAYCARD,2100071217,398.19,,,,,,,,,
CLG,VTS,27/04/2010,Rail and Hotel booking services,Board,REDFERN TRAVEL LIMITED,2100071494,93.23,,,,,,,,,
CLG,VTS,27/04/2010,Rail and Hotel booking services,Board,REDFERN TRAVEL LIMITED,2100071494,110.23,,,,,,,,,
CLG,VTS,27/04/2010,Rail and Hotel booking services,Board,REDFERN TRAVEL LIMITED,2100071494,110.23,,,,,,,,,
CLG,VTS,27/04/2010,Rail and Hotel booking services,Board,REDFERN TRAVEL LIMITED,2100071494,110.23,,,,,,,,,
CLG,VTS,12/04/2010,Outsourced services,Central Services,LOGICA CMG UK LTD,2100071133,"1,593.65",,,,,,,,,
CLG,VTS,12/04/2010,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100071217,2.92,,,,,,,,,
CLG,VTS,12/04/2010,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100071217,10.08,,,,,,,,,
CLG,VTS,12/04/2010,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100071217,16.31,,,,,,,,,
CLG,VTS,12/04/2010,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100071217,16.33,,,,,,,,,
CLG,VTS,12/04/2010,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100071217,20.71,,,,,,,,,
CLG,VTS,12/04/2010,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100071217,60.10,,,,,,,,,
CLG,VTS,12/04/2010,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100071217,103.22,,,,,,,,,
CLG,VTS,12/04/2010,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100071217,189.73,,,,,,,,,
CLG,VTS,26/04/2010,Outsourced services,Central Services,DCLG,2100071462,"8,352.28",,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,35.11,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,35.62,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,38.82,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,41.14,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,44.43,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,49.61,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,51.01,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,61.58,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,63.47,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,68.85,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,71.49,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,73.29,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,73.78,,,,,,,,,
CLG,VTS,09/04/2010,Meeting expenses,Central Services,MARKS & SPENCER ,2100071104,83.44,,,,,,,,,
CLG,VTS,09/04/2010,Outsourced services,Central Services,MENTIS MANAGEMENT CONSULTANTS LTD,2100071085,"17,625.00",,,,,,,,,
CLG,VTS,20/04/2010,Audit Fees,Central Services,MOORE STEPHENS,2100071338,"5,252.25",,,,,,,,,
CLG,VTS,27/04/2010,Rail and Hotel booking services,Central Services,REDFERN TRAVEL LIMITED,2100071494,(8.67),,,,,,,,,
CLG,VTS,27/04/2010,Rail and Hotel booking services,Central Services,REDFERN TRAVEL LIMITED,2100071494,57.90,,,,,,,,,
CLG,VTS,27/04/2010,Rail and Hotel booking services,Central Services,REDFERN TRAVEL LIMITED,2100071494,227.19,,,,,,,,,
CLG,VTS,12/04/2010,T&S claim,Corporate,COMPANY BARCLAYCARD,2100071217,29.40,,,,,,,,,
CLG,VTS,22/04/2010,Heating and lighting,Estates,EDF ENERGY,2100071445,640.96,,,,,,,,,
CLG,VTS,27/04/2010,Heating and lighting,Estates,EDF ENERGY,2100071491,601.49,,,,,,,,,
