CPS outcomes by principal offence category Surrey,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,92,79.30%,24,20.70%
C Sexual Offences,9,60.00%,6,40.00%
D Burglary,13,100.00%,0,0.00%
E Robbery,2,100.00%,0,0.00%
F Theft And Handling,136,93.80%,9,6.20%
G Fraud And Forgery,8,88.90%,1,11.10%
H Criminal Damage,18,72.00%,7,28.00%
I Drugs Offences,55,100.00%,0,0.00%
J Public Order Offences,80,84.20%,15,15.80%
K All Other Offences (excluding Motoring),17,100.00%,0,0.00%
L Motoring Offences,349,91.10%,34,8.90%
Admin Finalisations,0,0.00%,11,100.00%
TOTAL,779,87.90%,107,12.10%
