Cost Centre  (� per Farm),Year,Total Output,Variable costs,Fixed costs,Profit/(loss) on sale of machinery  glasshouses and permanent crops,Adjustment for unpaid manual labour,Interest payments on borrowing (net of interest received),Holding gains not included in farm income,Breeding Livestock Stock Appreciation (BLSA),Revaluation of machinery  permanent crops  glasshouses  quota,Revaluation of land,Director remuneration,Imputed rent,Ownership charges,Unpaid labour of principal farmer and spouse
Agriculture,2012/13,"947,200","630,200","248,200","1,500","21,600","12,500",,,,,,,,
Agriculture,2013/14,"1,072,100","665,200","283,500",600,"23,600","10,000",,,,,,,,
Agri-environment and other payments,2012/13,"1,300",6,100,0,6,2,,,,,,,,
Agri-environment and other payments,2013/14,"1,800",2,200,0,16,2,,,,,,,,
Diversification out of agriculture,2012/13,"22,300",200,"9,300",0,600,300,,,,,,,,
Diversification out of agriculture,2013/14,"38,300",200,"13,500",0,700,600,,,,,,,,
Single Payment scheme,2012/13,"6,400",2,400,0,0,7,,,,,,,,
Single Payment scheme,2013/14,"7,400",2,500,0,0,9,,,,,,,,
Farm Business (£ per Farm),2012/13,,,,,,,"54,900",38,,"53,500",,"33,200","30,300",
Farm Business (£ per Farm),2013/14,,,,,,,"58,500",9,,"55,500",,"32,500","30,600",
####Variable costs Includes casual labour costs which have been allocated between costs centres in proportion to total costs####,,,,,,,,,,,,,,,
####Profit loss assumed to be attributable entirely to agriculture####,,,,,,,,,,,,,,,
####Financial return to unpaid labour (farmers and other unpaid partners in the business) and to their capital invested in the farm business including land and buildings.  For corporate businesses it represents the financial return on shareholders' capital####,,,,,,,,,,,,,,,
####Manual labour of farmer spouse (if unpaid) and unpaid business partners####,,,,,,,,,,,,,,,
#### Corporate income represents the return on own capital invested in the farm business to risk and to entrepreneurship####,,,,,,,,,,,,,,,
####Interest payments have been allocated between cost centres in proportion to costs and interest received in proportion to output####,,,,,,,,,,,,,,,
####Farm investment income represents the return on all capital invested in the farm business whether borrowed or not to risk and to entrepreneurship####,,,,,,,,,,,,,,,
####Net of imputed rent receipts####,,,,,,,,,,,,,,,
