4.IWBC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market: key statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market ,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,
1PC/laptop take-up (%) ,71,72,74,76,78,79,,,,,,,,,,,,,,,,,,,,
1Internet take-up (%) ,64,67,73,75,77,80,,,,,,,,,,,,,,,,,,,,
1Total broadband take-up (%) ,52,58,68,71,74,76,,,,,,,,,,,,,,,,,,,,
1Fixed broadband take-up (%) ,n/a ,n/a ,68,71,67,72,,,,,,,,,,,,,,,,,,,,
1Mobile broadband take-up (%) ,n/a ,n/a ,12,15,17,13,,,,,,,,,,,,,,,,,,,,
1Internet on mobile-phone take-up (%) ,n/a ,n/a ,20,21,32,39,,,,,,,,,,,,,,,,,,,,
1Social networking online take-up (%) ,n/a ,20,30,40,46,52,,,,,,,,,,,,,,,,,,,,
2Internet advertising expenditure (£) ,2.8bn ,3.4bn ,3.5bn ,4.1bn ,4.8bn ,n/a ,,,,,,,,,,,,,,,,,,,,
2Mobile advertising revenue (£) ,n/a ,29m ,38m ,83m ,203m ,n/a ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 1Ofcom consumer research, Q1 each year, 2Internet Advertising Bureau/PwC ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.02,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Take-up of mobile phones and smartphones, UK adults",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,Male,Female,16-24,25-34,35-54,55+,ABC1,C2DE,,,,,,,,,,,,,,,,,
Smartphone,39,41,37,66,60,43,11,46,30,,,,,,,,,,,,,,,,,
Non-smartphone,53,51,55,32,38,54,69,49,58,,,,,,,,,,,,,,,,,
Total mobile,92,92,92,98,98,97,80,95,88,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Ofcom Tecnology tracker, Jan/Feb 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
QD2. Do you personally use a mobile phones? /QD4 Do you personally use a smartphone?,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total UK Adults aged 16+ (n = 3772 unweighted total),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.03,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Importance of smartphones for internet access ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,16,23,,,,,,,,,,,,,,,,,,,,,,,,
Slightly agree,17,19,,,,,,,,,,,,,,,,,,,,,,,,
Neither/nor,13,16,,,,,,,,,,,,,,,,,,,,,,,,
Slightly disagree,22,20,,,,,,,,,,,,,,,,,,,,,,,,
Strongly disagree,31,22,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Agreement,33%,42%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Ofcom omnibus research, March 2011/2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Q.15c Please tell me how much you agree or disagree with each of the following statement: My phone is more important to me for accessing the internet than any other device?,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Base: Total GB adults who use a Smartphone (n = 654)/ Total 2011 GB adults who use a smartphone (n = 474).,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.04,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone ‘addiction’,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,2011,,,,,,,,,,,,,,,,,,,,,,,,
High,41,37,,,,,,,,,,,,,,,,,,,,,,,,
Moderate,35,37,,,,,,,,,,,,,,,,,,,,,,,,
Low,24,25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Ofcom omnibus research, March 2012/2011",,,,,,,,,,,,,,,,,,,,,,,,,,
"Q14 Choose a number between 1 and 10, where 1 represents ‘I’m not at all addicted to my mobile phone’ and 10 represents ‘I’m completely addicted to my mobile phone’. Low is 1, 2, 3; moderate: 4, 5, 6, and high: 7, 8, 9, 10.",,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Base: Total GB adults who use a Smartphone (n = 654)/ Total 2011 GB adults who use a smartphone (n = 474).,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.05,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities conducted on a smartphone by GB adults,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Using voice activated services,Watching TV programmes/film,Tweeting,Checking in to a place,Accessing sports news,Watching video clips,Accessing general news,Instant Messaging (IM),Picture messaging (MMS),Maps/GPS,Playing games,Social networking,Downloading apps,Listening to music,Email,Internet surfing,Taking photos/video,Any,,,,,,,,
Used regularly,6,8,13,12,17,16,21,31,18,23,26,42,25,35,51,44,37,92,,,,,,,,
Ever used ,8,14,10,18,20,27,23,18,31,28,30,15,33,26,17,24,34,4,,,,,,,,
Ever used ,14,22,23,30,37,43,44,49,49,51,56,57,58,61,68,68,71,96,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Ofcom omnibus research, March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
"Q.5 Which, if any, of the following functions or activities have you ever used your smartphone for ? Q.6 Which of them do you use your smartphone for regularly ?  ",,,,,,,,,,,,,,,,,,,,,,,,,,
Total GB adults who use a smartphone (n = 654),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.06,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities conducted less on other devices since getting a smartphone,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Internet surfing on PC/laptop,Watching TV on PC/laptop,Listening to music,Accessing sports news on PC/laptop,Emailing/uploading photographs,Accessing news on TV/radio,Accessing sports news on PC/laptop,Email from a PC/laptop,Reading a newspaper,Maps/GPS on laptop/sat nav,Social networking from a PC/laptop,Accessing general news from a PC/laptop,Taking photos/video using a camera,Instant Messaging (IM) from PC/laptop,Watching video clips on PC/laptop,,,,,,,,,,,
Do less on other devices,26,28,32,32,34,34,35,35,35,36,37,39,43,47,51,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Ofcom omnibus research, March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
"Q.7 For each activity, please  tell m whether you do more, less or the same amount on other devices since you have had your Smartphone ?  ",,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All GB adults with a smartphone  who have ever conducted the activity on their smartphone (all base over n = 75 shown),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.07,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal device for selected activities among smartphone and tablet owners ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taking photos,Picture messaging (MMS),Instant Messaging (IM),Maps/GPS,Listening to music,Downloading apps,Email,Social networking,Watching short video clips,Playing games,Browsing the internet,,,,,,,,,,,,,,,
Tablet more than smartphone,12,13,13,14,21,25,27,30,31,35,39,,,,,,,,,,,,,,,
About the same,22,20,31,25,24,42,45,34,35,35,39,,,,,,,,,,,,,,,
Smartphone more than tablet,64,67,55,60,53,33,27,36,34,28,21,,,,,,,,,,,,,,,
Don't know,2,,1,1,,,1,,6,2,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Ofcom omnibus research, March 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
"Q8  You mentioned earlier you have a tablet, which of the following activities do you use your tablet more or less for compared to your Smartphone?",,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All GB adults with a smartphone and tablet who have ever conducted the activity on their smartphone (all base over n = 75 shown),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.08,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities conducted on smartphone while out shopping,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Any,Searched for coupons or deals online,Used phone to redeem a mobile coupon,Researched product features online,Read product reviews online,Scanned a bar code to get more product info,Compared a price to a price online,Took a picture of the product,,,,,,,,,,,,,,,,,,
Done while shopping,57,11,13,19,19,21,25,31,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  Ofcom omnibus research, March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
"Q.8b Which, if any of the following activities have you ever done on your Smartphone while out shopping ?  ",,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total GB adults who use a smartphone (n = 654),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.09,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
"UK advertising expenditure, by category 2006 – 2011 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,5yr CAGR,Growth during 2011,,,,,,,,,,,,,,,,,
Internet,1366.5,2015.8,2812.7,3349.8,3541.1,4097.5,4784.1,19%,17%,,,,,,,,,,,,,,,,,
Television,4097,3904.6,4015.8,3921.8,3525,4082.5,4159.3,1%,2%,,,,,,,,,,,,,,,,,
Press,6797.1,6523.2,6438.8,5713.2,4385.8,4305.7,3945.1,-10%,-8%,,,,,,,,,,,,,,,,,
Direct Mail,2371.3,2321.7,2171.4,2040.2,1685.9,1711.5,1728.6,-6%,1%,,,,,,,,,,,,,,,,,
Outdoor,896.8,932.7,975.8,938.6,782.1,881,886.3,-1%,1%,,,,,,,,,,,,,,,,,
Radio,520.4,480.5,496.7,454.4,404.1,420.5,427,-2%,2%,,,,,,,,,,,,,,,,,
Cinema,157.7,154.5,169.7,171.1,179.5,184.3,172.1,2%,-7%,,,,,,,,,,,,,,,,,
Total adspend (f),16206.8,16333,17080.8,16589.1,14503.5,15683.8,16102.4,0%,3%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet Share,8%,12%,16%,20%,24%,26%,30%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: AA/Warc Expenditure Report,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: All figures are nominal; CAGR = compound annual growth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.10,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.10,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internet advertising share, active internet users, and broadband penetration: 2005-2011 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Internet users,Internet advertising share,Broadband Penetration,,,,,,,,,,,,,,,,,,,,,,,
5-Jan,26,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
5-Feb,25,8,#N/A,,,,,,,,,,,,,,,,,,,,,,,
5-Mar,25,8,#N/A,,,,,,,,,,,,,,,,,,,,,,,
5-Apr,25,8,#N/A,,,,,,,,,,,,,,,,,,,,,,,
5-May,26,8,#N/A,,,,,,,,,,,,,,,,,,,,,,,
5-Jun,26,8,#N/A,,,,,,,,,,,,,,,,,,,,,,,
5-Jul,26,8,#N/A,,,,,,,,,,,,,,,,,,,,,,,
5-Aug,26,8,#N/A,,,,,,,,,,,,,,,,,,,,,,,
5-Sep,26,8,#N/A,,,,,,,,,,,,,,,,,,,,,,,
5-Oct,26,8,#N/A,,,,,,,,,,,,,,,,,,,,,,,
5-Nov,27,8,#N/A,,,,,,,,,,,,,,,,,,,,,,,
5-Dec,27,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
6-Jan,27,,41,,,,,,,,,,,,,,,,,,,,,,,
6-Feb,27,12,#N/A,,,,,,,,,,,,,,,,,,,,,,,
6-Mar,27,12,#N/A,,,,,,,,,,,,,,,,,,,,,,,
6-Apr,27,12,#N/A,,,,,,,,,,,,,,,,,,,,,,,
6-May,27,12,#N/A,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,27,12,#N/A,,,,,,,,,,,,,,,,,,,,,,,
6-Jul,27,12,#N/A,,,,,,,,,,,,,,,,,,,,,,,
6-Aug,27,12,#N/A,,,,,,,,,,,,,,,,,,,,,,,
6-Sep,26,12,#N/A,,,,,,,,,,,,,,,,,,,,,,,
6-Oct,29,12,#N/A,,,,,,,,,,,,,,,,,,,,,,,
6-Nov,31,12,#N/A,,,,,,,,,,,,,,,,,,,,,,,
6-Dec,29,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
7-Jan,30,,52,,,,,,,,,,,,,,,,,,,,,,,
7-Feb,31,16,#N/A,,,,,,,,,,,,,,,,,,,,,,,
7-Mar,31,16,#N/A,,,,,,,,,,,,,,,,,,,,,,,
7-Apr,31,16,#N/A,,,,,,,,,,,,,,,,,,,,,,,
7-May,32,16,#N/A,,,,,,,,,,,,,,,,,,,,,,,
7-Jun,31,16,#N/A,,,,,,,,,,,,,,,,,,,,,,,
7-Jul,31,16,#N/A,,,,,,,,,,,,,,,,,,,,,,,
7-Aug,32,16,#N/A,,,,,,,,,,,,,,,,,,,,,,,
7-Sep,33,16,#N/A,,,,,,,,,,,,,,,,,,,,,,,
7-Oct,33,16,#N/A,,,,,,,,,,,,,,,,,,,,,,,
7-Nov,33,16,#N/A,,,,,,,,,,,,,,,,,,,,,,,
7-Dec,33,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
8-Jan,33,,58,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,32,20,#N/A,,,,,,,,,,,,,,,,,,,,,,,
8-Mar,34,20,#N/A,,,,,,,,,,,,,,,,,,,,,,,
8-Apr,34,20,#N/A,,,,,,,,,,,,,,,,,,,,,,,
8-May,34,20,#N/A,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,35,20,#N/A,,,,,,,,,,,,,,,,,,,,,,,
8-Jul,35,20,#N/A,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,36,20,#N/A,,,,,,,,,,,,,,,,,,,,,,,
8-Sep,35,20,#N/A,,,,,,,,,,,,,,,,,,,,,,,
8-Oct,35,20,#N/A,,,,,,,,,,,,,,,,,,,,,,,
8-Nov,35,20,#N/A,,,,,,,,,,,,,,,,,,,,,,,
8-Dec,37,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
9-Jan,36,,68,,,,,,,,,,,,,,,,,,,,,,,
9-Feb,35,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,
9-Mar,37,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,
9-Apr,37,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,
9-May,37,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,
9-Jun,38,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,
9-Jul,38,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,
9-Aug,38,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,
9-Sep,39,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,
9-Oct,39,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,
9-Nov,38,24,#N/A,,,,,,,,,,,,,,,,,,,,,,,
9-Dec,40,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
10-Jan,39,,71,,,,,,,,,,,,,,,,,,,,,,,
10-Feb,39,26,#N/A,,,,,,,,,,,,,,,,,,,,,,,
10-Mar,40,26,#N/A,,,,,,,,,,,,,,,,,,,,,,,
10-Apr,40,26,#N/A,,,,,,,,,,,,,,,,,,,,,,,
10-May,39,26,#N/A,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,38,26,#N/A,,,,,,,,,,,,,,,,,,,,,,,
10-Jul,39,26,#N/A,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,38,26,#N/A,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,40,26,#N/A,,,,,,,,,,,,,,,,,,,,,,,
10-Oct,40,26,#N/A,,,,,,,,,,,,,,,,,,,,,,,
10-Nov,39,26,#N/A,,,,,,,,,,,,,,,,,,,,,,,
10-Dec,40,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,40,,74,,,,,,,,,,,,,,,,,,,,,,,
11-Feb,39,30,#N/A,,,,,,,,,,,,,,,,,,,,,,,
11-Mar,40,30,#N/A,,,,,,,,,,,,,,,,,,,,,,,
11-Apr,40,30,#N/A,,,,,,,,,,,,,,,,,,,,,,,
11-May,40,30,#N/A,,,,,,,,,,,,,,,,,,,,,,,
11-Jun,40,30,#N/A,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,39,30,#N/A,,,,,,,,,,,,,,,,,,,,,,,
11-Aug,40,30,#N/A,,,,,,,,,,,,,,,,,,,,,,,
11-Sep,40,30,#N/A,,,,,,,,,,,,,,,,,,,,,,,
11-Oct,40,30,#N/A,,,,,,,,,,,,,,,,,,,,,,,
11-Nov,40,30,#N/A,,,,,,,,,,,,,,,,,,,,,,,
11-Dec,41,,#N/A,,,,,,,,,,,,,,,,,,,,,,,
12-Jan,,,76,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Internet Advertising Bureau, Nielsen Work and Home Panel, Ofcom",,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Broadband household take-up figures are from Q1 of each year (2006-2012). ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.11,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.11,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internet advertising, by type: 2008 - 2011 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2011,,,,,,,,,,,,,,,,,,,
Column1,Display,Search,Classified,Other,Total,,Growth ,,,,,,,,,,,,,,,,,,,
2008,637.4,1986.9,715.2,10.5,3350,,89%,,,,,,,,,,,,,,,,,,,
2009,709.3,2148,667.4,16.3,3541,,5%* ,,,,,,,,,,,,,,,,,,,
2010,945,2346,751,55,4097,,18%* ,,,,,,,,,,,,,,,,,,,
2011,1128,2767,785,104,4784,,13%* ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IAB/ PwC Adspend 2008-2011,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: *Like for like growth of the total market **Like for like 2011 growth was 14% ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.12,,,,,,,,,,,,,,,,,,,,,,,,,,
Video display advertising revenue and time spend on film/video sites: 2008 - 2011 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Time per person on movie/video sites,Video Advertising Revenue,,,,,,,,,,,,,,,,,,,,,,,,
8-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,,12,,,,,,,,,,,,,,,,,,,,,,,,
8-Mar,,12,,,,,,,,,,,,,,,,,,,,,,,,
8-Apr,,12,,,,,,,,,,,,,,,,,,,,,,,,
8-May,,12,,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,,12,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul,,12,,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,,12,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep,,12,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct,,12,,,,,,,,,,,,,,,,,,,,,,,,
8-Nov,,12,,,,,,,,,,,,,,,,,,,,,,,,
8-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Feb,,28.3,,,,,,,,,,,,,,,,,,,,,,,,
9-Mar,,28.3,,,,,,,,,,,,,,,,,,,,,,,,
9-Apr,,28.3,,,,,,,,,,,,,,,,,,,,,,,,
9-May,,28.3,,,,,,,,,,,,,,,,,,,,,,,,
9-Jun,,28.3,,,,,,,,,,,,,,,,,,,,,,,,
9-Jul,,28.3,,,,,,,,,,,,,,,,,,,,,,,,
9-Aug,,28.3,,,,,,,,,,,,,,,,,,,,,,,,
9-Sep,,28.3,,,,,,,,,,,,,,,,,,,,,,,,
9-Oct,,28.3,,,,,,,,,,,,,,,,,,,,,,,,
9-Nov,,28.3,,,,,,,,,,,,,,,,,,,,,,,,
9-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Feb,,54,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar,0:57:55,54,,,,,,,,,,,,,,,,,,,,,,,,
10-Apr,0:53:25,54,,,,,,,,,,,,,,,,,,,,,,,,
10-May,0:57:30,54,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,0:56:38,54,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul,1:02:47,54,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,1:14:41,54,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,1:10:12,54,,,,,,,,,,,,,,,,,,,,,,,,
10-Oct,1:17:33,54,,,,,,,,,,,,,,,,,,,,,,,,
10-Nov,1:06:23,54,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec,1:03:53,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:04:36,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb,1:08:24,109,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar,1:11:16,109,,,,,,,,,,,,,,,,,,,,,,,,
11-Apr,1:10:44,109,,,,,,,,,,,,,,,,,,,,,,,,
11-May,1:21:49,109,,,,,,,,,,,,,,,,,,,,,,,,
11-Jun,1:23:14,109,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul,1:28:50,109,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug,1:40:38,109,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep,1:34:46,109,,,,,,,,,,,,,,,,,,,,,,,,
11-Oct,1:39:12,109,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov,1:38:21,109,,,,,,,,,,,,,,,,,,,,,,,,
11-Dec,1:37:53,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan,0.068,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
12-Mar,0.073,,,,,,,,,,,,,,,,,,,,,,,,,
12-Apr,0.077,,,,,,,,,,,,,,,,,,,,,,,,,
12-May,0.082,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Internet Advertising Bureau, Nielsen Work and Home Panel inc. applications.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Time accounts for total time on sites of this category and not time spent viewing video content. Movie/video sites is a collection of more than 400 sites including YouTube, BBC iPlayer, Dailymotion, LOVEFiLM.com, Channel 4oD, ITV Player, Yahoo! Movies, blinkbox, Sky Go, Netflix, and Vimeo.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.13,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.13,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic profile of video advertisement viewers ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Column1,Males,Females,15-24,25-34,35-44,45-54,55+,,,,,,,,,,,,,,,,,,
Gender,Unique Views,54%,46%,,,,,,,,,,,,,,,,,,,,,,,
,Percent of Total Time Spent,56.40%,43.60%,,,,,,,,,,,,,,,,,,,,,,,
Age,Unique Views,,,23%,21%,19%,17%,19%,,,,,,,,,,,,,,,,,,
,Percent of Total Time Spent,,,25.80%,20.40%,15.10%,20.00%,13.30%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: comScore Video Metrix,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Percent of Total Time Spent: % of Time Spent Watching Ad Videos by Demographic Segment / % of Total Internet Population from the Demo Segment x 100. Percent of Total Time Spent does not sum to 100% since not all ages groups are shown. ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.14,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile advertising revenues, and smartphone and mobile internet take-up ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Mobile Advertising Revenues,Internet on mobile phone take-up,Smartphone take-up,,,,,,,,,,,,,,,,,,,,,,,
2008,28.6,20,,,,,,,,,,,,,,,,,,,,,,,,
