Department family,Entity,Allocation Date,Expense type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Accommodation,Scotland - Directorate,Expotel,201106009,708.4
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Accommodation,Wales Directorate,Expotel,201106010,808.99
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Accommodation,Corporate Management - People,Expotel,201106011,976.43
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Finance,Badenoch & Clark,iPOS Invoice 40256,785.05
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Finance,Badenoch & Clark,iPOS Invoice 40257,"1,046.74"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Finance,Badenoch & Clark,iPOS Invoice 40258,"1,308.42"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Xchangeteam Ltd,iPOS Invoice 40259,993.6
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Xchangeteam Ltd,iPOS Invoice 40260,"1,324.80"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Foresight,Morgan Hunt UK Ltd,iPOS Invoice 40261,"1,535.18"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Foresight,Morgan Hunt UK Ltd,iPOS Invoice 40262,"1,918.98"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Foresight,Morgan Hunt UK Ltd,iPOS Invoice 40263,"1,918.98"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Business Planning,Reed Employment,iPOS Invoice 40265,"1,872.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Business Planning,Reed Employment,iPOS Invoice 40266,"1,872.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Business Planning,Reed Employment,iPOS Invoice 40267,"1,872.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Business Planning,Reed Employment,iPOS Invoice 40268,"1,872.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Reed Employment,iPOS Invoice 40269,876.29
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Corporate Governance,Venn Group,iPOS Invoice 40270,"2,641.32"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Corporate Governance,Venn Group,iPOS Invoice 40271,"2,641.32"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - ICT,Odgers Interim,iPOS Invoice 40272,"18,870.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - ICT,Odgers Interim,iPOS Invoice 40273,"11,100.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Turnaround,Veredus,iPOS Invoice 40275,"6,279.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Veredus,iPOS Invoice 40276,"15,096.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Veredus,iPOS Invoice 40277,888
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Finance,Veredus,iPOS Invoice 40279,"28,059.00"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - People,Edenbrown,iPOS Invoice 40280,"1,755.66"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - People,Edenbrown,iPOS Invoice 40281,"1,755.66"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - People,Edenbrown,iPOS Invoice 40282,"1,404.53"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Corporate Management - Turnaround,Edenbrown,iPOS Invoice 40287,"3,811.75"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Intelligence & Engagement - External Affairs,Edenbrown,iPOS Invoice 40288,680.5
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Foresight,Morgan Hunt UK Ltd,iPOS Invoice 40302,"1,918.98"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Foresight,Morgan Hunt UK Ltd,iPOS Invoice 40303,"1,535.18"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Foresight,Morgan Hunt UK Ltd,iPOS Invoice 40304,"1,918.98"
Government Equalities Office,Equality and Human Rights Commission,01/06/2011,Agency Staff,Regulation - Foresight,Morgan Hunt UK Ltd,iPOS Invoice 40305,"1,535.18"
