Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NEWCASTLE PCT (COMMISSIONING),25/02/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CENTRAL FINANCE,NORTHUMBRIA UNIVERSITY,91049616,60000,
Department of Health,NEWCASTLE PCT (COMMISSIONING),10/02/2011,RENT,CENTRAL FINANCE,ESH SPACE THE PARK LTD,100,30000,
Department of Health,NEWCASTLE PCT (COMMISSIONING),15/02/2011,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,122087,115802,
Department of Health,NEWCASTLE PCT (COMMISSIONING),11/02/2011,HEALTHCARE FROM VOLUNTARY SECTOR,CENTRAL FINANCE,HEALTHWORKS NEWCASTLE,1646,76713.6,
Department of Health,NEWCASTLE PCT (COMMISSIONING),11/02/2011,HEALTHCARE FROM VOLUNTARY SECTOR,CENTRAL FINANCE,HEALTHWORKS NEWCASTLE,1647,67073.4,
Department of Health,NEWCASTLE PCT (COMMISSIONING),01/02/2011,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,ST OSWALDS HOSPICE,1707,50132.13,
Department of Health,NEWCASTLE PCT (COMMISSIONING),11/02/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80E+12,684350.82,
Department of Health,NEWCASTLE PCT (COMMISSIONING),01/02/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80E+12,196630.45,
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/02/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CENTRAL FINANCE,NEWCASTLE CITY COUNCIL,1.80E+12,34956,
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/02/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CENTRAL FINANCE,NEWCASTLE CITY COUNCIL,1.80E+12,28247,
Department of Health,NEWCASTLE PCT (COMMISSIONING),22/02/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80E+12,30161,
Department of Health,NEWCASTLE PCT (COMMISSIONING),22/02/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80E+12,30161,
Department of Health,NEWCASTLE PCT (COMMISSIONING),11/02/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,NEWCASTLE CITY COUNCIL,1.80E+12,162133.1,
Department of Health,NEWCASTLE PCT (COMMISSIONING),15/02/2011,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST,182906,32670.09,
Department of Health,NEWCASTLE PCT (COMMISSIONING),25/02/2011,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,BOOTS UK LTD,2000-1800008045,51504,
Department of Health,NEWCASTLE PCT (COMMISSIONING),01/02/2011,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,NUFFIELD HEALTH,207866,34484
Department of Health,NEWCASTLE PCT (COMMISSIONING),25/02/2011,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,NUFFIELD HEALTH,209830,78097
Department of Health,NEWCASTLE PCT (COMMISSIONING),21/02/2011,INTERPRETING SERVICES,PRIMARY CARE FINANCE,NORTH TYNESIDE PCT,210092,30514.48
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/02/2011,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT,210604,4103222
Department of Health,NEWCASTLE PCT (COMMISSIONING),25/02/2011,GLOBAL SUM,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST LTD,22,25400
Department of Health,NEWCASTLE PCT (COMMISSIONING),25/02/2011,ENHANCED SERVICES - LES,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST LTD,22,6800
Department of Health,NEWCASTLE PCT (COMMISSIONING),25/02/2011,QUALITY ASPIRATION,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST LTD,22,3700
Department of Health,NEWCASTLE PCT (COMMISSIONING),25/02/2011,GLOBAL SUM,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST LTD,23,25400
Department of Health,NEWCASTLE PCT (COMMISSIONING),25/02/2011,ENHANCED SERVICES - LES,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST LTD,23,6800
Department of Health,NEWCASTLE PCT (COMMISSIONING),25/02/2011,QUALITY ASPIRATION,PRIMARY CARE FINANCE,PRIMARY CARE NORTH EAST LTD,23,3700
Department of Health,NEWCASTLE PCT (COMMISSIONING),15/02/2011,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS TRUST,29372,416537
Department of Health,NEWCASTLE PCT (COMMISSIONING),15/02/2011,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS TRUST,29393,255414
Department of Health,NEWCASTLE PCT (COMMISSIONING),04/02/2011,GROSS REDUNDANCY PAYMENTS,CENTRAL FINANCE,SOUTH TYNESIDE PCT,3037,476052
Department of Health,NEWCASTLE PCT (COMMISSIONING),22/02/2011,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,CONNECT PHYSICAL HEALTH CENTRES LTD,34022,25000
Department of Health,NEWCASTLE PCT (COMMISSIONING),22/02/2011,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,CONNECT PHYSICAL HEALTH CENTRES LTD,34023,30000
Department of Health,NEWCASTLE PCT (COMMISSIONING),15/02/2011,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,PRIORY GROUP,3510000133,27342
