Department family,Entity,Expense type,Expense area,Supplier,Amount
The Serious Fraud Office,The Serious Fraud Office,Civil Litigation,Operations - Bribery & Corruption Division A,Treasury Solicitors,42441.65 
The Serious Fraud Office,The Serious Fraud Office,Fees To Counsel - Leading,Operations - Fraud,QC,35242.50 
The Serious Fraud Office,The Serious Fraud Office,Library - Electronic,Policy & Strategic Relations,The Treasury Solicitor,50348.25 
The Serious Fraud Office,The Serious Fraud Office,Fees To Counsel - Leading,Operations - City & Corporate,QC,52277.83 
The Serious Fraud Office,The Serious Fraud Office,Capita - It Service Charge Std,Capita - IT Service Charge Std (July),Capita Secure Information Solutions Ltd,55001.36 
The Serious Fraud Office,The Serious Fraud Office,Capita - It Service Charge Add,Capita - IT Service Charge Std (July),Capita Secure Information Solutions Ltd,973.10 
The Serious Fraud Office,The Serious Fraud Office,Capita - It Service Charge Std,Capita - IT Service Charge Std (August),Capita Secure Information Solutions Ltd,55001.36 
The Serious Fraud Office,The Serious Fraud Office,Capita - It Service Charge Add,Capita - IT Service Charge Std (August),Capita Secure Information Solutions Ltd,973.10 
The Serious Fraud Office,The Serious Fraud Office,Rates - ITN,Facilities Management,Camden NNDR,44932.00 
The Serious Fraud Office,The Serious Fraud Office,Rates - Elm House,Facilities Management,Camden NNDR,62618.00 
The Serious Fraud Office,The Serious Fraud Office,Quarterly Rent - Elm House,Facilities Management,Palm Estates,375000.00 
The Serious Fraud Office,The Serious Fraud Office,Fees To Counsel - Leading,Operations - Investment,QC,52935.00 
The Serious Fraud Office,The Serious Fraud Office,Fees To Counsel - Leading,Operations - City & Corporate,QC,29484.00 
The Serious Fraud Office,The Serious Fraud Office,Quarterly Accommodation Service Charge,Facilities Management,Great Ropemaker Partnership (Gp) Ltd      ,77928.60 
The Serious Fraud Office,The Serious Fraud Office,Quarterly Rent - ITN,Facilities Management,Great Ropemaker Partnership (Gp) Ltd      ,210793.20 
The Serious Fraud Office,The Serious Fraud Office,Fees To Counsel - Leading,Operations - Bribery & Corruption Division A,QC,37400.00 
