No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Transfer ANDREWS,Stage 2 - Total,"Stage 3 - Exclusion COOGAN, STRANEY",Stage 3 - Total,Stage 4 - Exclusion HAMILTON,Stage 4 - Total,Stage 5 - Transfer BURGESS,Stage 5 - Total,"Stage 6 - Exclusion HUGHES, LYONS",Stage 6 - Total,,,,,,,,,,,,,,
1,ANDREWS,,SDLP,Elected - Stage 1,1321.00,-163.00,1158.00,0.00,1158.00,0.00,1158.00,0.00,1158.00,0.00,1158.00,,,,,,,,,,,,,,
2,BROWN,,ALLIANCE,Elected - Stage 6A,510.00,53.95,563.95,147.02,710.97,12.39,723.36,11.00,734.36,258.00,992.36,,,,,,,,,,,,,,
3,BURGESS,,UUP,Elected - Stage 3,1145.00,8.45,1153.45,49.00,1202.45,0.00,1202.45,-44.45,1158.00,0.00,1158.00,,,,,,,,,,,,,,
4,COOGAN,,INDEPENDENT,Excluded - Stage 2,149.00,11.31,160.31,-160.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
5,HAMILTON,,TUV,Excluded - Stage 3,433.00,4.81,437.81,18.65,456.46,-456.46,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
6,HARVEY,,DUP,Elected - Stage 6A,952.00,6.89,958.89,23.65,982.54,156.56,1139.10,5.00,1144.10,4.00,1148.10,,,,,,,,,,,,,,
7,HUGHES,,SINN FÉIN,Excluded - Stage 5,552.00,43.68,595.68,94.20,689.88,2.13,692.01,0.00,692.01,-692.01,0.00,,,,,,,,,,,,,,
8,LYONS,,UUP,Excluded - Stage 6,672.00,2.86,674.86,24.78,699.64,174.17,873.81,25.00,898.81,15.00,913.81,,,,,,,,,,,,,,
9,STRANEY,,ASPIRE TO BETTER,Excluded - Stage 2,267.00,8.19,275.19,-275.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
10,WALKER,,DUP,Elected - Stage 6A,943.00,16.64,959.64,21.30,980.94,90.04,1070.98,2.00,1072.98,9.00,1081.98,,,,,,,,,,,,,,
Non transferable,,,,,,6.22,6.22,56.90,63.12,21.17,84.29,1.45,85.74,406.01,491.75,,,,,,,,,,,,,,
Totals,,,,,6944.00,,6944.00,,6944.00,,6944.00,,6944.00,,6944.00,,,,,,,,,,,,,,
