Department Family,Entity,Date,Expense type,Expense area,Supplier,Transaction Number,Amount,VAT registration number
Department of Health,Manchester Mental Health and Social Care Trust,08/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,UPS SYSTEMS PLC,182310,0.02 ,
Department of Health,Manchester Mental Health and Social Care Trust,08/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,UPS SYSTEMS PLC,182310,442.30 ,
Department of Health,Manchester Mental Health and Social Care Trust,08/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,UPS SYSTEMS PLC,182310,"2,527.43 ",
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,COMPUTACENTER (UK) LTD,183064,700.00 ,
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,COMPUTACENTER (UK) LTD,183064,"4,000.00 ",
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,COMPUTACENTER (UK) LTD,183067,"200,000.00 ",
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,COMPUTACENTER (UK) LTD,183067,"35,000.00 ",
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,JUST WILLIAM IT CONSULTANCY,183026,475.00 ,
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,INSIGHT DIRECT (UK) LTD,183055,112.30 ,
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,INSIGHT DIRECT (UK) LTD,183055,131.01 ,
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,INSIGHT DIRECT (UK) LTD,183055,"1,497.28 ",
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,INSIGHT DIRECT (UK) LTD,183055,-748.64 ,
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,INSIGHT DIRECT (UK) LTD,183055,-112.30 ,
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,INSIGHT DIRECT (UK) LTD,183054,55.94 ,
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,INSIGHT DIRECT (UK) LTD,183054,319.66 ,
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,INSIGHT DIRECT (UK) LTD,183054,541.53 
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,INSIGHT DIRECT (UK) LTD,183054,"3,094.45 "
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,BT CONVERGENT SOLUTIONS LTD,183052,127.87 
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,BT CONVERGENT SOLUTIONS LTD,183052,730.68 
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,BT CONVERGENT SOLUTIONS LTD,183052,"1,164.93 "
Department of Health,Manchester Mental Health and Social Care Trust,26/04/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,IT EQUIPMENT,BT CONVERGENT SOLUTIONS LTD,183052,"6,656.72 "
Department of Health,Manchester Mental Health and Social Care Trust,22/04/2010,ADVERTISING AND STAFF RECRUITMENT,FOUNDATION TRUST PROJECT,CRIME SERVICES AGENCY LTD,182620,925.00 
Department of Health,Manchester Mental Health and Social Care Trust,22/04/2010,ADVERTISING AND STAFF RECRUITMENT,HUMAN RESOURCES - RESOURCING,CRIMINAL RECORDS BUREAU,182439,602.00 
Department of Health,Manchester Mental Health and Social Care Trust,22/04/2010,ADVERTISING AND STAFF RECRUITMENT,HUMAN RESOURCES - EMPLOYEE RELATIONS,CRIMINAL RECORDS BUREAU,182439,602.00 
Department of Health,Manchester Mental Health and Social Care Trust,22/04/2010,ADVERTISING AND STAFF RECRUITMENT,HUMAN RESOURCES - EMPLOYEE RELATIONS,CRIMINAL RECORDS BUREAU,182439,-602.00 
Department of Health,Manchester Mental Health and Social Care Trust,08/04/2010,AGENCY ADMIN AND CLERICAL,IM&T,FORREST RECRUITMENT LTD,180588,523.13 
Department of Health,Manchester Mental Health and Social Care Trust,08/04/2010,AGENCY ADMIN AND CLERICAL,IM&T,MAX 20 LTD,180521,"1,172.96 "
Department of Health,Manchester Mental Health and Social Care Trust,08/04/2010,AGENCY ADMIN AND CLERICAL,NPFIT SECTOR FUNDING,FORREST RECRUITMENT LTD,180591,437.10 
Department of Health,Manchester Mental Health and Social Care Trust,08/04/2010,AGENCY ADMIN AND CLERICAL,NPFIT SECTOR FUNDING,MAX 20 LTD,180521,207.00 
Department of Health,Manchester Mental Health and Social Care Trust,14/04/2010,AGENCY ADMIN AND CLERICAL,IM&T,MAX 20 LTD,182334,476.62 
Department of Health,Manchester Mental Health and Social Care Trust,14/04/2010,AGENCY ADMIN AND CLERICAL,IM&T,FORREST RECRUITMENT LTD,182272,523.13 
