Table 2.1:  Forecasts for GDP growth 2012 to 2014,,,,,
Forecasts for GDP growth (%),2012,2013,2014,,

OBR (March 2012 Budget),0.8,2,2.7,,
Bank of England mode projection (August 2012) ,0,1.8,2.1,,
Avg. of independent forecasters (July 2012)*,0.1,1.5,2.2**,,

" * Forecasts for the UK economy: A comparison of independent forecasts, August 2012, compiled by HM Treasury",,,,,
** Forecasts for 2014 are taken from a smaller sample of forecasters,,,,,


Chart 2.1:  Adult NMW rate increases compared to earnings growth and inflation,,,,,

Re-indexed,,,,,
April 1999=100,,,,,
,,Retail Price Index,Consumer Price Index,Average weekly earnings index (Total pay inc bonuses),National Minimum Wage
April,Apr-99,100,100,100,100
May,1999,100.2,100.3,100.6,100
June,1999,100.2,100.2,101.2,100
July,1999,99.9,99.6,101.5,100
August,1999,100.2,99.9,101.9,100
September,1999,100.6,100.3,102.3,100
October,Oct-99,100.8,100.2,103.1,100
November,1999,100.9,100.3,103.4,100
December,1999,101.3,100.6,104.4,100
January,2000,100.8,99.7,104.7,100
February,2000,101.4,100,105,100
March,2000,101.9,100.2,105.2,100
April,Apr-00,103,100.5,105.6,100
May,2000,103.3,100.9,105.9,100
June,2000,103.6,101,106,100
July,2000,103.2,100.4,105.5,100
August,2000,103.2,100.4,110.3,100
September,2000,103.9,101.3,111,100
October,Oct-00,103.9,101.2,111.4,102.8
November,2000,104.2,101.4,112.1,102.8
December,2000,104.2,101.4,113.4,102.8
January,2001,103.6,100.5,113.4,102.8
February,2001,104.1,100.8,113.4,102.8
March,2001,104.2,101.1,113.1,102.8
April,Apr-01,104.8,101.7,114.5,102.8
May,2001,105.4,102.5,114.5,102.8
June,2001,105.6,102.7,115.2,102.8
July,2001,104.9,101.9,115.2,102.8
August,2001,105.3,102.3,115.9,102.8
September,2001,105.7,102.6,115.9,102.8
October,Oct-01,105.5,102.5,116.5,113.9
November,2001,105.1,102.3,116.9,113.9
December,2001,105,102.5,117.2,113.9
January,2002,104.9,102.2,117.6,113.9
February,2002,105.2,102.3,116.5,113.9
March,2002,105.6,102.7,115.9,113.9
April,Apr-02,106.4,103.1,118.6,113.9
May,2002,106.7,103.4,119,113.9
June,2002,106.7,103.4,119.7,113.9
July,2002,106.5,103,119.7,113.9
August,2002,106.8,103.4,119.3,113.9
September,2002,107.5,103.6,119.7,113.9
October,Oct-02,107.7,103.8,119.7,116.7
November,2002,107.9,103.8,120,116.7
December,2002,108.1,104.2,120,116.7
January,2003,108,103.6,120.3,116.7
February,2003,108.5,103.9,119,116.7
March,2003,108.9,104.2,121,116.7
April,Apr-03,109.7,104.7,122.1,116.7
May,2003,109.9,104.7,122.4,116.7
June,2003,109.7,104.4,122.8,116.7
July,2003,109.7,104.4,123.1,116.7
August,2003,109.9,104.8,123.1,116.7
September,2003,110.5,105.1,123.8,116.7
October,Oct-03,110.5,105.2,124.5,125
November,2003,110.6,105.2,124.5,125
December,2003,111.1,105.5,125.2,125
January,2004,110.8,105,125.5,125
February,2004,111.3,105.2,124.1,125
March,2004,111.7,105.4,126.5,125
April,Apr-04,112.4,105.8,126.9,125
May,2004,112.9,106.2,126.9,125
June,2004,113.1,106.2,127.2,125
July,2004,113.1,105.8,127.9,125
August,2004,113.4,106.2,129.3,125
September,2004,113.9,106.3,130,125
October,Oct-04,114.2,106.5,130.7,134.7
November,2004,114.4,106.7,130.7,134.7
December,2004,115,107.3,130.7,134.7
January,2005,114.3,106.7,131.4,134.7
February,2005,114.8,106.9,131,134.7
March,2005,115.3,107.5,131.4,134.7
April,Apr-05,116,107.9,132.4,134.7
May,2005,116.2,108.2,132.8,134.7
June,2005,116.3,108.2,132.8,134.7
July,2005,116.3,108.3,134.1,134.7
August,2005,116.6,108.7,135.9,134.7
September,2005,116.9,108.9,136.2,134.7
October,Oct-05,117,109,135.9,140.3
November,2005,117.2,109,136.9,140.3
December,2005,117.5,109.3,136.2,140.3
January,2006,117.1,108.8,136.9,140.3
February,2006,117.6,109.2,139,140.3
