Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/12/2015,Taxi Services UK - Default,Defence and Security Organisation - Cyber Security Team,"Personal Expense, Name Witheld",120824,15.20 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/12/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",123754,17.30 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/12/2015,Air Travel Overseas - UKTI (BIS) Devolved Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",123756,162.44 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/12/2015,Hotel & Accommodation UK - UKTI (BIS) Devolved Admin,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",123756,319.70 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/12/2015,Eye Tests - UKTI (BIS) Devolved Admin,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",123768,135.87 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/12/2015,Other Travel - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",123910,14.05 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,02/12/2015,Rail Travel UK - UKTI (BIS) Devolved Admin,"Investment Development - Managing Director & Operations, Investment Development","Personal Expense, Name Witheld",123910,30.70 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Taxi Services Overseas - UKTI (BIS) Devolved Admin,Chief Operating Officer - Communications,"Personal Expense, Name Witheld",124329,76.69 ,,,EMPLOYEE,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",124330,2.37 ,,,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Rail Travel UK - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",124330,6.46 ,,,,,,Administration
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,04/12/2015,Other Travel - UKTI (BIS) Devolved Admin,Investment Development - Strategic Investment & Accounts,"Personal Expense, Name Witheld",124330,8.09 ,,,,,,Administration
