Date,Merchant Category,Amount
01/03/12,Travel/Airlines,985.20
01/03/12,Travel/Airlines,-510.50
01/03/12,Travel/Airlines,-1280.63
01/03/12,Travel/Airlines,-510.50
01/03/12,Travel/Airlines,-1280.63
01/03/12,Travel/Airlines,2472.43
01/03/12,Travel/Airlines,2472.43
01/03/12,Travel/Airlines,2472.43
01/03/12,Travel/Airlines,2764.43
01/03/12,Other Retailers,1053.50
01/03/12,Travel/Airlines,-900.20
01/03/12,Hotels,1093.92
01/03/12,Automotive Parts Stores,537.84
01/03/12,Hotels,2381.89
01/03/12,Hotels,1910.89
01/03/12,Computer Program/Sys Design,507.95
01/03/12,Computer Program/Sys Design,628.08
01/03/12,Hotels,1358.55
01/03/12,Hotels,614.16
01/03/12,Travel/Airlines,2515.73
01/03/12,Travel/Airlines,2461.00
01/03/12,Travel/Airlines,2461.00
01/03/12,Travel/Airlines,1808.96
01/03/12,Computers/Peripherals/Software,565.44
01/03/12,Computers/Peripherals/Software,955.08
02/03/12,Computers/Peripherals/Software,1470.00
02/03/12,Travel/Airlines,2515.73
02/03/12,Hotels,1281.59
02/03/12,Hotels,658.38
02/03/12,Hotels,1334.88
02/03/12,Hotels,1223.63
02/03/12,Travel/Airlines,1044.45
02/03/12,Training,864.00
02/03/12,Training,774.00
02/03/12,Travel/Airlines,669.40
02/03/12,Subsistence,757.77
02/03/12,Travel/Airlines,655.20
02/03/12,Travel/Airlines,4264.93
02/03/12,Travel/Airlines,781.41
02/03/12,Electrical Parts/Equipment,972.00
02/03/12,Travel/Airlines,810.00
02/03/12,Travel/Airlines,4045.83
05/03/12,Hotels,1043.33
05/03/12,Travel/Airlines,2880.00
05/03/12,Electrical Parts/Equipment,1405.20
05/03/12,Hotels,1420.43
05/03/12,Hotels,1681.18
05/03/12,Hotels,1929.68
05/03/12,Hotels,1418.17
05/03/12,Hotels,562.68
05/03/12,Travel/Airlines,613.28
05/03/12,Travel/Airlines,540.30
05/03/12,Travel/Airlines,506.90
05/03/12,Hotels,3407.60
05/03/12,Hotels,1794.83
05/03/12,Hotels,870.72
05/03/12,Hotels,-892.47
05/03/12,Travel/Airlines,15296.00
05/03/12,Hotels,870.72
05/03/12,Hotels,800.72
05/03/12,Hotels,652.36
05/03/12,Hotels,745.20
05/03/12,Hotels,2202.64
05/03/12,Subsistence,1332.83
05/03/12,Hotels,787.74
05/03/12,Hotels,756.18
05/03/12,Travel/Airlines,967.86
05/03/12,Hotels,1278.91
05/03/12,Hotels,1963.26
05/03/12,Hotels,650.18
05/03/12,Hotels,650.18
05/03/12,Hotels,625.54
05/03/12,Hotels,531.91
05/03/12,Hotels,514.00
05/03/12,Computers/Peripherals/Software,858.43
06/03/12,Telecommunication Services,629.40
06/03/12,Travel/Airlines,1015.00
06/03/12,Travel/Airlines,3990.03
06/03/12,Hotels,2634.42
06/03/12,Travel/Airlines,624.46
06/03/12,Travel/Airlines,596.46
06/03/12,Travel/Airlines,2785.03
06/03/12,Travel/Airlines,2785.03
06/03/12,Travel/Airlines,2785.03
06/03/12,Travel/Airlines,2785.03
06/03/12,Hotels,564.50
06/03/12,Travel/Airlines,8265.00
06/03/12,Hotels,765.73
06/03/12,Combination Catalog & Retail,806.93
06/03/12,Hotels,561.83
06/03/12,Hotels,2043.20
06/03/12,Electrical Parts/Equipment,1272.00
06/03/12,Electrical Parts/Equipment,1272.00
06/03/12,Electrical Parts/Equipment,735.12
06/03/12,Subsistence,1242.20
06/03/12,Travel/Airlines,886.00
06/03/12,Travel/Airlines,1443.76
06/03/12,Travel/Airlines,534.30
06/03/12,Travel/Airlines,534.30
06/03/12,Travel/Airlines,1393.76
06/03/12,Travel/Airlines,1288.00
06/03/12,Travel/Airlines,722.99
07/03/12,Travel/Airlines,541.90
07/03/12,Training,864.00
07/03/12,Training,842.40
07/03/12,Travel/Airlines,2345.36
07/03/12,Travel/Airlines,3983.26
07/03/12,Travel/Airlines,6258.96
07/03/12,Travel/Airlines,906.60
07/03/12,Travel/Airlines,2529.66
07/03/12,Travel/Airlines,873.55
07/03/12,Travel/Airlines,1087.15
07/03/12,Travel/Airlines,3983.26
07/03/12,Travel/Airlines,1750.82
07/03/12,Travel/Airlines,711.25
07/03/12,Travel/Airlines,1817.12
07/03/12,Travel/Airlines,906.60
07/03/12,Travel/Airlines,2800.86
07/03/12,Travel/Airlines,1550.60
07/03/12,Travel/Airlines,1035.90
07/03/12,Travel/Airlines,2785.03
07/03/12,Travel/Airlines,2620.66
07/03/12,Travel/Airlines,906.60
07/03/12,Travel/Airlines,906.60
07/03/12,Travel/Airlines,1286.80
07/03/12,Travel/Airlines,2800.86
07/03/12,Travel/Airlines,2544.56
07/03/12,Travel/Airlines,2276.30
07/03/12,Travel/Airlines,2640.90
07/03/12,Travel/Airlines,3460.86
07/03/12,Travel/Airlines,3603.11
07/03/12,Hotels,-875.31
07/03/12,Travel/Airlines,906.60
07/03/12,Travel/Airlines,906.60
07/03/12,Travel/Airlines,560.10
07/03/12,Travel/Airlines,782.96
07/03/12,Travel/Airlines,2640.90
07/03/12,Travel/Airlines,2640.90
07/03/12,Travel/Airlines,2530.73
07/03/12,Travel/Airlines,2640.90
07/03/12,Travel/Airlines,-906.60
07/03/12,Hotels,1698.34
07/03/12,Travel/Airlines,2500.53
07/03/12,Travel/Airlines,2500.53
07/03/12,Travel/Airlines,652.50
07/03/12,Travel/Airlines,760.93
07/03/12,Travel/Airlines,677.13
07/03/12,Travel/Airlines,954.16
07/03/12,Travel/Airlines,954.16
07/03/12,Travel/Airlines,2960.10
07/03/12,Travel/Airlines,636.80
07/03/12,Travel/Airlines,2960.10
07/03/12,Travel/Airlines,636.80
07/03/12,Diy & Household Stores,956.93
07/03/12,Diy & Household Stores,511.36
07/03/12,Computers/Peripherals/Software,658.80
08/03/12,Stationery Stores,912.24
08/03/12,Travel/Airlines,-1888.50
08/03/12,Computers/Peripherals/Software,661.05
08/03/12,Training,500.00
08/03/12,Training,785.00
08/03/12,Hotels,596.87
08/03/12,Computer Program/Sys Design,1473.81
08/03/12,Hotels,663.28
08/03/12,Travel/Airlines,712.72
08/03/12,Travel/Airlines,610.90
08/03/12,Travel/Airlines,1565.43
08/03/12,Hotels,954.17
08/03/12,Hardware Stores,-794.27
08/03/12,Metal Service Centers,971.70
08/03/12,Travel/Airlines,506.90
08/03/12,Travel/Airlines,506.90
08/03/12,Camera & Photo Supply Stores,1179.84
08/03/12,Travel/Airlines,2417.37
08/03/12,Travel/Airlines,763.96
09/03/12,Travel/Airlines,952.00
09/03/12,Travel/Airlines,952.00
09/03/12,Travel/Airlines,635.30
09/03/12,Travel/Airlines,635.30
09/03/12,Travel/Airlines,635.30
09/03/12,Travel/Airlines,635.30
09/03/12,Hotels,782.22
09/03/12,Hotels,613.92
09/03/12,Misc General Merchandise,774.00
09/03/12,Spec Contractors - Default,695.82
09/03/12,Telecommunication Equipment,525.52
09/03/12,Travel/Airlines,676.58
09/03/12,Computer Program/Sys Design,1359.91
09/03/12,Computer Program/Sys Design,1308.00
09/03/12,Travel/Airlines,2960.10
09/03/12,Travel/Airlines,636.80
09/03/12,Travel/Airlines,639.13
09/03/12,Travel/Airlines,941.66
09/03/12,Travel/Airlines,941.66
09/03/12,Travel/Airlines,941.66
09/03/12,Travel/Airlines,2500.53
09/03/12,Travel/Airlines,-741.39
09/03/12,Stationery Stores,675.94
12/03/12,Computers/Peripherals/Software,1239.22
12/03/12,Other Retailers,1911.15
12/03/12,Travel/Airlines,1518.83
12/03/12,Hotels,687.39
12/03/12,Hotels,1274.03
12/03/12,Hotels,839.70
12/03/12,Hotels,1660.12
12/03/12,Hotels,1743.66
12/03/12,Hotels,1019.49
12/03/12,Travel/Airlines,599.88
12/03/12,Hotels,659.48
12/03/12,Hotels,519.50
12/03/12,Hotels,828.25
12/03/12,Hotels,559.02
12/03/12,Hotels,1657.12
12/03/12,Hotels,1657.12
12/03/12,Hotels,1310.16
12/03/12,Computer Program/Sys Design,1177.37
12/03/12,Hotels,1006.35
12/03/12,Automotive Parts Stores,590.79
12/03/12,Electrical Parts/Equipment,805.56
12/03/12,Electrical Parts/Equipment,1148.46
12/03/12,Electrical Parts/Equipment,-1197.41
12/03/12,Hotels,1736.03
12/03/12,Subsistence,771.02
12/03/12,Camera & Photo Supply Stores,511.63
12/03/12,Camera & Photo Supply Stores,1087.48
12/03/12,Hotels,970.48
12/03/12,Electrical Parts/Equipment,876.83
13/03/12,Hotels,2917.33
13/03/12,Hotels,606.14
13/03/12,Hotels,584.05
13/03/12,Construction Materials - Def,684.00
13/03/12,Construction Materials - Def,1474.80
13/03/12,Computers/Peripherals/Software,923.74
13/03/12,Misc Publishing & Printing,1140.00
13/03/12,Spec Contractors - Default,1182.90
13/03/12,Car & Truck Dealers/New/Used,965.46
13/03/12,Automotive Parts Stores,965.21
13/03/12,Training,1929.60
13/03/12,Training,1929.60
13/03/12,Training,1929.60
13/03/12,Training,1881.60
