Date,Suplier, Amount 
01/07/15,SUITE NOVOTEL, 668.85 
01/07/15,GEORGE V MERCURE," 1,641.99 "
01/07/15,SUITE NOVOTEL," 1,072.52 "
02/07/15,AUCHAN TARAN, 558.99 
03/07/15,THE SUN HOTEL AND BAR, 600.00 
03/07/15,HOLIDAY INN CALAIS," 3,679.71 "
03/07/15,24 HOUR CAR RENTAL, 996.82 
06/07/15,SUITE NOVOTEL, 527.65 
06/07/15,REST LE BEFFROI, 621.21 
06/07/15,PUMP ENGINEERING LTD, 848.40 
08/07/15,TRINITY MIRROR, 720.00 
08/07/15,W M MORRISON PLC, 595.70 
09/07/15,HELLMA UK LIMITED, 569.66 
09/07/15,HILTON, 719.07 
09/07/15,G K BEAULAH & CO LTD, 718.00 
13/07/15,CHROMATOGRAPHY DIRECT, 604.50 
13/07/15,LASER LINES, 842.40 
13/07/15,SUITE NOVOTEL, 992.91 
13/07/15,MARKED AND SPARKLING, 660.00 
13/07/15,PACIFIC," 5,260.18 "
14/07/15,HOBARTS, 803.88 
14/07/15,HOLIDAY INN, 861.27 
16/07/15,JW MARIOTT FD 7, 571.33 
17/07/15,BACKCARE SOLUTIONS LTD, 696.00 
20/07/15,"PAGERDUTY, INC.", 618.64 
20/07/15,SUITE NOVOTEL," 1,258.55 "
20/07/15,CARIBBEAN AIR, 641.99 
21/07/15,HOTEL SEATTLE, 545.00 
21/07/15,SPANISH COURT HOTEL, 764.81 
21/07/15,SPANISH COURT HOTEL, 764.81 
23/07/15,HOLIDAY INN CALAIS," 2,211.70 "
23/07/15,SAIN - PORTSMOUTH, 500.00 
23/07/15,HOLIDAY INN CALAIS," 4,166.08 "
23/07/15,DIRECTLINE-FLIGHTS, 529.90 
24/07/15,BRITISH AIRWAYS, 655.55 
27/07/15,WESTIN CHARLOTTE, 590.48 
27/07/15,SUITE NOVOTEL," 4,395.67 "
27/07/15,SUITE NOVOTEL," 1,199.74 "
27/07/15,CARIBBEAN AIR, 667.01 
27/07/15,LIAT 1974 LTD, 575.01 
27/07/15,WVR.UK (HOSEASONS GP), 948.51 
28/07/15,HALF MOON BAY LTD, 639.83 
28/07/15,SUPERMERCATO AUCHAN, 504.56 
29/07/15,SUPERMERCATO AUCHAN, 514.74 
30/07/15,LONDON & SOUTH EAST RAILWAYS, 644.40 
31/07/15,AMERICAN AIRLINES, 788.60 
31/07/15,LOCAUTO RENT NOLEGGIO-MOT, 523.19 
