Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,12/09/2013,0000175526,2200.00,Revenue,Northgate Information Solutions,09422
Rushmoor Borough Council,Information Technology,3300,External Support For Systems,12/09/2013,0000175527,1100.00,Revenue,Northgate Information Solutions,09422
Rushmoor Borough Council,Customer Services,3808,Software,12/09/2013,0000175527,1100.00,Revenue,Northgate Information Solutions,09422
Rushmoor Borough Council,Community,6554,Contract Costs,19/09/2013,0000178691,5830.39,Capital,Bt Payphones,12727
Rushmoor Borough Council,Information Technology,3302,Application Software,05/09/2013,0000179209,6260.00,Revenue,Idox Software Ltd,00661
Rushmoor Borough Council,Legal,1200,Hampshire County Council Searches,05/09/2013,0000179304,2648.30,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2537,Lining,05/09/2013,0000179314,1377.50,Revenue,Bellstan Ltd,04489
Rushmoor Borough Council,Community,6563,Contract Costs,19/09/2013,0000179333,6470.35,Capital,Harrod,12766
Rushmoor Borough Council,Community,6563,Contract Costs,19/09/2013,0000179338,5519.36,Capital,Harrod,12766
Rushmoor Borough Council,Holding Accounts,9404,Support to Organisational Development Strategy,05/09/2013,0000179339,10958.75,Holding Accounts,Office For Public Management,03192
Rushmoor Borough Council,Community,2556,Contract Variations Highways,05/09/2013,0000179409,3055.20,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Payment to Contractor,05/09/2013,0000179410,732.75,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Wheeled Bin Delivery/Assembly,05/09/2013,0000179411,667.33,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Bulky Waste Collection,05/09/2013,0000179411,2318.80,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,05/09/2013,0000179411,579.14,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Wheeled Bin Delivery/Assembly,05/09/2013,0000179411,1807.09,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,05/09/2013,0000179413,2550.94,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Democratic Services,1322,Routine Grounds Maintenance,05/09/2013,0000179413,1149.19,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,05/09/2013,0000179413,665.14,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Base,05/09/2013,0000179413,24500.56,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,05/09/2013,0000179413,14826.67,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,05/09/2013,0000179413,9083.51,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Prospect Estate Base,05/09/2013,0000179413,2464.94,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Grounds Maintenance Base,05/09/2013,0000179413,31962.31,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Grounds Maintenance,05/09/2013,0000179413,3259.19,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Payment to Contractor,05/09/2013,0000179414,104976.53,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,05/09/2013,0000179414,728.43,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Payment to Contractor,05/09/2013,0000179414,63841.16,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Car Parks,05/09/2013,0000179415,7227.99,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Highways,05/09/2013,0000179415,65227.63,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Parks,05/09/2013,0000179415,9573.37,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2555,Payment to Contractor,05/09/2013,0000179416,13782.74,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,6564,Contract Costs,05/09/2013,0000179425,7506.00,Capital,Greenlight Contracting,12682
Rushmoor Borough Council,Community,2526,Rents,05/09/2013,0000179427,3250.00,Revenue,Savills (Uk) Ltd,12411
Rushmoor Borough Council,Democratic Services,1323,Mobile Phones,26/09/2013,0000179434,717.87,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Community,2518,Payment to Artistes,05/09/2013,0000179435,10314.08,Revenue,Fiery Light 2010 Ltd,11205
Rushmoor Borough Council,Environmental Health and Housing,2212,Payment to Contractor,05/09/2013,0000179439,1458.12,Revenue,Brand Pest Control,03284
Rushmoor Borough Council,Strategy and Communiations,1411,Citizen Consultancy,05/09/2013,0000179449,1295.00,Revenue,Marketing Means (Uk) Ltd,10082
Rushmoor Borough Council,Community,2517,Tree Maintenance,05/09/2013,0000179460,596.00,Revenue,Cedardale,11645
Rushmoor Borough Council,Community,2517,Tree Maintenance,05/09/2013,0000179461,1852.00,Revenue,Cedardale,11645
Rushmoor Borough Council,Personnel & Payroll,3601,Occupational Health,05/09/2013,0000179465,582.30,Revenue,Corporate Medical Services,10281
Rushmoor Borough Council,Community,2510,Temporary Staff,05/09/2013,0000179468,640.33,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Community,2554,Clear Sacks,05/09/2013,0000179474,2394.00,Revenue,Cromwell Polythene Ltd,10320
