Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Permanent Secretary,NETWORKERS INTERNATIONAL (UK) PLC,2000004840,1104.9,#,BR1 1HP
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Centrally held prog,LA INTERNATIONAL COMPUTER,2000004833,2847,#,ST1 5UB
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Group HR,HAYS PERSONNEL SERVICE LTD,2000004827,4154.1,#,KT3 4JQ
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000004837,2818.8,#,SL1 3SA
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000004837,3210,#,SL1 3SA
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000004837,4080,#,SL1 3SA
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000004840,3408.78,#,BR1 1HP
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Rail Commercial Contracts,MICHAEL PAGE INTERNATIONAL,2000004837,3540.24,#,SL1 3SA
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Refran Prog Off,EXPERIS LTD,2000004831,21001.54,#,EC1R 3DR
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Group Finance,EXPERIS LTD,2000004831,7834.64,#,EC1R 3DR
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000004837,3942.84,#,SL1 3SA
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000004837,5184,#,SL1 3SA
Department for Transport,Department for Transport,03/06/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000004837,660,#,SL1 3SA
Department for Transport,Department for Transport,03/06/2013,Building Service Cha,Rail Accident Investigation Branch,INNES ENGLAND LTD,2000004832,1625,INNES - THE WHARF - 24.06.2013 - 28.09.2013,DE1 1BT
Department for Transport,Department for Transport,03/06/2013,Cars Fuel,Motoring Services,ALLSTAR BUSINESS SOLUTIONS LIMITED,2000004828,10255.53,#,SN5 6PS
Department for Transport,Department for Transport,03/06/2013,Data Supply - TD,Transport Direct and Travel information,INRIX MEDIA LTD,2000004841,18499.2,#,WA14 1EP
Department for Transport,Department for Transport,03/06/2013,Infrastructure Maint,Local,HOME OFFICE,2000004843,41073.65,#,NP20 9BB
Department for Transport,Department for Transport,03/06/2013,Infrastructure Maint,Rail Accident Investigation Branch,NETWORK RAIL,2000004838,2400,#,M60 7RT
Department for Transport,Department for Transport,03/06/2013,Legal Consultancy,Managing Director Motoring Services,FIELD FISHER WATERHOUSE LLP,2000004839,9908.68,#,EC3N 2AA
Department for Transport,Department for Transport,03/06/2013,Machinery Rental,Rail Accident Investigation Branch,CANON (UK) LTD,2000004830,1075.98,#,RH2 8BF
Department for Transport,Department for Transport,03/06/2013,Maintenance Other,Motoring Services,ARVAL PHH,2000004810,7210.55,#,SN5 6PE
Department for Transport,Department for Transport,03/06/2013,Maintenance Other,Motoring Services,ARVAL PHH,2000004810,0,PO 8000118294,SN5 6PE
Department for Transport,Department for Transport,03/06/2013,Maintenance Other,Motoring Services,ARVAL PHH,2000004810,5019.79,#,SN5 6PE
