Dept Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,PFI UNITARY CHARGE,HEALTH AND SAFETY LABORATORY,INVESTORS IN THE COMMUNITY (BUXTON),"=""0000104037""",757381.00
DWP,HEALTH AND SAFETY EXECUTIVE,10/06/2010,FINANCE SYSTEM SOFTWARE MAINTENANCE,HEALTH AND SAFETY LABORATORY,SAPPHIRE FINANCIAL SYSTEMS LIMITED ,"=""0000104060""",29058.18
DWP,HEALTH AND SAFETY EXECUTIVE,15/06/2010,CAPITAL EXPENDITURE-SURFACE GALLERY,HEALTH AND SAFETY LABORATORY,APA CONCRETE REPAIRS LTD           ,"=""0000104109""",52300.00
DWP,HEALTH AND SAFETY EXECUTIVE,18/06/2010,RATES,HEALTH AND SAFETY LABORATORY,COUNCIL OF THE BOROUGH OF HIGH PEAK,"=""0000104133""",70867.00
DWP,HEALTH AND SAFETY EXECUTIVE,01/06/2010,SCIENTIFIC EQUIPMENT,FIELD OPERATIONS DIRECTORATE,PENNINE INSTRUMENT SERVICES,"=""0010162132""",46812.03
DWP,HEALTH AND SAFETY EXECUTIVE,01/06/2010,CAPITAL EXPENDITURE,CHEMICAL REGULATIONS DIRECTORATE,DIAGONAL SOLUTIONS LTD,"=""0010162136""",25203.75
DWP,HEALTH AND SAFETY EXECUTIVE,01/06/2010,STAFF SUBSTITUTES COSTS,NUCLEAR SAFETY DIRECTORATE,MWH UK LTD,"=""0010162151""",25801.18
DWP,HEALTH AND SAFETY EXECUTIVE,01/06/2010,ENVIRONMENT AGENCY FEES,NUCLEAR SAFETY DIRECTORATE,ENVIRONMENT AGENCY,"=""0010162180""",66294.98
DWP,HEALTH AND SAFETY EXECUTIVE,03/06/2010,RENTS,BUSINESS SERVICES DIRECTORATE,WORKMAN LLP,"=""0010162229""",35388.06
DWP,HEALTH AND SAFETY EXECUTIVE,03/06/2010,PFI CHARGES,CENTRAL EXPENDITURE,BOOTLE ACCOMMODATION PARTNERSHIP LTD,"=""0010162230""",51267.00
DWP,HEALTH AND SAFETY EXECUTIVE,03/06/2010,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LTD,"=""0010162230""",248709.99
DWP,HEALTH AND SAFETY EXECUTIVE,03/06/2010,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LTD,"=""0010162230""",417063.00
DWP,HEALTH AND SAFETY EXECUTIVE,03/06/2010,STAFF RECRUITMENT COSTS,HUMAN RESOURCES,CAPITA RESOURCING LTD,"=""0010162240""",56028.00
DWP,HEALTH AND SAFETY EXECUTIVE,03/06/2010,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,MAYFIELD ASSET & PROPERTY MANAGEMENT LTD,"=""0010162252""",8047.25
DWP,HEALTH AND SAFETY EXECUTIVE,03/06/2010,RENTS,BUSINESS SERVICES DIRECTORATE,MAYFIELD ASSET & PROPERTY MANAGEMENT LTD,"=""0010162252""",26584.38
DWP,HEALTH AND SAFETY EXECUTIVE,03/06/2010,RENTS,BUSINESS SERVICES DIRECTORATE,M J MAPP LLP,"=""0010162253""",88859.38
DWP,HEALTH AND SAFETY EXECUTIVE,03/06/2010,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,MAYFIELD ASSET & PROPERTY MANAGEMENT LTD,"=""0010162254""",16112.00
DWP,HEALTH AND SAFETY EXECUTIVE,03/06/2010,RENTS,BUSINESS SERVICES DIRECTORATE,MAYFIELD ASSET & PROPERTY MANAGEMENT LTD,"=""0010162254""",53168.75
DWP,HEALTH AND SAFETY EXECUTIVE,03/06/2010,IT,BUSINESS SERVICES DIRECTORATE,ESR TECHNOLOGY LTD,"=""0010162258""",28552.50
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010162278""",74421.77
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,ARJ CONSTRUCTION LTD,"=""0010162298""",82984.38
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,A.W. GROUP,"=""0010162313""",20857.37
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,RENTS,BUSINESS SERVICES DIRECTORATE,A.W. GROUP,"=""0010162313""",44558.94
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,LYMEVALE DEVELOPMENTS LTD,"=""0010162342""",1240.00
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,RENTS,BUSINESS SERVICES DIRECTORATE,LYMEVALE DEVELOPMENTS LTD,"=""0010162342""",25970.14
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,LIVING CITY LTD IGLOO REGENERATION,"=""0010162343""",7754.09
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,RENTS,BUSINESS SERVICES DIRECTORATE,LIVING CITY LTD IGLOO REGENERATION,"=""0010162343""",39861.88
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,LIVING CITY LTD IGLOO REGENERATION,"=""0010162345""",7165.92
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,RENTS,BUSINESS SERVICES DIRECTORATE,LIVING CITY LTD IGLOO REGENERATION,"=""0010162345""",36630.63
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,LIVING CITY LTD IGLOO REGENERATION,"=""0010162346""",12017.93
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,RENTS,BUSINESS SERVICES DIRECTORATE,LIVING CITY LTD IGLOO REGENERATION,"=""0010162346""",59836.88
DWP,HEALTH AND SAFETY EXECUTIVE,08/06/2010,WILDLIFE INVESTIGATION SCHEME,CHEMICAL REGULATIONS DIRECTORATE,NATURAL ENGLAND,"=""0010162351""",56687.27
