No,Candidate,Description,Elected,Stage 1 - 1st Preference,Stage 2 - Exclude - DYNES; IRWIN,Stage 2 - Total,Stage 3 - Exclude - HIGGINSON,Stage 3 - Total,Stage 4 - Exclude - ORR,Stage 4 - Total,Stage 5 - Exclude - MCGEOUGH,Stage 5 - Total,Stage 6 - Exclude - REA; BARRIOS-O'NEILL,Stage 6 - Total,Stage 7 - Exclude - CATNEY,Stage 7 - Total,Stage 8 - Transfer - LUNN,Stage 8 - Total
1,"BARRIOS-O'NEILL, Dan",Green Party,Excluded - Stage 5,1118,87,1205,40,1245,302,1547,114,1661,-1661,0,0,0,0,0
2,"BUTLER, Robbie",Ulster Unionist Party,Elected - Stage 10,4376,74,4450,99,4549,65,4614,4,4618,386,5004,163,5167,124,5291
3,"CATNEY, Pat",SDLP (Social Democratic & Labour Party),Excluded - Stage 6,2899,36,2935,19,2954,39,2993,711,3704,308,4012,-4012,0,0,0
4,"CRAIG, Jonathan",Democratic Unionist Party - D.U.P.,Not Elected - Stage 8,4087,16,4103,56,4159,10,4169,4,4173,136,4309,78,4387,22,4409
5,"DYNES, Peter",Northern Ireland Labour Representation Committee,Excluded - Stage 1,171,-171,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"GIVAN, Paul ",Democratic Unionist Party - D.U.P.,Elected - Stage 6,5364,19,5383,84,5467,13,5480,4,5484,151,5635,0,5635,0,5635
7,"HALE, Brenda",Democratic Unionist Party - D.U.P.,Elected - Stage 10,4236,47,4283,33,4316,10,4326,4,4330,188,4518,38,4556,21,4577
8,"HIGGINSON, Brian",UKIP,Excluded - Stage 2,768,24,792,-792,0,0,0,0,0,0,0,0,0,0,0
9,"IRWIN, Jack",Conservatives,Excluded - Stage 1,341,-341,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"LUNN, Trevor",Alliance Party,Elected - Stage 7,3707,144,3851,49,3900,151,4051,132,4183,811,4994,1872,6866,-1315,5551
11,"MCCAMMOND, Frazer",Democracy First,Excluded - Stage 1,124,-124,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"MCGEOUGH, Jacqui",Sinn Féin,Excluded - Stage 4,1045,9,1054,7,1061,21,1082,-1082,0,0,0,0,0,0,0
13,"ORR, Jonny",0,Excluded - Stage 3,817,23,840,17,857,-857,0,0,0,0,0,0,0,0,0
14,"PALMER, Jenny",Ulster Unionist Party,Elected - Stage 10,3871,85,3956,92,4048,166,4214,2,4216,521,4737,234,4971,241,5212
15,"POOTS, Edwin",Democratic Unionist Party - D.U.P.,Elected - Stage 10,4638,24,4662,51,4713,16,4729,0,4729,257,4986,53,5039,25,5064
16,"REA, Lyle",Traditional Unionist Voice - TUV,Excluded - Stage 5,1291,12,1303,203,1506,10,1516,2,1518,-1518,0,0,0,0,0
Non transferable,,,,,36,36,42,78,54,132,105,237,421,658,1574,2232,882,3114
Totals,,,,38853,,38853,,38853,,38853,,38853,,38853,,38853,,38853
