,,,
Prompt Payment Report - 2015/16,,,
UK Atomic Energy Authority (NDPB),,,
Reporting Month:,27 September - 24 October (P7),,
Prompt Payment Reporting,5 Day,10 Day,30 Day
,,,
No. of invoices received,1113,1113,1113
No. of invoices paid within specified working days or less,693,1018,1067
No. of Invoices paid over specified working days,410,85,36
No. of disputed invoices*,10,10,10
% of invoices paid within terms,63%,92%,97%
,,,
,,,
Note:,,,
,,,
Disputed invoices are not included in statistics,,,
The following payment types are excluded from the return:,,,
Payments to Staff (e.g. salary or T&S costs),,,
Foreign Currency Payments,,,
Any Grant Payments,,,
,,,
,,,
