Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALISBURY NHS FOUNDATION TRUST,11181956,"34,018.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,11199428,"75,818.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PORTSMOUTH HOSPITALS NHS TRUST,11199770,"302,595.47"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11199786,"362,029.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Non NHS Payables <1Yr,BALANCE SHEET,COLVILLE CARE LTD,11199998,"25,790.90"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Non NHS Payables <1Yr,BALANCE SHEET,EARL MOUNTBATTEN HOSPICE,11200069,"203,658.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS SOUTH CSU,11227659,"34,594.65"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Charges from CSU,COMMISSIONING SCHEMES,NHS SOUTH CSU,11227659,"26,771.00"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS SOUTH CSU,11227659,"24,425.35"
Department of Health,NHS Isle Of Wight CCG,31/03/2016,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,11227668,"789,443.00"
