Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,91,83.58,338,325.29,701,675.75,695,661.79,171,163.75,0,0,1996,1910.16,56,55.97,0,0,71,69.54,2,2,129,127.51,2125,2037.67,"£7,037,550","-£8,884","£6,231","£14,510","£1,534,152","£675,002","£9,258,560","£1,120,702","£258,666","£1,379,367",10637927.16,"Core DH Consultancy Spend in Feb 2016 = £258.7k of which:
ATOS IT Solutions = £156.7k
Leeds Uni = £36.3k"
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,430,404.96,345,338.86,2009,1950.18,470,459.08,131,124.94,25,20.68,3410,3298.7,3,3,1,1,4,4,1,1,9,9,3419,3307.7,"£10,829,261","£80,747",£0,"£108,540","£1,438,080","£970,044","£13,426,672","£109,674",£0,"£109,674","£13,536,346",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,83,70,366,348.5,815,788.9,1326,1297.1,178,170,0,0,2768,2674.5,45,41.7,0,0,67,57.9,0,0,112,99.6,2880,2774.1,"£9,728,447","£170,724",£0,"£17,011","£1,299,370","£865,925","£12,081,476","£893,283","£43,497","£936,780",13018255.94,
Health Education England,Executive Non-Departmental Public Body,Department of Health,103,95.39,603,553.2,527,488.25,410,387.6,873,320.18,0,0,2516,1844.62,127,111,0,0,4,3,0,0,131,114,2647,1958.62,"£6,716,343","£87,604",0,£731,"£814,597","£529,334","£8,148,609","£494,083",£0,"£494,083","£8,642,692",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,9,7.11,92,85.51,53,49.88,37,35.1,5,4.7,0,0,196,182.3,12,7.81,6,5.05,0,0,0,0,18,12.86,214,195.16,"£537,836",£0,£0,"£8,273","£64,112","£43,561","£653,781","£85,417","£1,790","£87,207","£740,989",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,19,17.01,37,35.89,7,7,3,3,0,0,66,62.9,1,1,0,0,2,2,0,0,3,3,69,65.9,"£212,744",0,0,481.86,"£45,178","£19,081","£277,484","£31,479","£3,928","£35,407","£312,891",The HFEA currently has 2 vacancies. 
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,1.8,6,6,24,21.5,10,8.5,4,3,0,0,46,40.8,0,0,0,0,0,0,0,0,0,0,46,40.8,"£168,150",£0,£0,£0,"£19,034","£16,023","£203,207","£4,725",£861,"£5,586","£208,793",
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,84,80.07,213,205.53,461,449.63,354,342.63,145,131.22,0,0,1257,1209.08,39,37.36,0,0,12,12,0,0,51,49.36,1308,1258.44,"£4,566,808","£21,627","£8,899","£7,053","£981,503","£423,714","£6,009,605","£305,712",£0,"£305,712",6315317.17,
Monitor,Executive Non-Departmental Public Body,Department of Health,25,25,50,49.8,113,112.4,323,313.7433333,76,73.6,0,0,587,574.5433333,11,11,35,32.56666667,13,8.65,0,0,59,52.21666667,646,626.76,"£3,112,486",£0,£0,£0,"£671,465","£325,038","£4,108,989","£530,310","-£226,348","£303,961","£4,412,950",Monitor Consultancy Spend in Feb = -£226k due to undertaking a review of the returns to date and noticed some previous projects which we reported as consultancy had been incorrectly classified.  There has been some minor corrections of previous months’ accrual estimates.
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,13,12.14,83,79.6,250,236.9,214,206.31,62,55.4,0,0,622,590.35,6,4.78,0,0,21,17.71,0,0,27,22.49,649,612.84,"£2,094,308","£13,497",£0,£0,"£282,062","£191,545","£2,581,412","£208,268",£0,"£208,268","£2,789,680",
