Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Department of Health,The Pennine Acute Hospitals NHS Trust,20101223,PACS Support & Maintenance,Corporate Services Other,CSC CHORLEY,0000935900,113937.23 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101207,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0000942841,25424.64 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Computer Hardware & Software,Corporate Services Other,MELA SOLUTIONS LTD,0000948830,27094.33 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,M & S Equipment,Capital,B&K MEDICAL (UK),0000949701,41125.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,M & S Equipment,Capital,B&K MEDICAL (UK),0000949701,18212.50 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,M & S Equipment,Capital,B&K MEDICAL (UK),0000949701,235.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,M & S Equipment,Capital,B&K MEDICAL (UK),0000949701,2173.75 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,M & S Equipment,Capital,B&K MEDICAL (UK),0000949701,5287.50 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101216,Pacemaker Singular/Dual Chambr,Medicine,MEDTRONIC LTD,0000950217,40713.75 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101207,Security Services,Estates and Facilities,SECURITAS SECURITY SERVICES,0000950673,57340.05 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101216,Pacemaker Singular/Dual Chambr,Medicine,MEDTRONIC LTD,0000951328,37541.25 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,M & S Equipment,Capital,MMM MEDICAL EQUIPMENT UK LTD,0000955379,26736.40 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Computer Hardware & Software,Capital,CLINISYS SCOTLAND LTD,0000956754,17624.64 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Computer Hardware & Software,Capital,CLINISYS SCOTLAND LTD,0000956754,6135.12 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Computer Hardware & Software,Capital,CLINISYS SCOTLAND LTD,0000956754,3799.84 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Computer Hardware & Software,Capital,CLINISYS SCOTLAND LTD,0000956754,2032.52 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0000958331,145193.03 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101207,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0000958333,192511.03 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0000958334,226424.49 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101216,Pacemaker Singular/Dual Chambr,Medicine,MEDTRONIC LTD,0000958352,40420.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0000960342,99119.13 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0000960342,4369.68 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0000960344,2212.56 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0000960344,50201.49 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0000960347,26127.46 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0000960347,1397.13 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0000960352,9113.58 
Department of Health,The Pennine Acute Hospitals NHS Trust,20101203,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0000960352,98022.19 
