Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling,
Communities & Local Government,Audit Commission,01/02/2011 - 28/02/2011,Car Mileage,Various,Travel & Subsistence,,4374.25,
Communities & Local Government,Audit Commission,01/02/2011 - 28/02/2011,Fuel,Various,Travel & Subsistence,,199.43,
Communities & Local Government,Audit Commission,01/02/2011 - 28/02/2011,Car Parking,Various,Travel & Subsistence,,619.4,
Communities & Local Government,Audit Commission,01/02/2011 - 28/02/2011,Rail,Various,Travel & Subsistence,,3429.7,
Communities & Local Government,Audit Commission,01/02/2011 - 28/02/2011,Public Transport - Bus,Various,Travel & Subsistence,,62.9,
Communities & Local Government,Audit Commission,01/02/2011 - 28/02/2011,Taxis,Various,Travel & Subsistence,,244.7,
Communities & Local Government,Audit Commission,01/02/2011 - 28/02/2011,Evening Meals,Various,Travel & Subsistence,,680.56,
Communities & Local Government,Audit Commission,01/02/2011 - 28/02/2011,Refreshments,Various,Refreshments,,65.46,
,,,,,,,"9,676.40",
Total Value of Claims over £500,,,"9,676.40",,,,,
Total Number of Claims over £500,,,14,,,,,
