CPS outcomes by principal offence category west_yorkshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,3,100.0%,0,0.0%
B Offences Against The Person,454,67.8%,201,32.2%
C Sexual Offences,23,61.8%,3,38.2%
D Burglary,119,85.4%,29,14.6%
E Robbery,26,84.2%,18,15.8%
F Theft And Handling,468,87.5%,61,12.5%
G Fraud And Forgery,32,87.5%,3,12.5%
H Criminal Damage,123,82.1%,38,17.9%
I Drugs Offences,254,87.3%,34,12.7%
J Public Order Offences,100,67.1%,43,32.9%
K All Other Offences (excluding Motoring),187,66.0%,73,34.0%
L Motoring Offences,865,88.4%,107,11.6%
Admin Finalisations,0,0.0%,27,100.0%
TOTAL,"2,654",80.6%,637,19.4%
