Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Cemeteries,Software maintenance,26-Jul-2017,200036037,Gower Consultants Ltd,818.22
Barrow Borough Council,The park leisure centre,Maintenance contracts - TSU,05-Jul-2017,200035758,Integral UK Ltd,980.00
Barrow Borough Council,Forum 28,Maintenance contracts - TSU,26-Jul-2017,200036065,Integral UK Ltd,980.00
Barrow Borough Council,Barrow park,Grounds maintenance - other works,20-Jul-2017,200035922,EXECAST,"7,500.00"
Barrow Borough Council,Street fittings,Maintenance cleaning -  becks,20-Jul-2017,200035959,Growing Concerns,520.00
Barrow Borough Council,The park leisure centre,Electricity,26-Jul-2017,200036023,NPower,720.82
Barrow Borough Council,Capitalised Planned Maintenance,Heating,26-Jul-2017,200036068,Plumbing Trade Supplies,"2,739.28"
Barrow Borough Council,Suspense accounts,Income suspense account,05-Jul-2017,200035757,Univ Hosp of Morecambe Bay NHS Trust,"5,623.55"
Barrow Borough Council,Estates management,Solicitors fees,20-Jul-2017,200035877,Brown Barron Solicitors,"1,680.00"
Barrow Borough Council,Salthouse Road Depot,Electricity,20-Jul-2017,200035941,NPower,808.69
Barrow Borough Council,E - Giovanni 19.07.17,Professional fees,26-Jul-2017,200035981,Strictly Theatre Co,"6,004.00"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,20-Jul-2017,200035883,Plumbing Trade Supplies,"6,356.03"
Barrow Borough Council,Licensing,Solicitors fees,05-Jul-2017,200035685,Brown Barron Solicitors,"1,818.67"
Barrow Borough Council,The park leisure centre,Professional fees,05-Jul-2017,200035727,Pulse Fitness Limited,"10,416.57"
Barrow Borough Council,Disabled Facilities Grant,Grants,05-Jul-2017,200035731,Dolphin Stairlifts Cumbria,"4,995.00"
Barrow Borough Council,HRA Estates,Cleaning - other,20-Jul-2017,200035976,Wilko Retail Ltd,540.12
Barrow Borough Council,Coastal Communities Fund,Professional fees,20-Jul-2017,200035885,Yarlside Academy,"1,250.00"
Barrow Borough Council,Barrow Island Environmental Improvements,Building and construction works,12-Jul-2017,200035771,Ground Control Ltd,"116,564.13"
Barrow Borough Council,Public conveniences,Building cleaning,20-Jul-2017,200035959,Growing Concerns,"1,508.00"
Barrow Borough Council,Local land charges,Search fees/stamp duties,12-Jul-2017,200035861,Cumbria County Council,"3,261.00"
Barrow Borough Council,Food safety,Professional fees,05-Jul-2017,200035729,Buckingham Futures Ltd,854.40
Barrow Borough Council,Homelessness,Homeless support funding,12-Jul-2017,200035761,Helian Properties,650.00
Barrow Borough Council,Craven house,Building cleaning,20-Jul-2017,200035929,Associated Cleaning Contractors,552.15
Barrow Borough Council,Legal,Subscriptions,20-Jul-2017,200035938,Sefton Council,500.00
Barrow Borough Council,Parliamentary elections,Printing and stationery,20-Jul-2017,200035916,Democracy Counts Ltd,"6,836.04"
Barrow Borough Council,Playground,Parks & Playgrounds Repairs & Maintenance,20-Jul-2017,200035959,Growing Concerns,"2,535.00"
Barrow Borough Council,Finance Department,Conferences and seminars,26-Jul-2017,200035985,The Learn Centre Ltd,943.15
Barrow Borough Council,Housing Benefits Admin,Benefits council tenants,12-Jul-2017,200035772,Liberata Uk Ltd,"18,574.76"
Barrow Borough Council,HRA Estates,Professional fees,12-Jul-2017,200035793,Whiteheads Solicitors,"3,080.60"
Barrow Borough Council,Cavendish Park,Building and construction works,05-Jul-2017,200035745,ESH Construction,"67,640.00"
Barrow Borough Council,Licensing,Solicitors fees,05-Jul-2017,200035685,Brown Barron Solicitors,"1,783.50"
Barrow Borough Council,Waste collection,Refuse collection,05-Jul-2017,200035753,FCC Enviroment Services (UK) Ltd,"57,596.98"
Barrow Borough Council,Dock museum,Museum exhibition,12-Jul-2017,200035781,Emma Warren,740.00
Barrow Borough Council,Forum catering,Catering contract - Forum,20-Jul-2017,200035937,Elior UK Ltd,934.13
Barrow Borough Council,Barrow town hall,Electricity,26-Jul-2017,200036023,NPower,"2,314.95"
Barrow Borough Council,Coastal Communities Fund,Professional fees,12-Jul-2017,200035767,Aspen & Acorn Ltd,"2,166.66"
Barrow Borough Council,HRA Estates,Cleaning - other,05-Jul-2017,200035698,Phoenix Cleaning Agency,700.00
Barrow Borough Council,Cemeteries,Grounds maintenance - schedule of works,20-Jul-2017,200035865,Continental Landscapes Ltd,"14,309.23"
Barrow Borough Council,HRA Estates,Grounds maintenance - schedule of works,26-Jul-2017,200036059,Continental Landscapes Ltd,"5,389.37"
Barrow Borough Council,Forum catering,Catering contract - Forum,26-Jul-2017,200036020,Elior UK Ltd,"2,414.26"
Barrow Borough Council,Craven house,Electricity,26-Jul-2017,200036023,NPower,"6,221.57"
Barrow Borough Council,Dock museum,Museum education,26-Jul-2017,200035988,Escape 2 Travel,630.00
Barrow Borough Council,Dock museum,Maintenance contracts - TSU,05-Jul-2017,200035758,Integral UK Ltd,520.00
Barrow Borough Council,Disabled Facilities Grant,Grants,05-Jul-2017,200035735,Paul Wilcock Building & Plastering,"4,721.00"
Barrow Borough Council,The markets,Buildings repairs and maintenance,26-Jul-2017,200036040,FTS Fire & Secuirty Ltd,727.00
Barrow Borough Council,Major works maintenance - HRA,Digital TV,05-Jul-2017,200035684,Aerialek (Dalton) Ltd,840.00
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,20-Jul-2017,200035913,Rexel UK Ltd,836.52
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,05-Jul-2017,200035741,Hughes Brothers,"16,909.63"
Barrow Borough Council,Disabled Facilities Grant,Grants,05-Jul-2017,200035731,Dolphin Stairlifts Cumbria,"2,800.00"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,20-Jul-2017,200035882,Keith Wilson Elec Con Ltd,"5,455.91"
Barrow Borough Council,The park leisure centre,Maintenance contracts - TSU,26-Jul-2017,200036065,Integral UK Ltd,980.00
Barrow Borough Council,Craven house,Window cleaning,26-Jul-2017,200036012,Nic Bannister Escape,"1,800.00"
Barrow Borough Council,Non distributed costs,Curtailments costs,26-Jul-2017,200036028,Cumbria County Council,"31,374.32"
Barrow Borough Council,Office support - admin,Photocopier rental,05-Jul-2017,200035715,Ricoh UK Ltd,"1,035.95"
Barrow Borough Council,Emlyn Hughes house,Electricity,26-Jul-2017,200036023,NPower,"1,174.59"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,05-Jul-2017,200035743,Sure Maintenance,729.23
Barrow Borough Council,Legal,Solicitors fees,05-Jul-2017,200035685,Brown Barron Solicitors,536.50
Barrow Borough Council,Food safety,Professional fees,20-Jul-2017,200035935,Your Best Option,"1,021.35"
Barrow Borough Council,Cemeteries,Grounds maintenance - other works,20-Jul-2017,200035865,Continental Landscapes Ltd,"1,678.96"
Barrow Borough Council,Barrow park,Gas,26-Jul-2017,200036059,Continental Landscapes Ltd,783.98
Barrow Borough Council,Homelessness,Homeless support funding,26-Jul-2017,200036006,Trown Housing Consultancy Ltd,"2,272.70"
Barrow Borough Council,Community services management,Professional fees,12-Jul-2017,200035794,Hays Senior Finance,613.74
Barrow Borough Council,Information technology,Computer hardware maintenance,05-Jul-2017,200035704,Cetus Solutions Ltd,"1,749.61"
Barrow Borough Council,Local land charges,Search fees/stamp duties,12-Jul-2017,200035861,Cumbria County Council,"1,501.00"
Barrow Borough Council,Crematorium,Memorials,20-Jul-2017,200035942,Dash Information Systems Ltd,753.00
Barrow Borough Council,Building control fee earning,Professional fees,26-Jul-2017,200036042,Bleasdale Wand Ltd,582.00
Barrow Borough Council,Telephones Holding A/C,Telephone charges paid,20-Jul-2017,200035943,EE Ltd,"1,138.37"
Barrow Borough Council,Dock museum,Maintenance contracts - TSU,26-Jul-2017,200036065,Integral UK Ltd,520.00
Barrow Borough Council,Information technology,Computer software purchase,12-Jul-2017,200035806,SoftCat Ltd,635.32
Barrow Borough Council,Major works maintenance - HRA,Repointing Walney,26-Jul-2017,200036019,DLP Services (Northern) Ltd,"14,030.99"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,12-Jul-2017,200035851,Plumbing Trade Supplies,"3,111.01"
Barrow Borough Council,HRA Estates,Tenants content insurance,20-Jul-2017,200035933,Thistle Tenant Risks,"2,184.81"
Barrow Borough Council,The park leisure centre,Gas,12-Jul-2017,200035785,Corona Energy,"2,466.03"
Barrow Borough Council,Homelessness,Homeless support funding,20-Jul-2017,200035906,Neil Morland Housing Consultancy Ltd,625.00
Barrow Borough Council,HRA Estates,Professional fees,20-Jul-2017,200035927,Whiteheads Solicitors,"1,054.60"
Barrow Borough Council,The markets,Planned Building repairs and maintenance,05-Jul-2017,200035683,Bill Caulfield Electrical,"1,000.00"
Barrow Borough Council,Regeneration,Publicity and promotion,12-Jul-2017,200035862,Furness Newspapers Ltd,500.00
Barrow Borough Council,Cylical maintenance - HRA,Painting,26-Jul-2017,200036066,George Jones & Son (Cum) Ltd,"26,049.77"
Barrow Borough Council,Coastal Communities Fund,Professional fees,12-Jul-2017,200035788,S&T Klosinski Economic Dev Conulstants Ltd,"5,038.16"
Barrow Borough Council,Crematorium,Grounds maintenance - other works,20-Jul-2017,200035865,Continental Landscapes Ltd,"1,298.59"
Barrow Borough Council,Finance Department,Professional fees,05-Jul-2017,200035734,Version 1,"19,600.00"
Barrow Borough Council,Local Council Tax Reduction Scheme (LCTRS),LCTRS Admin,12-Jul-2017,200035772,Liberata Uk Ltd,"69,944.01"
Barrow Borough Council,HRA Estates,Professional fees,26-Jul-2017,200035999,Knoxellis Solicitors,624.00
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,26-Jul-2017,200036000,Rexel UK Ltd,786.56
Barrow Borough Council,Forum 28,Building cleaning,20-Jul-2017,200035937,Elior UK Ltd,"3,351.40"
Barrow Borough Council,Forum 28,Electricity,26-Jul-2017,200036023,NPower,"4,664.75"
