CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,969,87.7%,136,12.3%
P01-Avon&Somerset,19,90.5%,2,9.5%
P02-Bedfordshire,8,100.0%,0,0.0%
P03-Cambridgeshire,5,83.3%,1,16.7%
P04-Cheshire,8,80.0%,2,20.0%
P06-Cleveland,6,75.0%,2,25.0%
P07-Cumbria,11,84.6%,2,15.4%
P08-Derbyshire,12,100.0%,0,0.0%
P09-Devon&Cornwall,24,96.0%,1,4.0%
P10-Dorset,13,86.7%,2,13.3%
P11-Durham,12,100.0%,0,0.0%
P12-DyfedPowys,8,80.0%,2,20.0%
P13-Essex,43,91.5%,4,8.5%
P14-Gloucestershire,7,100.0%,0,0.0%
P15-GreaterManchester,51,94.4%,3,5.6%
P16-Gwent,12,85.7%,2,14.3%
P17-Hampshire,36,97.3%,1,2.7%
P18-Hertfordshire,28,80.0%,7,20.0%
P19-Humberside,5,100.0%,0,0.0%
P20-Kent,31,88.6%,4,11.4%
P21-Lancashire,24,82.8%,5,17.2%
P22-Leicestershire,13,100.0%,0,0.0%
P23-Lincolnshire,6,100.0%,0,0.0%
P24-Merseyside,23,92.0%,2,8.0%
P25-Metropolitan&City,271,83.6%,53,16.4%
P26-Norfolk,7,100.0%,0,0.0%
P27-Northamptonshire,9,69.2%,4,30.8%
P28-Northumbria,24,85.7%,4,14.3%
P29-NorthWales,7,100.0%,0,0.0%
P30-NorthYorkshire,13,92.9%,1,7.1%
P31-Nottinghamshire,8,100.0%,0,0.0%
P32-SouthWales,30,78.9%,8,21.1%
P33-SouthYorkshire,19,100.0%,0,0.0%
P34-Staffordshire,12,92.3%,1,7.7%
P35-Suffolk,7,77.8%,2,22.2%
P36-Surrey,15,88.2%,2,11.8%
P37-Sussex,26,92.9%,2,7.1%
P38-ThamesValley,25,89.3%,3,10.7%
P39-Warwickshire,2,66.7%,1,33.3%
P40-WestMercia,15,88.2%,2,11.8%
P41-WestMidlands,33,91.7%,3,8.3%
P42-WestYorkshire,32,91.4%,3,8.6%
P43-Wiltshire,9,64.3%,5,35.7%
