"Table 2. UK ODA, OOF and Private Flows to Developing Countries 1970-2012",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,£ million,,,,,
,Official flows,,,Private flows,,,Total flows,,UK,,,DAC Average3,,,,,,
,,,,On Market Terms,,,"ODA, OOF and Private",,ODA,Total Flows,,ODA,Total Flows,,,,,
,,,,,Voluntary Grants,,,,as a % of,as a % of,,as a % of,as a % of,,,,,
,ODA,OOF,,,,,,,GNI1,GNI2,,GNI1,GNI2,,,,,
,,,,,,,,,,,,,,,,,,
1970, 186, 3,, 317, 14,, 520,,0.36,1.01,,0.33,0.78,,,,,
1971, 231, 5,, 297, 19,, 552,,0.40,0.96,,0.32,0.77,,,,,
1972, 243, 6,, 315, 20,, 584,,0.38,0.92,,0.34,0.77,,,,,
1973, 246, 25,, 307, 23,, 601,,0.34,0.82,,0.27,0.71,,,,,
1974, 307, 34,, 655, 24,,1 020,,0.40,1.25,,0.32,0.64,,,,,
,,,,,,,,,,,,,,,,,,
1975, 388, 14,, 633, 24,,1 059,,0.39,1.00,,0.34,1.14,,,,,
1976, 487, 17,,3 882, 29,,4 415,,0.39,3.37,,0.31,1.08,,,,,
1977, 638, 57,,3 329, 29,,4 053,,0.44,2.71,,0.31,1.07,,,,,
1978, 763, 185,,3 887, 29,,4 865,,0.46,2.93,,0.33,1.22,,,,,
1979,1 016, 67,,5 226, 51,,6 359,,0.51,3.25,,0.33,1.15,,,,,
,,,,,,,,,,,,,,,,,,
1980, 797,- 71,,4 475, 52,,5 253,,0.35,2.32,,0.35,0.97,,,,,
1981,1 081, 173,,4 549, 47,,5 850,,0.43,2.34,,0.32,1.18,,,,,
1982,1 028, 89,,2 405, 57,,3 579,,0.37,1.29,,0.36,1.10,,,,,
1983,1 061, 137,,2 769, 55,,4 022,,0.35,1.33,,0.34,0.88,,,,,
1984,1 070, 350,,2 091, 105,,3 615,,0.33,1.13,,0.34,0.95,,,,,
,,,,,,,,,,,,,,,,,,
1985,1 180, 299,, 292, 130,,1 900,,0.33,0.54,,0.33,0.51,,,,,
1986,1 185, 220,,3 024, 130,,4 558,,0.31,1.20,,0.34,0.63,,,,,
1987,1 142, 161,, 693, 135,,2 131,,0.28,0.51,,0.32,0.51,,,,,
1988,1 485, 181,, 607, 134,,2 408,,0.32,0.52,,0.34,0.58,,,,,
1989,1 578, 280,,3 756, 160,,5 775,,0.31,1.14,,0.31,0.60,,,,,
,,,,,,,,,,,,,,,,,,
1990,1 485, 354,,1 652, 184,,3 675,,0.27,0.68,,0.33,0.48,,,,,
1991,1 815, 293,, 866, 215,,3 188,,0.32,0.56,,0.33,0.55,,,,,
1992,1 848, 170,,3 035, 250,,5 303,,0.31,0.89,,0.33,0.60,,,,,
1993,1 945, 87,,3 523, 300,,5 855,,0.31,0.94,,0.29,0.71,,,,,
1994,2 089, 22,,5 356, 350,,7 816,,0.31,1.15,,0.29,0.82,,,,,
,,,,,,,,,,,,,,,,,,
1995,2 029, 135,,5 661, 307,,8 132,,0.29,1.15,,0.26,0.73,,,,,
1996,2 050, 52,,11 345, 245,,13 692,,0.27,1.83,,0.24,0.85,,,,,
1997,2 096,- 69,,8 830, 216,,11 073,,0.26,1.39,,0.22,0.83,,,,,
1998,2 332,- 33,,4 048, 253,,6 600,,0.27,0.83,,0.23,0.80,,,,,
1999,2 118,- 15,,7 056, 297,,9 456,,0.24,1.05,,0.22,0.79,,,,,
,,,,,,,,,,,,,,,,,,
2000,2 974,- 47,,1 383, 354,,4 664,,0.32,0.50,,0.22,0.55,,,,,
2001,3 179, 2,,3 242, 216,,6 639,,0.32,0.67,,0.22,0.45,,,,,
2002,3 281,- 3,,1 573, 231,,5 083,,0.31,0.49,,0.23,0.29,,,,,
2003,3 847, 30,,7 251, 238,,11 367,,0.34,1.01,,0.24,0.45,,,,,
2004,4 302,- 85,,12 858, 213,,17 288,,0.36,1.45,,0.25,0.52,,,,,
,,,,,,,,,,,,,,,,,,
2005,5 926,- 54,,19 212, 399,,25 480,,0.47,2.03,,0.32,0.93,,,,,
2006,6 770,- 102,,7 676, 295,,14 640,,0.51,1.11,,0.30,0.89,,,,,
2007,4 921,- 22,,23 909, 334,,29 142,,0.36,2.10,,0.27,1.14,,,,,
2008,6 356,- 12,,16 524, 256,,23 123,,0.43,1.59,,0.30,0.68,,,,,
2009,7 223, 195,,11 728, 211,,19 356,,0.51,1.36,,0.31,0.87,,,,,
,,,,,,,,,,,,,,,,,,
2010,8 452,- 12,,23 739, 228,,32 406,,0.57,1.99,,0.32,1.23,,,,,
2011,8 629,- 25,,20 228, 393,,29 226,,0.56,1.91,,0.31,1.15,,,,,
2012,8 766, 22,,30 609, 647,,40 044,,0.56,2.57,,0.29,..,,,,,
,,,,,,,,,,,,,,,,,,
"1. The UN target for official development assistance, endorsed in the 1970 UN General Assembly, is 0.7% of Gross National Income.",,,,,,,,,,,,,,,,,,
"2. The UN target for total flows, endorsed in the 1970 UN General Assembly, is 1.0% of Gross National Income (GNI).",,,,,,,,,,,,,,,,,,
"3. Source DAC online database, includes bilateral and multilateral ODA.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
