Department Family ,Entity, Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Distribution Line Number
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,1600,-113780.49,1
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,1600,-8170.73,2
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,1600,-1429.88,3
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,1601,-113780.49,1
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,1601,-8170.73,2
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,1601,-19911.59,3
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,1601,113780.49,5
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,1601,8170.73,6
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,1601,-113780.49,7
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,1601,-8170.73,8
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,1601,18481.71,9
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,1602,-717073.16,1
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,1602,-14634.15,2
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,1602,-712292.68,3
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,1602,-14536.59,4
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,1602,-5104.88,5
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,1603,-717073.16,1
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,1603,-14634.15,2
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,1603,-712292.68,3
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,1603,-14536.59,4
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,1603,-5104.88,5
DCMS,ODA,01-Jun-2010,Consultants,PTP Works,Atkins Limited,40296,96416.95,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,40296,16872.97,2
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Archaeology,Wessex Archaeology Ltd,40557,125417.17,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Wessex Archaeology Ltd,40557,21948.00,2
DCMS,ODA,01-Jun-2010,Consultants,Landscape Architect,LDA Design Consulting LLP,40813,303328.00,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,LDA Design Consulting LLP,40813,53082.40,2
DCMS,ODA,01-Jun-2010,Architect,Sinclair Knight Merz,Sinclair Knight Merz (Europe),40827,24584.00,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Sinclair Knight Merz (Europe),40827,4302.20,2
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,SBH NP - North Loop Road - Bridges & Civil Work,Skanska Construction UK Ltd,40897,1958666.65,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Skanska Construction UK Ltd,40897,342766.66,2
DCMS,ODA,01-Jun-2010,Consultants,Supervisor South Park,Atkins Limited,41024,53316.18,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,41024,9330.33,2
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,FM - Facilities Management Contractor,Taylor Woodrow Construction,41061,114059.30,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Taylor Woodrow Construction,41061,19960.38,2
DCMS,ODA,01-Jun-2010,Consultants,Enabling Works ATKINS work streams close out,Atkins Limited,41081,120674.57,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,41081,21118.05,2
DCMS,ODA,01-Jun-2010,Consultants,SBH Bridges & H'ways TAA,Atkins Limited,41083,3460.96,1
DCMS,ODA,01-Jun-2010,Consultants,SBH Bridges & H'ways TAA,Atkins Limited,41083,31269.59,2
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,41083,6077.85,3
DCMS,ODA,01-Jun-2010,Insurance,Project Insurance,Canada Life,41145,34660.00,1
DCMS,ODA,01-Jun-2010,Site Investigations,H&V CS - Main Mason Contract,Mason Land Surveys Ltd,41157,41108.88,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mason Land Surveys Ltd,41157,7194.05,2
DCMS,ODA,01-Jun-2010,Construction contractor,Broxbourne Construction,Morrison Construction Ltd,41204,1252376.88,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Morrison Construction Ltd,41204,219165.95,2
DCMS,ODA,01-Jun-2010,Construction contractor,Aquatics Other Costs,Balfour Beatty Construction Ltd,41259,500000.00,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Balfour Beatty Construction Ltd,41259,87500.00,2
DCMS,ODA,01-Jun-2010,Consultants,Lot 6 Energy Centre - Construction,Cofely East London Energy Ltd,41267,53000.33,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Cofely East London Energy Ltd,41267,9275.06,2
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,41269,194763.75,1
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,41269,13986.25,2
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,41269,2447.59,3
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,41269,-194763.75,5
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,41269,-13986.25,6
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,41269,194763.75,7
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,41269,13986.25,8
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Academy Building,Lend Lease Europe Ltd,41271,166009.00,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,41271,29051.58,2
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,41275,2193961.00,1
DCMS,ODA,01-Jun-2010,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,41275,383943.18,2
DCMS,ODA,01-Jun-2010,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,41275,-2193961.00,3
