OrganisationLabel,OrganisationURI,Account Name,Account Name 2,BA Ref,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Address 6,Postcode,Rateable Value,Bill From,Bill To,Bill Credit,Account Credit,Account Address 1,Account Address 2,Account Address 3,Account Address 4,Postcode
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ALPINE SCAFFOLDING LTD,,000080800006A1,,,LAND AT BEAUFORT ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 7AX,3600,01/04/2008,01/04/2009,-460.73,-3058.73,BLDG 5 ROOM 19 ODYSSEY CENTRE,CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1HB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,APF PROPERTY SOLUTIONS LTD,,000506900040B7,,,UNIT 2 SMM BUSINESS PARK,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DT,14500,09/06/2015,10/06/2015,-25.77,-25.77,1 GROSVENOR COURT,FOREGATE STREET,CHESTER,,CH1 1HG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,APPLIED SAFETY  LTD,,000230600001B2,,,1-3 ROCK LANE WEST,BIRKENHEAD,MERSEYSIDE,,CH42 1RE,2250,01/04/2010,01/04/2010,-249.97,-249.97,1-3 ROCK LANE WEST,BIRKENHEAD,MERSEYSIDE,,CH42 1RE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ASSETWORLD LTD,,1290006706,,,OBSERVATORY HOTEL,65-67 OXTON ROAD,BIRKENHEAD,MERSEYSIDE,CH41 2TL,5300,01/04/2012,01/03/2013,-175.05,-175.05,C/O COUNTY ESTATE PUBS LTD,ANGEL MILL,EDWARD STREET,"WESTBURY, WILTS",BA13 3DR
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,AUBERGINE LICENSED CAFE LTD,,000742400001D8,,,2A BLENHEIM BUILDINGS,CRECENT WALK,WIRRAL,MERSEYSIDE,CH48 4DA,6800,01/04/2010,01/03/2011,-31.34,-31.34,2A,BLEINHEIM BUILDINGS CRESCENT WALKS,WEST KIRBY,MERSEYSIDE,CH48 4DA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,AVG PROPERTIES,,0004451A0007C7,,,"UNIT 7, WHEATLAND BUSINESS PARK",WHEATLAND LANE,WALLASEY,MERSEYSIDE,CH44 7EJ,9100,09/07/2012,20/10/2012,-590.48,-590.48,INTEBANE MANOR,UPTON ROAD,PRENTON,,CH43 7QQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BIG DUG LTD,,0006698A0002G4,,,OFFICE 4 GROUND FLOOR,"MARWOOD HOUSE, RIVERSIDE PARK",SOUTHWOOD ROAD,WIRRAL,CH62 3QX,3150,01/04/2013,30/04/2013,-13.59,-13.59,C/O RIVERSIDE PARK LTD,PO BOX 236,LEATHERHEAD,SURREY,KT22 0LW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BIRCH PROPERTIES,,0001002000150B,,,15 ARROWE PARK ROAD,WIRRAL,,,CH49 0UB,9100,01/04/2016,01/08/2016,-797,-797,80,BIRCH ROAD,OXTON,WIRRAL,CH43 5UE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BIRCH PROPERTIES,,5880035805,,,358 WOODCHURCH ROAD,BIRKENHEAD,WIRRAL,,CH42 8PG,8400,01/04/2012,20/12/2012,-333.33,-333.33,80 BIRCH ROAD,OXTON,BIRKENHEAD MERSEYSIDE,,CH43 5UE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BIRCH PROPERTIES,,27180003208,,,32 MARKET STREET,BIRKENHEAD,WIRRAL,,CH41 5ER,5400,01/04/2012,07/03/2013,-169.4,-169.4,80,BIRCH ROAD,OXTON,BIRKENHEAD,CH43 5UE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BLUEMANTLE LTD,,0001225A000109,,,UNITS 1C & 1F WIRRAL BUSINESS PARK,ARROWE BROOK ROAD,WIRRAL,MERSEYSIDE,CH49 1SX,51500,01/04/2015,14/05/2015,-843.44,-843.44,C/O JONES LANG LASSALLE,1 PICCADILLY GARDENS,MANCHESTER,,M1 1RG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BLUEMANTLE LTD,,0001225A0001J1,,,UNITS 1D-1E WIRRAL BUSINESS PARK,ARROWE BROOK ROAD,WIRRAL,MERSEYSIDE,CH49 1SX,41000,01/04/2015,14/05/2015,-654.83,-654.83,C/O JONES LANG LASSALLE,1 PICCADILLY GARDENS,MANCHESTER,,M1 1RG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BROOKES BELL LLP,,000183800305B9,,,BUILDING 2B ODYSSEY CENTRE,CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1HB,6800,13/05/2013,10/02/2014,-430.37,-1685.17,"4TH FLOOR, MARTINS BUILDING",WATER STREET,LIVERPOOL,,L2 3SX
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BROOKES BELL LLP,,000183800305B9,,,BUILDING 2B ODYSSEY CENTRE,CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1HB,6800,01/04/2014,01/04/2014,-1254.8,-1685.17,"4TH FLOOR, MARTINS BUILDING",WATER STREET,LIVERPOOL,,L2 3SX
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BROOKFIELD PROPERTIES LTD,,86640000308,,,11 VILLAGE ROAD,HESWALL,WIRRAL,MERSEYSIDE,CH60 0DX,6800,01/04/2012,20/04/2012,-153.28,-153.28,112-112A FORD ROAD,UPTON,,WIRRAL,CH49 0TQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CARGILL PLC,,0002449C001001,,,"EAST SECTION SHED, CATHCART QUAY",CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DW,81000,11/02/2013,30/03/2013,-265.39,-265.39,GLADSTONE DOCK,BOOTLE,MERSEYSIDE,,L20 1BG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CASHTAL PROPERTIES LTD,,0003462A000404,,,UNIT 4 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,33000,15/07/2016,27/08/2016,-4752.77,-4752.77,PO BOX 171 CELTIC HOUSE,VICTORIA STREET,DOUGLAS,ISLE OF MAN,IM99 1PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CASHTAL PROPERTIES LTD,,0003462A000303,,,UNIT 3 PRENTON BUSINESS PARK,PRENTON WAY,PRENTON,MERSEYSIDE,CH43 3DU,32750,07/08/2016,19/09/2016,-1221.95,-1221.95,PO BOX 171 CELTIC HOUSE,VICTORIA STREET,DOUGLAS,ISLE OF MAN,IM99 1PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CAUSEWAY PROPERTIES LTD,,000619100017AB,,,"(FIRST FLOOR) 17B, CHURCH ROAD",BEBINGTON,WIRRAL,MERSEYSIDE,CH63 7PG,465,01/04/2011,01/04/2012,-49.04,-49.04,FIRST FLOOR,17 CHURCH ROAD,WIRRAL,MERSEYSIDE,CH63 7PG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CEX (FRANCHISING) LTD,,26080003102,,,31 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,54500,22/10/2010,01/04/2011,-322.19,-322.19,STERLING HOUSE,FULBOURNE ROAD,WALTHAMSTOW,LONDON,E17 4EE
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CHARLES GEE & CO LTD (IN ADMIN),,0002449C000201,,,MID SECTION SHED,CATHCART QUAY CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DW,80500,21/10/2013,30/11/2013,-206.47,-206.47,FRP ADVISORY LLP,10 FURNIVAL STREET,LONDON,,EC4A 1AB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CHARLES GEE & COMPANY,,0002449C000201,,,MID SECTION SHED,CATHCART QUAY CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DW,80500,01/04/2010,01/04/2011,-1611.58,-1611.58,KNIGHTRIDER HOUSE,KNIGHTRIDER STREET,LONDON,,EC4V 5JT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CHARLES GEE & COMPANY LIMITED,IN ADMINISTRATION,0002449C000201,,,MID SECTION SHED,CATHCART QUAY CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DW,80500,01/04/2013,21/10/2013,-1047.81,-4611.81,C/O CAPA,NAPIER PAVILIONS,"NAPIER PLACE, CUMBERNAULD",GLASGOW,G68 0LL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CHARLES GEE & COMPANY LIMITED,IN ADMINISTRATION,0002449C000201,,,MID SECTION SHED,CATHCART QUAY CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DW,80500,01/04/2011,01/04/2012,-1732,-4611.81,C/O CAPA,NAPIER PAVILIONS,"NAPIER PLACE, CUMBERNAULD",GLASGOW,G68 0LL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CHARLES GEE & COMPANY LIMITED,IN ADMINISTRATION,0002449C000201,,,MID SECTION SHED,CATHCART QUAY CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1DW,80500,01/04/2012,01/04/2013,-1832,-4611.81,C/O CAPA,NAPIER PAVILIONS,"NAPIER PLACE, CUMBERNAULD",GLASGOW,G68 0LL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CHILDREN FIRST WIRRAL LTD,T/A NYEHOME NURSERIES (WIRRAL),000619700001F2,,,NYEHOME CRECHE CLATTERBRIDGE HOSP.,CLATTERBRIDGE ROAD,WIRRAL,MERSEYSIDE,CH63 4JY,14250,01/04/2016,26/09/2016,-773.53,-773.53,BARONY COURT,BARONY ROAD,NANTWICH,CHESHIRE,CW5 5RD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CML GROUP LTD,,0004451A0005A9,,,"UNIT 5, WHEATLAND BUSINESS PARK",WHEATLAND LANE,WALLASEY,MERSEYSIDE,CH44 7EJ,20750,11/01/2011,11/01/2011,-1628.8,-1628.8,256-296 PRICE STREET,BIRKENHEAD,MERSEYSIDE,,CH41 3PT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,COMMERCIAL FIRST,,51560000305,,,3 NEWLAND DRIVE,WALLASEY,MERSEYSIDE,,CH44 2AX,3650,01/04/2012,28/05/2012,-1410.64,-1410.64,GATEWAY HOUSE,GARGRAVE ROAD,SKIPTON,NORTH YORKSHIRE,BD23 2HL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,COMMERCIAL FIRST MORTGAGES LTD,,000012900002A6,,,2-4 OXTON ROAD,BIRKENHEAD,WIRRAL,,CH41 2QJ,14225,01/04/2016,09/08/2016,-1723.81,-1723.81,GATEWAY HOUSE,GARGRAVE ROAD,SKIPTON,N YORKS,BD23 2HL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,COMMUNICATION STATION LTD,,000260800003B1,,,WIFI SITE AT 3 - 5 BOROUGH PAVEMENT,GRANGE PRECINCT,BIRKENHEAD,MERSEYSIDE,CH41 2XX,100,08/07/2013,01/10/2013,-23.04,-23.04,145-147 ST JOHN STREET,LONDON,,,EC1V 4PW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CONVERTACAR LTD,,000787700216D8,,,UNITS 4-6 AT 216 GREASBY ROAD,WIRRAL,,,CH49 2PN,3450,01/04/2010,01/04/2011,-56.12,-56.12,UNIT 3,RICHMOND HOUSE,PARKVALE AVENUE,WIRRAL MERSEYSIDE,CH43 3HG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CORONATION PROPERTIES LTD,,65660003908,,,39 NEW CHESTER ROAD,WIRRAL,MERSEYSIDE,,CH62 1AA,3900,15/11/2014,01/12/2014,-65.29,-65.29,THE CORN EXCHANGE,BRUNSWICK STREET,LIVERPOOL,,L2 7TP
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CS ONLINE RETAIL LTD,PEEL LAND & PROP PORTS NO 3 LTD,0002590A000909,,,9 TOWER QUAYS,TOWER ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1BP,5000,14/06/2016,19/08/2016,-1354.84,-1354.84,PEEL DOME,THE TRAFFORD CENTRE,MANCHESTER,,M17 8PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CS ONLINE RETAIL LTD,,0004472B0082H1,,,UNIT 9 UVECO BUSINESS CENTRE,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1FD,3600,05/07/2016,16/08/2016,-17.74,-17.74,C/O PEEL LAND & PROPERTY PORTS,PEEL DOME,THE TRAFFORD CENTRE,MANCHESTER,M17 8PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CURZON RETAIL EXHIBITION &,MARKETING LTD,0006915B0003C3,,HOTSHOTS,45 WELTON ROAD,BROMBOROUGH,WIRRAL,,CH62 3PN,0,28/08/2013,19/10/2013,-1308.48,-1308.48,44 CHADCOTE WAY,CATSHILL,BROMSGROVE,WORCS,B61 0JT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DEELANE LIMITED,,000742700009BA,,,9 DEE LANE,WEST KIRBY,WIRRAL,,CH48 0QA,16750,01/04/2014,03/09/2014,-519.68,-519.68,C/O JIANZHI TAN,36 TUDOR STREET,LIVERPOOL,,L6 6AQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DENIZEN CONTRACTS LTD,,000733900001A1,,,CONTRACTORS HUTS,THE KINGS GAP,WIRRAL,MERSEYSIDE,CH47 1HF,2950,01/04/2011,12/12/2011,-31.41,-31.41,VERMOUNT HOUSE,BRADLEY LANE ,STANDISH,WIGAN,WN6 0XF
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DERWENT HOLDINGS,,53130000402,,,HARVEYS UNIT 2B JUNCTION ONE,BIDSTON MOSS,WALLASEY,MERSEYSIDE,CH44 2HE,0,01/04/2012,01/04/2013,-27298.05,-27298.05,PO BOX 171,NUNNERY MILLS NO. 1,OLD CASTLETOWN ROAD,"DOUGLAS, ISLE OF MAN",IM99 1PL
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DIRECT GOLF RETAIL LTD,,0005436E0012B7,,,MORETON HILLS GOLF CENTRE,TARRAN WAY SOUTH,WIRRAL,MERSEYSIDE,CH46 4TP,18750,01/04/2016,17/06/2016,-2690.88,-2690.88,C/O G L HEARN LTD,PO BOX 1610,SOUTHAMPTON,,SO15 3WX
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DOIG & CO LTD,,000617300001W1,,,UNIT 20,"1, THURSBY ROAD",WIRRAL,MERSEYSIDE,CH62 3PW,2175,01/04/2014,01/12/2014,-339.61,-339.61,C/O PORTLAND BUSINESS CENTRES LTD,DALLAM COURT,DALLAM LANE,WARRINGTON,WA2 7LT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN INDUSTRIAL PARKS,,0001001A0011A3,,,"UNIT 11, ARROWE COMMERCIAL PARK",ARROWE BROOK ROAD,WIRRAL,MERSEYSIDE,CH49 1AB,17500,01/04/2016,01/04/2016,-6050.74,-6050.74,C/O ALDER KING,PEMBROKE HOUSE,15 PEMBROKE ROAD,BRISTOL,BS8 3BA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN INDUSTRIAL PARKS LTD,,0001001A000606,,,"UNIT 6, ARROWE COMMERCIAL PARK",ARROWE BROOK ROAD,WIRRAL,MERSEYSIDE,CH49 1AB,17750,17/12/2015,20/02/2016,-954.43,-954.43,C/O ALDER KING,PEMBROKE HOUSE,15 PEMBROKE ROAD,BRISTOL,BS8 3BA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN INDUSTRIAL PARKS LTD,,0006851A0010J6,,,10C THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,7900,22/01/2016,10/03/2016,-227.94,-227.94,C/O ALDER KING,PEMBROKE HOUSE,15 PEMBROKE ROAD,BRISTOL,BS8 3BA
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN UK IND PROPERTY IV LP,,0006851A0010H5,,,10B THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,15250,01/04/2016,01/04/2016,-3031.25,-3442.09,C/O 5TH FLOOR CHARLOTTE HOUSE ,2 SOUTH CHARLOTTE STREET ,EDINBURGH,,EH2 4AW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN UK IND PROPERTY IV LP,,0006851A0010H5,,,10B THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,15250,28/11/2015,12/03/2016,-410.84,-3442.09,C/O 5TH FLOOR CHARLOTTE HOUSE ,2 SOUTH CHARLOTTE STREET ,EDINBURGH,,EH2 4AW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN UK IND PROPERTY IV LP,,0006851A0010DA,,,10D THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,8200,01/04/2016,01/04/2016,-1483.81,-1483.81,C/O DPAM,"5TH FLOOR, CHARLOTTE HOUSE",2 SOUTH CHARLOTTE STREET,EDINBURGH,EH2 4AW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DUNEDIN UK IND PROPERTY IV LP,,0006851A0010J6,,,10C THURSBY ROAD,WIRRAL,MERSEYSIDE,,CH62 3PW,7900,01/04/2016,18/06/2016,-705.25,-705.25,C/O DPAM,"5TH FLOOR,CHARLOTTE HOUSE",2 SOUTH CHARLOTTE STREET,EDINBURGH,EH2 4AW
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,E F MACKIE MEMORIALS,,14060058105,,,581 BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 0HD,3300,01/04/2011,01/04/2012,-175.45,-175.45,581 BOROUGH ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 0HD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EDISONS PROPERTY MANAGEMENT,,000140600790B7,,,"UNIT 4 AT 790, BOROUGH ROAD",BIRKENHEAD,MERSEYSIDE,,CH42 9JG,24750,01/05/2012,05/08/2012,-2709.66,-2709.66,27-31 CHARING CROSS ROAD,LONDON,,,WC2H 0AU
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EDWARD ANTHONY LTD,,0002804B007205,,,72 APPIN ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 9HH,5100,01/06/2011,01/04/2012,-48.63,-48.63,UNIT 5  HANSON CLOSE IND ESTATE,MIDDLETON,MANCHESTER,,M24 2HD
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EIGHT4SPORT CIC IN LIQUIDATION,,6.596E+14,,,UNIT 3 CANDY PARK 1,OLD HALL ROAD,WIRRAL,MERSEYSIDE,CH62 3PE,68500,01/04/2011,01/04/2012,-1480.61,-1480.61,C/O PARKIN S BOOTH,YORKSHIRE HOUSE,18 CHAPEL STREET,LIVERPOOL,L3 9AG
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ES DIGITAL LTD,,000617300001CB,,,UNIT 3 - BRIDGWOOD SUITE,"1, THURSBY ROAD",WIRRAL,MERSEYSIDE,CH62 3PW,1000,01/09/2013,01/10/2013,-122.37,-122.37,C/O PORTAL BUSINESS CENTRES LTD,DALLAM COURT,DALLAM LANE,WARRINGTON,WA2 7LT
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EUROFINS LABORATORIES LTD,,0003718A010406,,,UNIT 104 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,6100,01/04/2011,13/07/2011,-24.37,-32.97,PURCHASE LEDGER DEPT,WOODTHORNE WEGGS ROAD,WOLVERHAMPTON,WEST MIDLANDS,WV6 8TQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EUROFINS LABORATORIES LTD,,0003718A010406,,,UNIT 104 WOODSIDE BUSINESS PARK,SHORE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1EP,6100,01/04/2010,01/04/2011,-8.6,-32.97,PURCHASE LEDGER DEPT,WOODTHORNE WEGGS ROAD,WOLVERHAMPTON,WEST MIDLANDS,WV6 8TQ
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EUROTECHNOLOGIES LTD,,000787700216G1,,,UNIT 9 AT 216 GREASBY ROAD,GREASBY,WIRRAL,,CH49 2PN,1050,01/04/2011,01/04/2012,-111.83,-111.83,UNIT 9 AT 216 GREASBY ROAD,GREASBY,WIRRAL,MERSEYSIDE,CH49 2PN
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EVENFLOW PROPERTIES LTD,,000183800449A1,,,UNIT 2D ODYSSEY CENTRE,CORPORATION ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1HB,7100,01/04/2013,10/02/2014,-82.39,-82.39,SUITE 3 CAPITAL HOUSE,SPEKE HALL ROAD,LIVERPOOL,,L24 9GB
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EVOKE CREATIVE LTD,,0006032A000601,,,6 APEX COURT,WIRRAL,MERSEYSIDE,,CH62 3RE,17500,16/04/2013,16/04/2013,-3145.97,-6220.22,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EVOKE CREATIVE LTD,,0006032A000601,,,6 APEX COURT,WIRRAL,MERSEYSIDE,,CH62 3RE,17500,01/04/2012,16/04/2012,-3074.25,-6220.22,,,,,
