CPS outcomes by principal offence category Derbyshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.00%,0,0.00%
B Offences Against The Person,181,70.40%,76,29.60%
C Sexual Offences,15,83.30%,3,16.70%
D Burglary,33,71.70%,13,28.30%
E Robbery,12,63.20%,7,36.80%
F Theft And Handling,134,89.90%,15,10.10%
G Fraud And Forgery,12,100.00%,0,0.00%
H Criminal Damage,61,95.30%,3,4.70%
I Drugs Offences,89,89.00%,11,11.00%
J Public Order Offences,68,87.20%,10,12.80%
K All Other Offences (excluding Motoring),48,80.00%,12,20.00%
L Motoring Offences,223,94.50%,13,5.50%
Admin Finalisations,0,0.00%,4,100.00%
TOTAL,877,84.00%,167,16.00%
