Posting date,Vendor Name,Amount GBP,Category Level 1
11/08/2017,Prolinx Limited,"25,344.00",Professional Services
09/08/2017,?????,"25,556.16",Facilities
29/08/2017,?????(??)??????,"25,800.64",Facilities
28/08/2017,FOREIGN AND COMMONWEALTH OFFICE,"25,854.73",Facilities
03/08/2017,Calder Conferences Limited,"25,980.00","Travel, venue hire and exhibition services"
14/08/2017,Blue dart,"26,076.53",Facilities
31/08/2017,PricewaterhouseCoopers LLP,"26,284.03",Professional Services
04/08/2017,Glades Properties Pte Ltd,"26,304.72",Facilities
31/08/2017,Gaurav A Jain and Associates,"26,715.74",Professional Services
23/08/2017,??????,"26,922.03",Human Resources
23/08/2017,??????,"26,922.03",Human Resources
02/08/2017,Ipsos MORI,"26,938.08",Professional Services
03/08/2017,? ?????????,"27,047.95","Advertising, Marketing & Media"
14/08/2017,??????????????,"27,118.64","Advertising, Marketing & Media"
04/08/2017,??????????,"27,124.48",Professional Services
08/08/2017,CGI IT UK Limited,"27,135.05",IT & Telecoms
09/08/2017,Colliers International REMS,"27,565.49",Facilities
30/08/2017,Gaurav A Jain and Associates,"27,600.80",Professional Services
21/08/2017,Institute Of Informatics And Develo,"28,235.35",Grants
30/08/2017,Herman Miller Ltd,"28,244.97",Facilities
01/08/2017,NYS CORPORATE LTD,"28,595.73","Travel, venue hire and exhibition services"
17/08/2017,Egyptian Micro Solutions,"28,919.49",Facilities
04/08/2017,BRITISH EMBASSY ISRAEL,"29,336.19",Human Resources
29/08/2017,VsI Neforrmalus ugdymo metodai,"29,396.43","Travel, venue hire and exhibition services"
03/08/2017,Emerge Leaders Consultancy and,"29,625.18",Professional Services
15/08/2017,Calder Conferences Limited,"29,947.00","Travel, venue hire and exhibition services"
28/08/2017,FOREIGN AND COMMONWEALTH OFFICE,"30,023.00",Facilities
07/08/2017,FOREIGN AND COMMONWEALTH OFFICE,"30,127.01",Facilities
30/08/2017,?????,"30,388.26","Travel, venue hire and exhibition services"
03/08/2017,????????????????,"30,489.75","Travel, venue hire and exhibition services"
28/08/2017,CB Richard Ellis Ltd (GPP),"30,564.00",Professional Services
17/08/2017,MultiAdaptor Ltd,"30,726.00","Advertising, Marketing & Media"
21/08/2017,APAM LTD,"30,796.80",Facilities
17/08/2017,Mango,"31,023.00",Professional Services
14/08/2017,Daniel Paul Wills,"31,120.33",Facilities
15/08/2017,????????????????????,"31,200.28",Facilities
24/08/2017,MetLife Life Insurance Co,"32,366.73",Human Resources
23/08/2017,Diverse Consulting Group,"32,489.03",Professional Services
28/08/2017,?????,"32,524.58","Travel, venue hire and exhibition services"
21/08/2017,RMMRU,"32,556.01",Grants
29/08/2017,Mrs Sajida Baqai,"32,641.30",Facilities
24/08/2017,MetLife Life Insurance Co,"33,047.03",Human Resources
24/08/2017,Mills & Reeve,"33,353.70",Professional Services
17/08/2017,German School Society,"33,639.29",Human Resources
07/08/2017,FOREIGN AND COMMONWEALTH OFFICE,"33,855.81",Facilities
08/08/2017,Taylor Nelson Sofres Hong Kong Limi,"33,980.58","Advertising, Marketing & Media"
23/08/2017,Centum Learning Limited,"34,056.98","Travel, venue hire and exhibition services"
23/08/2017,Gerry s International Pvt Ltd,"34,078.37",Facilities
17/08/2017,United Nations Association in Canad,"34,171.78",Grants
29/08/2017,Diverse Consulting Group,"34,953.61",Professional Services
14/08/2017,AL KHALIDIA REAL ESTATE MANAGEMENT,"35,373.44",Facilities
07/08/2017,FOREIGN AND COMMONWEALTH OFFICE,"35,856.06",Facilities
29/08/2017,???????????,"36,398.39",Professional Services
28/08/2017,Key Information Technology,"36,505.39",IT & Telecoms
24/08/2017,Mills & Reeve,"36,681.36",Professional Services
08/08/2017,EALING  HAMMERSMITH & WEST LD C,"36,750.00",Human Resources
30/08/2017,APS,"36,812.94","Advertising, Marketing & Media"
04/08/2017,DAAD,"36,833.04",Professional Services
22/08/2017,Q5 Partnership LLP,"37,440.00",Professional Services
15/08/2017,CAPPA & D'ALBERTO PLC,"38,167.94",Facilities
23/08/2017,Gerry s International Pvt Ltd,"39,038.22",Facilities
23/08/2017,Centum Learning Limited,"39,058.95","Travel, venue hire and exhibition services"
29/08/2017,Nana Ocran,"40,000.00",Professional Services
01/08/2017,WILTON PARK EXECUTIVE AGENCY,"40,000.00",Human Resources
10/08/2017,BUPA International,"40,111.39",Professional Services
23/08/2017,Shalini Yadav,"40,617.58",Facilities
17/08/2017,Bashundhara Convention Centre,"40,665.42",Facilities
23/08/2017,Centum Learning Limited,"40,778.35","Travel, venue hire and exhibition services"
22/08/2017,Public Pension Agency,"41,333.67",Facilities
15/08/2017,Abbas Mohd Hassan Al Muhassen,"41,493.78",Facilities
07/08/2017,Paragon Event Management Services,"41,666.67","Travel, venue hire and exhibition services"
02/08/2017,Rais Khan   Maheen Mohammed,"42,531.12",Facilities
14/08/2017,???????????????,"42,797.02",Human Resources
11/08/2017,DELOITTE & TOUCHE LLP,"43,200.00",Professional Services
30/08/2017,Prolinx Limited,"43,200.00",Professional Services
24/08/2017,Housing & Development Board,"43,475.90",Facilities
28/08/2017,EDCO TURISMO  S A  DE C V,"43,492.90","Travel, venue hire and exhibition services"
18/08/2017,Price Waterhouse Coopers LLP,"43,904.50",Professional Services
23/08/2017,Gerry s International Pvt Ltd,"44,916.38",Facilities
21/08/2017,CGI IT UK Limited,"44,957.64",Professional Services
18/08/2017,Centum Learning Limited,"44,968.23","Travel, venue hire and exhibition services"
11/08/2017,NAFSA,"45,419.85","Travel, venue hire and exhibition services"
10/08/2017,YG REALTY PVT LTD,"45,717.43",Facilities
18/08/2017,Centum Learning Limited,"47,366.84","Travel, venue hire and exhibition services"
30/08/2017,Mummy Daddy Media Pvt Ltd,"47,648.46","Advertising, Marketing & Media"
22/08/2017,The Higher Education Academy,"48,140.00",Human Resources
11/08/2017,Trung tam Phu nu va Phat trien,"48,336.48",Facilities
04/08/2017,REHABICEN S.A.,"48,489.39",Facilities
31/08/2017,Gerry Fox,"48,600.00",Professional Services
02/08/2017,CGI IT UK Limited,"49,369.36",IT & Telecoms
03/08/2017,The East Jerusalem YMCA,"50,319.40",Facilities
