Newcastle City Council Invoices over £250 paid in May 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,12/05/2014,3663,6236427,Revenue,1KF07,Banqueting Suite,279.30 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/05/2014,13 FERGUSONS LANE,6231014,Revenue,1MK34,Shared Lives - Adult LD,"1,100.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/05/2014,14 EIGHTH ROW,6231033,Revenue,1MH20,Ind Res Care PD,"9,800.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/05/2014,18 SEA VIEW VILLAS,6230942,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 "
Environment & Regeneration,Cityworks City Hall         ,Supplies & Services,08/05/2014,3A ENTERTAINMENTS LTD,6233724,Revenue,3KLCH,City Hall Holding Account,"32,650.62 "
Environment & Regeneration,Cityworks City Hall         ,Supplies & Services,08/05/2014,3A ENTERTAINMENTS LTD,6233736,Revenue,3KLCH,City Hall Holding Account,"27,877.41 "
Adult and Culture,Social Services                        ,Third Party Payments,06/05/2014,93 WINGROVE ROAD,6231376,Revenue,1MK34,Shared Lives - Adult LD,"2,970.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,20/05/2014,93 WINGROVE ROAD,6245726,Revenue,1MG40,Direct Payments Elderly,400.00 
Environment & Regeneration,Cityworks Westgate Centre  ,Supplies & Services,02/05/2014,A FIFIELD SERVICES,6216742,Revenue,1KL2A,Centre For Sport,340.00 
Environment & Regeneration,Allendale Building                     ,Supplies & Services,29/05/2014,A PLANT ACROW,6249640,Revenue,3KIMD,Other Stores Stock Account,347.76 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228032,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228167,Revenue,1KVWC,Minor Works Contracts,"3,290.00 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228279,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228286,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228299,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228301,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228320,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228325,Revenue,1KVWC,Minor Works Contracts,255.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/05/2014,A&J KEITH LTD,6228353,Revenue,1KVWC,Minor Works Contracts,255.00 
