ExtractDate,OrganisationURI,OrganisationLabel,TitileOfOpportunity,StartDate,EndDate,PortfolioHolder,Description,ReviewDate,Extension(IfApplicable),EstimatedValue£,ProcurementProcess,DecisionRoute,ContractType,Status,Approved,Comments,ItemType,Path
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Abbot Hall Playground improvements,01/04/2017,31/03/2018,David Fletcher,"
?Improvements to the playground at Abbot Hall, Kendal",,N/A,10-100K,Quotes,Administration,One-off,Not Started,FALSE,"
?Use ESPO Framework",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Automatic Doors and Roller Shutters maintenance,01/04/2017,31/03/2018,Peter Thornton,"
?Maintenance of the Automatic Doors and roller shutters",,N/A,10-100K,Quotes,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Bins and Boxes,01/04/2017,31/03/2018,David Fletcher,"
Purchase of refuse bins and boxes for SLDC residents",31/01/2017,N/A,10-100K,Framework,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Boiler Maintenance,01/02/2018,31/01/2020,Peter Thornton,"
Boiler and Plant maintenance including air con",31/01/2019,2 Years,10-100K,Tender,Administration,New Contract,Not Started,FALSE,"
No contract at present but annual individual contracts.",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Braithwaite Fold Caravan Site Management Agreement,01/04/2017,31/03/2027,Peter Thornton,"
Management of Braithwaite Fold Caravan Site on behalf of SLDC",,N/A,100K-OJEU,Tender,Cabinet,New Contract,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,"Broadgate Meadow, Grasmere Adult Gym Equipment and Playground Improvements",01/04/2017,31/03/2018,David Fletcher,"
?To install Adult Gym equipment and playground improvements at Broadgate Meadow, Grasmere",,N/A,100K-OJEU,Framework,Administration,One-off,Not Started,FALSE,"
?Use ESPO framework",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Bulky Waste Services Contract,01/04/2017,31/03/2020,David Fletcher,"
Bulky Waste Service",31/03/2016,N/A,100K-OJEU,Tender,Cabinet,Contract Renewal,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Canal Head Feasibility Study - Additional service bays - Consultant,25/11/2016,31/03/2018,Peter Thornton,"
?Appointment of design consultant to undertake design and contract management for the project",,N/A,<10K,LSH Additional Work,Administration,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Card Reader Machine Security upgrade,01/04/2017,31/03/2018,Graham Vincent,"
?The EU payment card industry regulations are changing from 2017 onwards this will mean the card reading devices in our current machines will be unsupported from 1/4/17 and no longer valid from 2020.",,N/A,100K-OJEU,Exemption,Cabinet,One-off,Not Started,FALSE,"
?Unsure at the present time how the upgrade will be done. Possibly only the current machine provider will be the only one to upgrade the machines.",Item,sites/finance/procurement/Lists/Procurement Schedule
22/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Castle Dairy - Flood remedial works - Building Contractor,25/11/2016,31/03/2018,Peter Thornton,"
?Contractor to complete the remodellin/refurbishment work",,N/A,100K-OJEU,Tender,Delegated Executive Decision,One-off,Not Started,FALSE,,Item,sites/finance/procurement/Lists/Procurement Schedule
