"Table 7  Total identifiable expenditure on services by country and region, per head
2007-08 to 2011-12",,,,,
,,,,,£ per head
Cabinet office (excluding civil superannuation),National Statistics,,,,
,"2007-08
outturn","2008-09
outturn","2009-10
outturn","2010-11
outturn","2011-12
outturn"
North East,7,7,10,9,6
North West,7,7,9,9,6
Yorkshire and the Humber,7,7,10,9,6
East Midlands,7,7,10,9,6
West Midlands,7,7,9,9,6
East,7,7,10,9,6
London,7,7,9,9,6
South East,7,7,9,9,6
South West,7,7,10,9,6
England,7,7,9,9,6
Scotland,4,4,3,4,2
Wales,4,4,5,5,2
Northern Ireland,4,4,3,4,2
UK identifiable expenditure,6,6,9,8,5
