Dept Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount
DWP,HEALTH AND SAFETY EXECUTIVE,07/02/2011,ELECTRICITY,HEALTH AND SAFETY LABORATORY,EDF ENERGY                         ,"=""0000106526""",60321.82
DWP,HEALTH AND SAFETY EXECUTIVE,11/02/2011,PFI CHARGES,HEALTH AND SAFETY LABORATORY,INVESTORS IN THE COMMUNITY (BUXTON),"=""0000106613""",25761.75
DWP,HEALTH AND SAFETY EXECUTIVE,17/02/2011,CAPITAL EXPENDITURE,HEALTH AND SAFETY LABORATORY,WILDGOOSE CONSTRUCTION LTD         ,"=""0000106720""",30278.24
DWP,HEALTH AND SAFETY EXECUTIVE,21/02/2011,CAPITAL EXPENDITURE,HEALTH AND SAFETY LABORATORY,ADMIRAL CONSTRUCTION LTD           ,"=""0000106724""",78110.00
DWP,HEALTH AND SAFETY EXECUTIVE,22/02/2011,PFI CHARGES,HEALTH AND SAFETY LABORATORY,INVESTORS IN THE COMMUNITY (BUXTON),"=""0000106728""",25984.21
DWP,HEALTH AND SAFETY EXECUTIVE,25/02/2011,CAPITAL EXPENDITURE,HEALTH AND SAFETY LABORATORY,PERKINELMER LAS (UK) LTD           ,"=""0000106781""",53330.16
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,FACILITIES MANAGEMENT,BUSINESS SERVICES DIRECTORATE,CARILLION FACILITIES MANAGEMENT,"=""0010167538""",42188.45
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,IT,CHEMICAL REGULATIONS DIRECTORATE,INGRES EUROPE LIMITED,"=""0010167543""",22500.75
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,RENTS,BUSINESS SERVICES DIRECTORATE,MAJESTIC (BELFORD) LTD,"=""0010167559""",105000.00
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LTD,"=""0010167590""",254654.52
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LTD,"=""0010167590""",200.13
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LTD,"=""0010167590""",417063.00
DWP,HEALTH AND SAFETY EXECUTIVE,01/02/2011,PFI CHARGES,CENTRAL EXPENDITURE,BOOTLE ACCOMMODATION PARTNERSHIP LTD,"=""0010167590""",51267.00
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2011,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010167618""",76640.81
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,OVE ARUP & PARTNERS LIMITED,"=""0010167629""",22750.00
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,OECD,"=""0010167660""",33944.00
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2011,RENTS,BUSINESS SERVICES DIRECTORATE,EDDISONS COMMERCIAL LTD,"=""0010167661""",143475.00
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2011,RESEARCH,CHIEF SCIENTIFIC ADVISORS GROUP,UNIVERSITIET VAN AMSTERDAM,"=""0010167664""",32325.24
DWP,HEALTH AND SAFETY EXECUTIVE,08/02/2011,INFOLINE,BUSINESS SERVICES DIRECTORATE,SANTIA HEALTH & SAFETY LTD,"=""0010167747""",83167.00
DWP,HEALTH AND SAFETY EXECUTIVE,08/02/2011,FACILITIES MANAGEMENT,BUSINESS SERVICES DIRECTORATE,CARILLION FACILITIES MANAGEMENT,"=""0010167763""",22073.34
DWP,HEALTH AND SAFETY EXECUTIVE,08/02/2011,LICENSING CHARGES,FIELD OPERATIONS DIRECTORATE,ADVENTURE ACTIVITIES LICENCING SERVICE,"=""0010167764""",51866.23
DWP,HEALTH AND SAFETY EXECUTIVE,08/02/2011,LEGAL COSTS,FIELD OPERATIONS DIRECTORATE,LESTER ALDRIDGE LLP,"=""0010167783""",54565.35
DWP,HEALTH AND SAFETY EXECUTIVE,08/02/2011,STAFF DEVELOPMENT & TRAINING,HUMAN RESOURCES,UNIVERSITY OF WARWICK,"=""0010167787""",427476.46
DWP,HEALTH AND SAFETY EXECUTIVE,08/02/2011,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,HIGHWAY AGENCY,"=""0010167805""",47785.39
DWP,HEALTH AND SAFETY EXECUTIVE,10/02/2011,FACILITIES MANAGEMENT,BUSINESS SERVICES DIRECTORATE,ESTILO INTERIORS,"=""0010167810""",28303.20
DWP,HEALTH AND SAFETY EXECUTIVE,10/02/2011,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010167834""",59925.79
DWP,HEALTH AND SAFETY EXECUTIVE,10/02/2011,IT,BUSINESS SERVICES DIRECTORATE,CABLE & WIRELESS COMMUNICATIONS,"=""0010167862""",126249.84
DWP,HEALTH AND SAFETY EXECUTIVE,10/02/2011,ENVIRONMENT AGENCY FEES,NUCLEAR SAFETY DIRECTORATE,ENVIRONMENT AGENCY,"=""0010167875""",61754.28
DWP,HEALTH AND SAFETY EXECUTIVE,10/02/2011,PROGRAMME MANAGEMENT SERVICES,NUCLEAR SAFETY DIRECTORATE,AMTEC,"=""0010167878""",28538.40
DWP,HEALTH AND SAFETY EXECUTIVE,15/02/2011,SECURITY VETTING,NUCLEAR SAFETY DIRECTORATE,MINISTRY OF DEFENCE,"=""0010167885""",28905.53
DWP,HEALTH AND SAFETY EXECUTIVE,15/02/2011,ELECTRICITY,BUSINESS SERVICES DIRECTORATE,EDF ENERGY,"=""0010167890""",34676.21
DWP,HEALTH AND SAFETY EXECUTIVE,15/02/2011,PESTICIDE RESIDUE TESTING,CHEMICAL REGULATIONS DIRECTORATE,LGC (TEDDINGTON) LTD,"=""0010167896""",52215.17
DWP,HEALTH AND SAFETY EXECUTIVE,15/02/2011,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LTD,"=""0010167907""",118626.38
DWP,HEALTH AND SAFETY EXECUTIVE,11/02/2011,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,GRS mbH,"=""0010167914""",163004.62
DWP,HEALTH AND SAFETY EXECUTIVE,15/02/2011,DATA COMMUNICATIONS,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"=""0010167973""",1301343.29
DWP,HEALTH AND SAFETY EXECUTIVE,15/02/2011,IT,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"=""0010167974""",1273043.69
DWP,HEALTH AND SAFETY EXECUTIVE,15/02/2011,IT,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"=""0010167975""",112210.63
DWP,HEALTH AND SAFETY EXECUTIVE,17/02/2011,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010168056""",69289.26
DWP,HEALTH AND SAFETY EXECUTIVE,22/02/2011,WORKER INVOLVEMENT INITIATIVE,CROSS CUTTING INTERVENTIONS DIRECTORATE,PREMIER PARTNERSHIP,"=""0010168092""",161899.44
DWP,HEALTH AND SAFETY EXECUTIVE,22/02/2011,FACILITIES MANAGEMENT,BUSINESS SERVICES DIRECTORATE,CARILLION FACILITIES MANAGEMENT,"=""0010168106""",182913.64
DWP,HEALTH AND SAFETY EXECUTIVE,22/02/2011,HOTEL ACCOMMODATION,CENTRAL EXPENDITURE,EXPOTEL HOTEL RESERVATIONS LTD,"=""0010168129""",156313.99
DWP,HEALTH AND SAFETY EXECUTIVE,22/02/2011,LEGAL COSTS,CHIEF SCIENTIFIC ADVISORS GROUP,THE TREASURY SOLICITORS,"=""0010168217""",43686.50
