Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
Secretary of State for Transport - The Rt Hon Patrick McLoughin MP,29-Jan-14,BATA Annual Dinner,Dinner
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,27-Mar-14,Derbyshire and Nottinghamshire Chamber of Commerce Annual Dinner,Dinner
Minister of State for Transport –  Baroness Kramer,23-Jan-14,CPT,Dinner
Minister of State for Transport –  Baroness Kramer,23-Jan-14,Financial Times,Lunch
Minister of State for Transport –  Baroness Kramer,12-Feb-14,Institution of Civil Engineer (ICE),Dinner
Minister of State for Transport –  Baroness Kramer,06-Mar-14,Bell Pottinger,Lunch
Parliamentary Under Secretary of State for Transport –  Robert Goodwill MP,15-Jan-14,DHL,Dinner
Parliamentary Under Secretary of State for Transport –  Robert Goodwill MP,28-Jan-14,UPS,
Parliamentary Under Secretary of State for Transport –  Robert Goodwill MP,11-Feb-14,Delta Rail,Dinner
Parliamentary Under Secretary of State for Transport –  Robert Goodwill MP,04-Mar-14,Airport Operators Association,Dinner
Parliamentary Under Secretary of State for Transport –  Robert Goodwill MP,10-Mar-14,The Worshipful Company of Carmen,Dinner
Parliamentary Under Secretary of State for Transport –  Robert Goodwill MP,19-Mar-14,Fleet news,Dinner
Parliamentary Under Secretary of State for Transport –  Stephen Hammond MP,08-Jan-14,The Royal Yachting Association,Lunch
Parliamentary Under Secretary of State for Transport –  Stephen Hammond MP,29-Jan-14,Rothschild,Breakfast
Parliamentary Under Secretary of State for Transport –  Stephen Hammond MP,03-Feb-14,UK Chamber of Shipping,Dinner
Parliamentary Under Secretary of State for Transport –  Stephen Hammond MP,06-Feb-14,MCA (In Singapore),Lunch
Parliamentary Under Secretary of State for Transport –  Stephen Hammond MP,06-Feb-14,British Chamber of Commerce (In Singapore),Dinner
Parliamentary Under Secretary of State for Transport –  Stephen Hammond MP,11-Feb-14,EU/ASEAN (In Singapore),Dinner
Parliamentary Under Secretary of State for Transport –  Stephen Hammond MP,06-Mar-14,Transport Times,Dinner
Parliamentary Under Secretary of State for Transport –  Stephen Hammond MP,12-Mar-14,Transport Times,Dinner
Parliamentary Under Secretary of State for Transport –  Stephen Hammond MP,13-Mar-14,Centre for Policy Studies,Lunch
Parliamentary Under Secretary of State for Transport –  Stephen Hammond MP,26-Mar-14,London Chamber of Commerce and Industry,Breakfast
Note,,,
"Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined; light refreshments; working meals (as long as the individual is not involved in procurement or a tendering process); working meals incidental to meetings or incidental to conferences/seminars/presentations/training events for which DfT has paid.",,,
* accompanied by spouse/partner or other family member or friend,,,
